Her tree is nearby.	她的樹就在附近。
Yes!  You have found a cleverly hidden representation of the Starship You-Know Who!	是的！你找到了神秘星艦的巧妙隱藏畫像！
You may have already won a fabulous, all-expense-paid trip for two to scenic Shapeir, land of the shifting sands.  To claim your prize, simply purchase a soon-to-be-released copy of "Hero's Quest II:  Trial by Fire" at a software dealer near you.	你可能已經贏得了一次絕妙的全額付費夫婦之旅，前往風景秀麗的夏皮爾，那流沙之地。要領取獎品，只需在附近的軟體經銷商購買即將推出的「英雄傳奇 II：火之試煉」副本。
Congratulations!  By clicking at this spot on the screen, you have initiated an irreversible process that will destroy all life as we know it.  Have a nice day!	恭喜！透過在畫面這個位置點擊，你已啟動了一個將摧毀我們所知所有生命的不可逆過程。祝你有美好的一天！
Day is dawning	天色漸明
It is mid-morning	已是上午中段
It is midday	正是中午
It is mid-afternoon	已是下午中段
Sunset approaches	太陽西下
The night is still young	夜幕尚淺
It is the middle of the night	夜深了
It is not yet dawn	天色未明
Key commands:\nALT-S Show cast\nALT-M Show Memory\nALT-T Teleport\nALT-V Visual\nALT-P Priority\nALT-C Control\nALT-I Get InvItem\nALT-B Set Ego's Bucks\nALT-K Set one of Ego's sKills\nALT-X Make Ego eXtra special\n	快捷鍵：\nALT-S 顯示角色\nALT-M 顯示記憶\nALT-T 傳送\nALT-V 視覺\nALT-P 優先級\nALT-C 控制\nALT-I 取得物品\nALT-B 設定主角錢幣\nALT-K 設定主角技能\nALT-X 使主角特殊\n
view: %d\nx:%d y:%d\n%s %s illB=$%x	檢視：%d\nX:%d Y:%d\n%s %s 狀態=$%x
ego\nx:%d y:%d\nloop:%d\ncel:%d	主角\nX:%d Y:%d\n迴圈:%d\n幀:%d
Our Hero has %d silvers.	我們的英雄有 %d 枚銀幣。
Why, you feel better already!	呀，你已經感覺好多了！
Otto and the Sheriff have retired for the evening.	奧圖和治安官已經晚間退休了。
The Sheriff calls out behind you:  "Just a friendly suggestion, but whatever you do, don't drink the Dragon's Breath.  Not even Otto can drink Dragon's Breath!"	治安官在你身後喊道：「只是友善的建議，但無論如何都別喝龍息酒。連奧圖都喝不了龍息！」
There's no hint of the Ogre.	沒有食人妖的蹤跡。
You see no sign of the Sheriff.	你看不到治安官的蹤影。
The Sign of the Scissors above the door, along with the striped pole, indicates that the building contains a Barber Shop.	門上的剪刀標誌，加上那條紅白相間的竿子，表示這棟建築是理髮廳。
A typical barber's pole.	一根典型的理髮店竿子。
The town gate is made of sturdy logs.	城鎮大門是用結實的木頭做的。
It stands open.	它敞開著。
It is closed, locked, and barred.	它已關閉、上鎖、並被加鎖。
There's a sign on the door of the barber shop, informing whoever reads it that the barber is out to lunch.  The door is locked.	理髮廳門上有個標誌，告訴讀者理髮師出去吃午餐了。門被鎖上了。
The barber must keep odd lunch hours.	理髮師的午餐時間真奇怪。
There are signs over each of the buildings informing you of their purpose.	每棟建築上都有標誌，告訴你它們的用途。
Searching a law enforcer is a bad idea.	搜索執法官是個壞主意。
The door appears to be locked, and breaking into the Sheriff's office might evoke the wrath of Otto Von Goon.	門看起來被鎖住了，硬闖進治安官辦公室可能會引起古恩先生的憤怒。
You'd better not. The Goon would probably try to strangle you with his yo-yo if he thought you were going into the Sheriff's office without permission.	你最好別這樣。如果古恩先生認為你要未經允許進入治安官辦公室，他可能會試圖用他的溜溜球勒死你。
There's a sign on the door of the barber's shop, informing whoever reads it that the barber is out to lunch. The door is locked.	理髮廳門上有個標誌，告訴讀者理髮師出去吃午餐了。門被鎖上了。
The gate is already closed.	大門已經關閉了。
The town gate is standing wide open, as it does every day.	城鎮大門像往常一樣敞開著。
The sturdy town gate is completely locked and barred, as it is every evening.	結實的城鎮大門像每個晚上一樣完全被鎖住和加鎖。
Only the Sheriff can unlock the gate.	只有治安官能打開大門。
The Barber Shop appears to be closed. There's a note hanging from the doorknob.	理髮廳似乎關閉了。門把上掛著一張紙條。
"I am Sheriff Schultz Meistersson. This is Otto Von Goon, my assistant. What do you call yourself? "	「我是警官舒爾茨·邁斯特松。這位是我的助手奧圖·古恩。你叫什麼名字？」
Good luck in your quest, %s.	祝你在任務中好運，%s。
It goes up and down...up and down...up and down...up and down.....	它上下…上下…上下…上下…
The Sheriff's pipe is a truly impressive hand-carved ivory pipe.	治安官的菸斗是真正令人印象深刻的手工雕象牙菸斗。
The Sheriff informs you that he's much too busy for idle chit-chat.	治安官告訴你他太忙，無法閒聊。
Otto only expresses himself physically.	奧圖只用身體語言表達自己。
"Just walk around and find out for yourself."	「你自己走走看，去發現吧。」
"I am Sheriff Schultz Meistersson, and this is Otto Von Goon, my assistant."	「我是警官舒爾茨·邁斯特松，這位是我的助手奧圖·古恩。」
The Sheriff replies, "Why, that's me!"	治安官回答，「咦，那就是我！」
"My friend," the Sheriff says, "this world's filled with dangers. Sometimes I think it might be better to choose your danger, rather than sitting around, waiting for it, as I seem to do."	「朋友，」治安官說，「這個世界充滿了危險。有時我認為最好是主動選擇你的危險，而不是像我這樣坐等著。」
"Otto is a big help to me," the Sheriff tells you. "He's very smart for a Goon. His prisoners only suffer a few broken bones when he grabs them."	「奧圖對我很有幫助，」治安官告訴你。「他對於古恩族來說聰明極了。他抓住的囚犯通常只斷幾根骨頭。」
"The Guild Hall is at the Southwest corner of town. If you're looking for work, that's a good place to go."	「公會大廳在城鎮的西南角。如果你在找工作，那是個好地方。」
The Sheriff says, "You think I'm going to tell you everything I know about everything? Go look around and find things out for yourself."	治安官說，「你以為我會把我知道的一切都告訴你？你自己到處走走、自己去發現。」
"As safe as our streets are, you still should not sleep on them.  It is a good way to get robbed."	「雖然我們的街道很安全，但你還是不應該睡在街上。那是被搶劫的好方法。」
You suddenly realize that you don't have enough money to purchase what you want.	你突然意識到你沒有足夠的錢買你想要的東西。
Blustering, you say to Shema:  "Your prices are too high for me!"	你結巴著對席瑪說：「你的價格對我來說太高了！」
As your face turns scarlet with embarrassment, Shema smiles and says:	你的臉紅得像番茄，席瑪微笑著說：
"We are sorry not to be able to show more generosity, but we, too, are victims of hard and evil times."	「我們很遺憾無法表現出更多的慷慨，但我們也是困難邪惡時代的受害者。」
She's not here.	她不在這裡。
One of the tables must have been made for some tall folks, perhaps Goons, Ogres, or Centaurs.	其中一張桌子一定是為高個子的人做的，也許是古恩族、食人妖或半人馬。
The chair is finely made, in contrast to the rough-hewn tables.	椅子製作精良，與粗糙的桌子形成對比。
The door with the window in it must be the door to the kitchen.  The other door goes elsewhere in the Inn.	有窗戶的那扇門一定是通往廚房的。另一扇門通往客棧的其他地方。
The walls have an ancient, solid look, well-worn and comfortable.	牆壁看起來古老堅固，飽經風霜但很舒適。
The heavy timbers look substantial.	沉重的木樑看起來很結實。
The oak planking is well-worn, and the carpet is clean, but becoming threadbare.	橡木地板飽經磨損，地毯乾淨但變得破舊。
The mantle above the hearth is a solid slab of wood.  There is nothing on it.	壁爐上方的架子是一塊結實的木板。上面什麼都沒有。
The fireplace tools are placed neatly by the hearth, along with the proprietor.	壁爐工具和老闆娘整齊地擺放在爐邊。
The beverage is more fragrant than most.	這種飲料比大多數更香。
You practically licked the inside of the cup.  That was delicious.	你幾乎舔乾了杯子裡面。太美味了。
You have no cup.	你沒有杯子。
The food looks unusual, but smells delicious.	食物看起來很奇怪，但聞起來很美味。
The plates on the wall are strictly for decoration.  Dishes with food on them are much more useful, if you're hungry.	牆上的盤子純粹是裝飾。如果你餓了，裝有食物的盤子會更有用。
For all that this door appears to be free to swing back and forth, it doesn't budge when you try to open it.	雖然這扇門看起來可以自由擺動，但你試著打開它時它卻紋絲不動。
The door appears to be stuck fast.	這扇門似乎卡住了。
For what?	為了什麼？
The aromas are enticing.	香氣很誘人。
