Darn.  I thought I made that one up myself!	該死。我還以為那是我自己想到的呢！
"If I had more guards, I would wipe the brigands out myself, now that I have my son at my side."	「如果我有更多衛兵，現在兒子在我身邊，我自己就能消滅山賊。」
"I know they have some sort of fortress at the far south of the valley.  I have heard rumors they have set up an ambush for all that approach."	「我知道他們在山谷的南端有某種要塞。我聽說他們為所有靠近的人設置了埋伏。」
"Yorick was my court jester, a man of infinite jest.  He went off to find my daughter, but alas, poor Yorick never returned."	「尤瑞克是我的宮廷弄臣，一位充滿玩笑的人。他出去尋找我的女兒，但可惜，可憐的尤瑞克再也沒有回來。」
"I have offered substantial rewards for the return of my son and my daughter, as well as for capturing or killing the leader and warlock of the brigands."	「我為我的兒子和女兒的歸來，以及捉住或殺死山賊的領袖和術士提供了大筆獎賞。」
"There have always been brigands around, but until their new leader and the warlock showed up a few years ago, they were not much of a problem."	「周圍一直都有山賊，但直到他們的新領袖和術士在幾年前出現，他們才成為問題。」
"The leader seems to be a brilliant strategist who manages each raid with little loss.  Once their leader is gone, I am sure the brigands can be easily defeated."	「這位領袖似乎是位傑出的戰略家，每次襲擊損失都很小。一旦他們的領袖消失，我確信山賊可以輕易被擊敗。」
"As if this valley hasn't been plagued with enough evil magic users!  From what I have heard, his magic isn't powerful, but he uses it effectively."	「彷彿這個山谷還沒被足夠的邪惡魔法使用者困擾過！根據我聽到的，他的魔法並不強大，但他使用得很有效。」
"This castle has been in the family for two centuries now.  It was a gift from King Siegfried the Third."	「這座城堡在家族裡已經有兩百年了。這是西吉弗瑞德三世國王的贈禮。」
"As I entered the cave, the Kobold ordered ME to get out."	「當我進入山洞時，地精命令我滾出去。」
"I informed it that I was Baronet Barnard von Spielburg, and heir to the lands and all within.  I ordered it to bow before me."	「我告訴它我是男爵之子巴納德·馮·史畢柏格，這些土地和其中所有東西的繼承人。我命令它在我面前低頭。」
"Then it cast a spell upon me, and I remember very little after that."	「然後它對我施了咒，之後我記得不多。」
As you can plainly see, Barnard is back to his old self, thanks to you.	顯然，巴納德已經恢復了本來的樣子，感謝你。
"Now that my son is back, I have much to do.  Kindly restrict your questions to matters of import."	「現在我的兒子回來了，我有很多事要做。請把你的問題限制在重要的事項上。」
"That is of no importance to your quest, and time is short."	「這對你的任務並不重要，而且時間緊迫。」
"I'm 'Enry the 'ermit, that's me.  Me Farther was an 'ermit and me Murther was an 'ermit sos I come by me job rightly."	「我是隱士亨利，就是我。我的父親是隱士，我的母親也是隱士，所以我算是子承父業。」
"Nasty sorts, they is.  I sees them sneaking arund the woods all the times.  Uther then the Warlock, I 'as nothing to do with them"	「他們是壞傢伙。我常常看到他們在森林裡鬼鬼祟祟。除了術士外，我跟他們沒有瓜葛。」
"Well, it's dark and damp and the waters roars sos there's not a moment's quiet.  The ceiling drips and the walls are slimy and it's always cold.  But, oh well, sez I, it's 'ome."	「嗯，這裡黑暗潮濕，水聲轟鳴，片刻都不寧靜。天花板滴水，牆壁黏膩，永遠很冷。但老實說，我就當它是『家』。」
"A 'ermit is one wot lives alone, far away from them wot talks too much or asks too many questions.  'Ermits are shy, quiet types wot don't say much.  Me brother 'Arry 'ardly says a word in a year.  Me sister 'Ortense 'asn't spoken since she were six.  I never talks at all.  Yes, we 'ermits nose how to keep a mouth shut."	「隱士就是住在偏僻地方的人，遠離那些多嘴或愛問問題的人。隱士是害羞、安靜的人，不愛說話。我哥哥亨利一年幾乎說不了一句話。我妹妹霍蒂斯自六歲以來就沒說過話。我從不說話。沒錯，我們隱士知道如何閉嘴。」
"I'm 'enry.  'Enry the eighth I is.  Me farther was an 'Enry and 'is farther was an 'Enry and 'is farther was an 'Enry and 'is farther was an 'Enry and 'is farther was an 'Enry and 'is farther was an 'Enry and 'is farther was an 'Enry. And every one was an 'ermit."	「我是亨利。我是亨利八世。我的父親是亨利，他的父親是亨利，他的父親是亨利，他的父親是亨利，他的父親是亨利，他的父親是亨利，他的父親是亨利。每一個都是隱士。」
Confidently, you cast the Calm spell.	你自信地施展鎮定術。
Why, how cute!  You cast the Calm spell, and the monster visibly relaxed.  Why, now it's calmly and relaxedly ripping you to shreds and eating you.	哎呀，多可愛！你施展了鎮定術，怪物明顯放鬆了。現在它冷靜地、悠閒地把你撕成碎片並吃掉你。
Oh, a wise guy, eh.	哦，你是個聰明人，嗯。
You see a door .	你看到一扇門。
The door you came through is the only object you see.	你進來的那扇門是你唯一看到的物體。
The chandelier is firmly attached to the rope in order to lower it to light the candles.	吊燈牢固地連接到繩子上，以便放低它來點燃蠟燭。
The massive candelabra certainly seems to get in the way.	那個巨大的燭臺確實擋了路。
It says, "Brigands over all" (only in German).	上面寫著「山賊至上」（只用德文）。
The rope is heavy and very sturdy.  It is secured to the chandelier.	繩子很重，非常牢固。它固定在吊燈上。
You don't dare; the brigands are coming.	你不敢；山賊要來了。
The door is locked from the other side.	門從另一邊被鎖上了。
You're not near a door.	你不在門附近。
That wasn't at all helpful.	那點幫助都沒有。
There are no rocks in here.	這裡沒有石頭。
The door is closed, but has no lock.	門關著，但沒有鎖。
Get closer to the chair.	靠近椅子。
The door is closed but has no lock.	門關著，但沒有鎖。
The candelabra won't budge.	燭臺紋絲不動。
It's much too heavy to carry.  You can barely move it.	它太重了，拿不動。你幾乎動不了它。
Just keep a cool head and be logical.  You don't need to run or sneak.	保持冷靜，要有邏輯。你不需要跑或偷偷摸摸。
"I am sorry, but I'm much too broken to talk about such things right now.  I have lost everything!"	「我很抱歉，但我現在太傷心了，無法談論這些事。我失去了一切！」
The merchant consumes your meal in record time.	商人以創紀錄的速度吃掉了你的餐點。
He then procedes to finish your drink in one gulp.	他隨後一口氣喝完了你的飲料。
You can't give what you don't have.	你不能給你沒有的東西。
The merchant finishes your drink in one gulp.	商人一口氣喝完了你的飲料。
It is the merchant's hat.	這是商人的帽子。
It is the merchant's turban.	這是商人的頭巾。
"There were about twelve brigands, including a Minotaur, if you can believe it!  Their leader was wearing a hooded cloak.  I could not see the face, but he had a high-pitched voice.  There was also some sort of warlock who giggled a lot."	「大約有十二個山賊，包括一隻牛頭人（如果你信的話）！他們的領袖穿著連帽披風。我看不到臉，但他聲音很尖銳。還有某種會咯咯笑的術士。」
"Although worn with age, the brigand leader's cloak must have, at one time, been an exquisite garment.  No doubt it was stolen, as were all of my goods!"	「儘管因年代久遠而磨損，山賊領袖的披風曾經一定是件精美的衣服。毫無疑問它是被偷的，就像我所有的貨物一樣！」
"Perhaps it was my eyes that deceived me, but I could swear there was Gnome blood in that odd magician."	「也許是我眼花了，但我可以發誓那個奇怪的魔法師身上有侏儒血統。」
"The magician who travels with the brigands is no wizard."	「與山賊同行的魔法師不是法師。」
"It is my hat."	「這是我的帽子。」
"It is my turban."	「這是我的頭巾。」
"I am Abdulla Doo, son of Ali, grandson of Hasan, and formerly Master Merchant of Shapeir.  Now I am but a penniless burden upon my friends."	「我是阿布杜拉·嘟，阿里之子，哈桑之孫，曾為夏皮爾的商人之王。現在我只是朋友身上的無錢之累。」
"Oh, I cannot bear to talk about my family at this sad time!"	「哦，在這悲傷的時刻，我無法忍受談論我的家人！」
"You must not have heard of the brigands who prey upon the innocent and unwary."	「你一定沒聽說過那些掠食無辜者和不謹慎者的山賊。」
"All that I once owned is gone, alas!"	「我曾經擁有的一切都消失了，唉！」
"Who would have thought that there could be such trouble entering this valley during the off-season?"	「誰會想到在淡季進入這個山谷會遇到這樣的麻煩？」
"My good friends Shema and Shameen, owners of this inn, are the finest of all the Katta people that ever graced Shapeir!  But for their kindness, I would have starved long since."	「我的好朋友席瑪和沙敏，這家客棧的老闆，是曾經在夏皮爾出現過的所有卡塔族人中最好的！要不是他們的善良，我早就餓死了。」
"If you have never seen such a beast before, you may count yourself lucky.  It is like a giant of a man with a bull's head."	「如果你之前沒見過這樣的野獸，你算是幸運的。它像一個有牛頭的巨人。」
"Two weeks ago, I was about to become wealthy beyond my dreams.  I, Abdulla Doo, would be the first merchant into the valley this year.  But my life was shattered by those vile brigands!"	「兩週前，我即將變得富有得超越我的夢想。我阿布杜拉·嘟將是今年進入山谷的第一位商人。但我的生活被那些邪惡的山賊粉碎了！」
"The band of brigands ambushed us just as we crossed the pass into the valley. They first used some magic which blinded us.  Then they overwhelmed my six guards and my assistants."	「當我們越過山口進入山谷時，那群山賊伏擊了我們。他們先用魔法使我們失明。然後他們壓倒了我的六個衛兵和助手。」
"All of my trade goods were taken from me, right before my very eyes!  Why the brigand leader spared my life, I do not know.  I am now but a beggar, living off the generosity of my friends."	「我所有的貿易商品都在我眼前被奪走了！山賊領袖為什麼饒了我的命，我不知道。我現在只是個乞丐，靠朋友的慷慨生活。」
"Ah, Shapeir!  Beautiful land of golden sands and shining sun! The heart of civilization!  Alas, she is plagued with fierce Djinni and Efreets, who seek to drive all men and Kattas from the land."	「啊，夏皮爾！金色沙漠和閃耀陽光的美麗之地！文明的心臟！唉，她被兇猛的精靈和火精靈困擾，他們試圖把所有人類和卡塔族人趕出這片土地。」
"But I can speak no more of the homeland I shall never see again.  Instead, I will die in this cold, forsaken land, bereft of all I love!"	「但我再也不能談論我再也見不到的故鄉。相反，我將死在這個寒冷、被遺棄的土地上，失去所有我愛的。」
"Alas, had I known magic, perhaps I could have turned the tide against those abominable brigands.  Their magic did not seem so strong, but they outnumbered my poor caravan by two to one!"	「唉，要是我懂魔法，也許我能扭轉局面對抗那些可憎的山賊。他們的魔法似乎不那麼強大，但他們的人數是我可憐的商隊的兩倍！」
"My guards are all gone, killed or run away like dogs!  I, too, would be lying dead had not the strange brigand leader spared my life, for what reason I know not!"	「我的衛兵全都死了或像狗一樣逃跑了！如果不是那個奇怪的山賊領袖饒了我的命，我也早就死了，但我不知道是什麼原因！」
"If you help recover my treasure, I will take you, Shameen, and Shema back to our land by way of the flying carpet.  Shapeir needs powerful heros, too!"	「如果你幫我找回寶藏，我會帶你、沙敏和席瑪搭乘飛毯回到我們的家鄉。夏皮爾也需要強大的英雄！」
You thank Shema and pay her.	你感謝席瑪並付錢給她。
Not until you're through with Shema.	除非你跟席瑪結束。
Beyond the bear, the cave seems to continue.	過了熊之外，洞穴似乎還在延伸。
The bear is gone.  All that is left is the body of a dead man.	熊消失了。剩下的只是一具死人的屍體。
The bear is gone.	熊消失了。
He's dead, %s.	他死了，%s。
The man is gone.	那個人消失了。
There is no magic in the cavern.	洞穴裡沒有魔法。
You see the brigand leader.  From the look in her eyes you've only got seconds to live.	你看到山賊領袖。從她眼中的神情，你只剩幾秒鐘的生命。
Casting a spell isn't useful now.	現在施咒沒用。
She's not in a talking mood.	她沒有心情說話。
Not a good idea.	不是個好主意。
No time for that.	沒時間做那個。
You think that you can fight the brigand leader?  You'd best think of some other plan.	你認為你能和山賊領袖打鬥？你最好想想其他計劃。
You see a sign that reads, "Beware of Porcupine".  That's odd, you don't see a ...\nYou do, however, see many archers leaning over the chasm edge with arrows pointed toward you.  You now have a funny feeling you know who the porcupine is going to be in a few minutes.	你看到一個標誌，上面寫著「小心豪豬」。奇怪，你看不到…\n不過你看到許多弓箭手靠在峽谷邊緣，弓箭指向你。你現在有種奇怪的感覺，知道誰會變成豪豬。
How embarrassing, to get this far and then fail to see the trip rope.  How did they get that Antwerp up there?	多尷尬，走到這裡卻沒看到絆繩。他們怎麼把那隻安特衛普弄上去的？
There is a small sign which reads "Booby Trap".  You are now in a pitiful situation as you hear the brigands approach to see the booby they've caught.  You think to yourself, "If it looks like a trap, and it feels like a trap, then maybe it IS a trap".	有一個小標誌寫著「陷阱」。當你聽到山賊靠近來看他們抓到的獵物時，你陷入了可悲的困境。你心想，「如果看起來像陷阱，感覺也像陷阱，那也許它確實是個陷阱」。
You seem to be having a rugged time of it.  You've had a terrible ca-tapestry.	你似乎經歷了艱難的時光。你經歷了可怕的掛毯慘劇。
There are two notes.	有兩張紙條。
There is a sign on the blue carpet which reads, "Step Here".	藍色地毯上有一個標誌，上面寫著「踩這裡」。
There is a sign on the right bridge which reads, "Cross Here".	右邊的橋上有一個標誌，上面寫著「過這裡」。
This is not what you expected the brigands' fortress to look like in your imagination.  The barracks with the open half-doors to the east and west are fairly normal looking.  The carpet lying near the gate, however, is a bit odd.  The small chasm in the middle of this yard with the bridge across it seems strange, too.  There are two blockades near the gate and some barriers near the north.	這不是你想像中山賊要塞的樣子。東西方開著半門的營房看起來相當正常。不過，靠近大門的地毯有點奇怪。中間的小峽谷和跨越它的橋也很奇怪。大門附近有兩個路障，北邊有一些障礙。
That's interesting.  There seems to be a pit trap under the carpet.	這很有趣。地毯下好像有個陷阱坑。
The carpets look rather new, perhaps recently stolen from the merchant in town.  There is a sign on the blue carpet which reads, "Step Here".	地毯看起來相當新，也許最近才從城裡的商人那裡偷來的。藍色地毯上有一個標誌，上面寫著「踩這裡」。
The barracks have open half-doors and you can hear noise behind them.	營房有開著的半門，你可以聽到後面有聲音。

