You're already standing.	你已經站著了。
"Elsa was a beautiful eight-year-old child with blonde hair and sky-blue eyes.  She was the Baron's pride and joy."	「艾爾莎是一個漂亮的八歲女孩，金色頭髮、天藍色眼睛。她是男爵的驕傲和喜悅。」
"Ten years ago she was carried off by something which came over the wall and flew off with her.  The search for her lasted many years, but at last everyone gave up."	「十年前，有什麼東西飛過牆，帶走了她。尋找她持續了很多年，但最後大家都放棄了。」
"Everyone, that is, except for the Baron's Jester, Yorick."	「除了男爵的弄臣尤瑞克，所有人都放棄了。」
"She is the center of our problems, I think.  Baba Yaga is a powerful Ogress.  Baron von Spielburg tried to force her to leave this valley, but she cursed him."	「我認為她是我們所有問題的中心。芭芭雅嘎是個強大的食人妖女。史畢柏格男爵試圖強迫她離開山谷，但她詛咒了他。」
"Did I ever tell you about the days when Schultz and I rid this valley of Antwerps?  Ja, we were real adventurers then, and this was a true Guild Hall.  Now we are just old men, and this is just a place to tell old stories."	「我有沒有告訴過你，我和舒爾茨清除這山谷安特衛普的日子？是啊，那時我們是真正的冒險家，這也是真正的公會廳。現在我們只是老人，這只是個講舊故事的地方。」
"Schultz and I have been friends for a long time.  He too has been a real adventurer.  Now, he is just the Sheriff of the town."	「我和舒爾茨是很久的朋友。他也曾是真正的冒險家。現在他只是鎮上的治安官。」
"This is, of course, where an adventurer can find out where there is a need for someone brave and courageous.  There are jobs on the bulletin board over there."	「當然，這是冒險家能找到有哪裡需要勇敢和膽識人士的地方。公告欄裡有工作。」
"It is also a good place to talk about adventures on a cold afternoon.  We used to play cards here once a week, as well, but there are too few adventurers in Spielburg anymore.  They all died at the hands of monsters or brigands, or they just became too old."	「這也是在寒冷下午談論冒險的好地方。我們也曾經每週在這裡打一次牌，但史畢柏格的冒險家已經不多了。他們都死在怪物或山賊手中，或者他們變老了。」
"You can see some of the types of monsters that live around here if you look at our walls."	「如果你看看我們的牆，你可以看到住在這附近的一些怪物類型。」
"There is a reward for anyone who can stop the brigands by capturing or killing their leaders.  The information is on the bulletin board."	「任何能夠抓住或殺死山賊首領來阻止山賊的人都有賞金。詳情在公告欄。」
"Oh, those are nothing.  Anyone can kill a Saurus."	「哦，那些不算什麼。任何人都能殺死索魯斯。」
"It's been a while since Schultz and I killed the one on the wall.  It is fortunate that few Trolls remain; they're deadly."	「我和舒爾茨殺死牆上那隻已經很久了。幸運的是剩下的巨魔很少，它們很危險。」
"Watch out for Cheetaurs.  I bear the scars of my last fight with one to this day."	「小心獵豹人。我至今還帶著和一隻獵豹人的最後一戰的傷疤。」
"I remember the day I killed one.  It was the biggest one I had ever seen.  It put up a tough fight, but I was tougher.  You can see the result on the wall."	「我還記得我殺死一隻的那天。它是我見過最大的。它打得很兇悍，但我更強。你可以看到牆上的結果。」
"One day, years ago, a pair of dragons tried to take over our valley.  We adventurers rode out to meet them."	「多年前的某一天，一對龍試圖佔據我們的山谷。我們冒險家騎馬出去迎戰他們。」
"I can still see Stefan von Spielburg charging forward on his black horse.  He slew the one whose head adorns the wall above our fireplace.  The other one flew off."	「我還能看到史蒂芬·馮·史畢柏格騎著黑馬衝鋒。他殺死了頭顱掛在我們壁爐上方的那隻。另一隻逃走了。」
"People say that they can sometimes see that other dragon flying high overhead, but it has never dared attack us again."	「人們說他們有時能看到那另一隻龍飛過頭頂，但它從未敢再襲擊我們。」
"One year, this valley was overrun by those odd and terrible monsters.  Schultz and I fought long and hard to eliminate them completely.  We might have failed even so, had it not been for those two peculiar tourists who came to our aid."	「某一年，這個山谷被那些奇怪可怕的怪物佔滿。舒爾茨和我費力完全消滅了它們。若不是那兩個古怪的遊客來幫忙，我們可能會失敗。」
"That was the most vicious moose I ever ran into.  Nearly bit my nose off!"	「那是我遇到過最兇惡的麋鹿。差點咬掉我的鼻子！」
"They certainly were strange."	「他們確實很奇怪。」
"That's where the tourists said they came from.  Must be some place up North -- I sure never heard of it."	「那就是遊客說他們來自的地方。肯定是北方某個地方——我肯定從沒聽過。」
"Not much of an adventurer, but he did kill one Saurus before he made the mistake of tangling with an Ogre."	「不是什麼了不起的冒險家，但他在犯了和食人妖糾纏的錯誤之前確實殺過一隻索魯斯。」
"A Goon is a lot like an Ogre, not as tough, but a little smarter.  We have two Goons in town, Otto and Crusher."	「古恩很像食人妖，但不那麼兇悍，聰明一點。我們鎮上有兩個古恩，奧圖和克魯什。」
"I am Wolfgang Abenteuer, Guild Master of this hall."	「我是沃夫岡·阿本圖爾，這個大廳的公會主人。」
"A real hero is someone who did not start out strong or powerful, but who uses his courage, brains, and skills to become the best he can be."	「真正的英雄不是一開始就強大有力，而是靠勇氣、智慧和技能成為最好的自己。」
"I'm sorry.  I only know what's written on the poster."	「我很抱歉。我只知道海報上寫的。」
"The Healer's house is just north of the crossroads outside of town."	「治療師的房子就在城鎮外十字路口的北邊。」
"You know, that reminds me very little of the time old Schultz and I......."	「你知道，那不太讓我想起當年舒爾茨和我……」
"Wait a minute. It'll come to me."	「等等。我會想起來。」
The smell of lavender and dust fills your nose as you walk in.  This reminds you of a great aunt's house you once visited.  The couch looks every bit as uncomfortable as your aunt's.	薰衣草和塵埃的香氣撲鼻而來。這讓你想起曾經拜訪過的遠房阿姨家。沙發看起來和你阿姨家的一樣不舒服。
Just wait. He'll catch up to you	等等。他會趕上你。
A string of pearls seems to have fallen into the bag among the knitting. You take the pearls, of course.	一條珍珠項鍊似乎掉進了編織物中的袋子裡。你當然拿了珍珠。
You find 3 silvers that have fallen down into the cushions.	你發現 3 枚銀幣掉進了靠墊裡。
