Hi, Bridgette!	嗨，布麗琪特！
"And the laughing jackass' eyeing me.  I had to sneak out."	「那個愛笑的傢伙還盯著我。我只好偷偷溜了出來。」
"Don't lose it.  I got the only other one.  Yull haveta search the rock for the keyhole.  It's hidden good.  And remember the 'word'."	「別丟了。我有唯一的另一把。你得在石頭裡搜尋鑰匙孔。它藏得很好。還要記住那個『暗語』。」
"What Word?"	「什麼暗語？」
"Oh yeah, sure."	「噢，是的，當然。」
"What is it?"	「是什麼？」
"Say the 'word' before ya open the door or ya might make Fred mad."	「在你打開門之前要說那個『暗語』，不然可能會惹 Fred 生氣。」
You're too close to the target for it to be a challange.	你離靶子太近，它成不了挑戰。
You have no daggers to throw.	你沒有匕首可以扔。
You can't get any daggers.	你拿不到任何匕首。
For a moment there, you thought you saw something.  But nothing is there now.	有那麼一刻，你以為看到什麼。但現在什麼都沒有。
The stag looks more surprised than hurt.	那隻雄鹿看起來驚訝多於受傷。
She tells you:  "It's not nice to fool Mother Nature."	她告訴你：「戲弄大自然母親是不禮貌的。」
"Please.  Just answer my question."	「拜託。只要回答我的問題。」
The rocks to the north look too steep.	北邊的岩石看起來太陡峭。
"Perhaps the farmer has dates in his field."	「也許農夫在他的田裡有棗子。」
"I beg your pardon?"	「你說什麼？」
You think better of burning up the woods.	你改變主意，決定不放火燒毀森林。
You cannot look at what you cannot see.	你無法看到看不見的東西。
There is a rock wall northwest of the large oak tree.	大橡樹的西北邊有一面石牆。
You see no such animal.	你沒看到這樣的動物。
The forest becomes so lush and thick that it is difficult to see far.	森林變得如此茂密，很難看得遠。
The brush and undergrowth has formed an impassable thicket.	灌木和地被植物形成了不可通過的灌木叢。
You see thick brush, rocks, and heavy woods to the north.  A large oak tree dominates the view.	你看到北邊有濃密的灌木、岩石和茂密的森林。一棵大橡樹佔據了視野。
You see a clearing back the way you came.	你看到來時路的方向有個空地。
"I am the Dryad, keeper of the woods.  Are you one with the woods?"	「我是樹精，森林的守護者。你與森林融為一體嗎？」
"Friend, you must know that there is an evil in this valley which perverts the ways of nature.  The prophecy says that a hero will bring a young human from out this darkness."	「朋友，你必須知道這個山谷裡有股邪惡勢力扭曲了大自然的方式。預言說一個英雄會把一個年輕的人類從這黑暗中帶出來。」
"If you are the one to accomplish this task, there is a potion to break enchantments which you must have the Healer make."	「如果你是完成這項任務的人，你需要讓治療師製作一瓶解除詛咒的魔藥。」
"You dare to harm the Dryad of this forest!  You must be made less dangerous."	「你竟敢傷害這片森林的樹精！你必須被制服。」
You sleep comfortably and well in this quiet and protected corner of the woods.	你在這片寧靜安全的森林角落舒服地睡得很好。
The stag seems to be magically protected.	那隻雄鹿似乎受到魔法保護。
You don't see a stag here.	你這裡沒看到雄鹿。
You see no Antwerps here.	你這裡沒看到安特衛普。
Where to? There is no escaping the hurtling blue blob.	往哪裡？你無法逃脫飛來的藍色物體。
There is a roaring sound off to the east.	東邊傳來一陣咆哮聲。
The hollow log looks somberly back with it's single giant eye and you know at once that nothing is to be gained by investigating this gaunt relic of a more vertical past.	那根空心的木頭用它唯一的巨大眼睛沮喪地看著你，你立刻明白調查這個龐大的垂直過去的遺跡沒有任何好處。
You'll have to climb down to do that.	你得爬下來才能做到。
A river plunges for more than a hundred feet down the face of a cliff.  A doorway has been built into the side of the cliff.	一條河流從懸崖面上直瀉下超過百英尺。崖邊建了一道門。
You see slick, vertical cliff walls.	你看到光滑的垂直崖壁。
The water is white as it splashes against the rocks with great force and purpose and disappears into a narrow canyon to the south.	水流撞擊岩石時衝出白色泡沫，然後消失在南邊的狹窄峽谷中。
The grass is green with the freshness of new spring.	草地呈現新春的嫩綠。
you don't have a flask	你沒有水瓶
The water comes from melting snow.  This early in the season, it's much too cold to swim.	水來自融雪。這個季節這麼早，水冷得不能游泳。
The door is securely locked.	門被牢牢鎖住了。
The door is so securely locked that it defies your abilities to unlock it.	門被鎖得太牢固，超出了你的開鎖能力。
You're in front of the door already.  You don't need to climb any farther.	你已經在門前了。不需要再往上爬。
Missed	偏了
Flat...you feel very, very flat.	扁了……你感到非常非常扁。
And dead...you feel dead, too.  In your weakened condition, you succumbed to a mild-mannered hermit's propensity for Tarzan imitations.  Back up and play it again, Sam.	死了……你也感到死了。在你虛弱的狀態下，你屈服於一個溫和隱士的泰山模仿傾向。倒帶重玩，Sam。
"Just a minute!  Just a minute!"	「等一下！等一下！」
You see a chair.	你看到一把椅子。
The cave is cold and clammy and it smells like mildew and wet dog hair in here!	這個洞穴又冷又濕，聞起來像黴味和濕狗毛！
The walls are covered with phosphorescent fungus.	牆壁上佈滿磷光菌。
The phosphorescent fungus glows eerily in the cave's dim light.	磷光菌在洞穴昏暗的光線中詭異地發光。
"Me guest bed is the straw in the corner over there. You're welcome to come back and sleep tonight since you've shared your rations."	「我的客人床就是角落那邊的稻草。既然你分享了你的給養，歡迎你今晚回來睡覺。」
Get closer to the bed of straw.	靠近稻草床。
You need to get closer to the chair.	你需要靠近椅子。
You are already sitting... on your brain, perhaps?	你已經坐下了……也許坐在你的腦子上？
You're not sitting.	你沒有坐著。
The 'ermit wouldn't like that.	那個『隱士』不會喜歡那樣。
Despite your intentions, you can't bring yourself to spend any more time playing with the talkative 'Enry.	儘管你有意願，你無法讓自己再花時間和那個話多的『亨利』玩。
You spend an hour at the game while 'Enry talks.  You've obviously made his day.	你花了一小時玩遊戲，同時『亨利』說著話。你顯然讓他開心了一整天。
You should sit down first.	你應該先坐下。
You see no scroll.	你沒看到捲軸。
It's not polite to steal from your 'airy little 'ost.	從你『氣派的小』『主人』那裡偷東西不禮貌。
"If you be wanting to learn the spell, I'll be pleased to share it to you.  It's just getting molding in me 'iding place."	「如果你想學習法術，我很樂意分享給你。它只是在我『藏』的地方發黴。」
"I don't 'ave much, but wot I 'ave, I 'ave, an' t'isn't for sale."	「我沒『有』多少，但我『有』的就是『有』，不是為了出售。」
"Well, see'en as I don't get out much, I don't know much."	「嗯，既然我不常出門，我也不知道多少。」
After having traded a ration, which the 'ermit promptly swallowed, and spending a rather boring hour of cribbage and listening to 'Enry chatter, you hit the hay.	在交換了給養（『隱士』迅速吞下），並花了相當無聊的一小時玩牌戲和聽『亨利』閒聊後，你倒頭就睡。
By golly, It's %s!	天哪，是 %s！
Antwerps are on the endangered species list.  They are rarely seen.	安特衛普在瀕危物種名單上。它們很少被看到。
You do not find anything nearby.	你附近找不到任何東西。
You aren't close enough to a lock.	你離鎖太遠。
You have no weapon with which to fight the Antwerp.	你沒有武器與安特衛普戰鬥。
However, you bravely attack the bouncing beast with your bare hands.	然而，你勇敢地用赤手空拳攻擊這個彈跳的野獸。
The only Antwerp known to these parts, split ...into parts.	這個地方唯一已知的安特衛普，分解成……碎片。
He's on a diet.	他在節食。
You hear the sound of someone...or something...moving deeper into the cave to let you pass.	你聽到某個……或某種東西……在洞穴深處移動以讓路的聲音。
Ok, you say Hiden Goseke.	好的，你說出「海登·格塞克」。
Go ahead. If you dare.	向前走。如果你敢的話。
By golly, it's an Antwerp!	天哪，是安特衛普！
The Antwerp plays rough.	安特衛普玩得很兇。
The old ticker just couldn't keep going.  Maybe you shouldn't have missed the annual visit with your local Healer.	老心臟停了。也許你不應該錯過與本地治療師的年度檢查。
You see a flock of geese as it passes overhead.	你看到一群鵝飛過頭頂。
You see the reflection of a flock of geese as it passes overhead.	你看到一群鵝飛過頭頂的倒影。
It must be your imagination.  What would a submarine be doing in a fantasy adventure?  Perhaps you'd rather be playing `Code Name: Iceman' -- it has a submarine.	那一定是你的想像。潛水艇在奇幻冒險中做什麼？也許你寧願玩『絕密代號：冰人』—— 它有潛水艇。
You don't have anything in which to carry the water.	你沒有東西來裝水。
It's the beautiful Spiegelsee (Mirror Lake).  You pause for some peaceful reflection.	這是美麗的施皮格爾湖（鏡湖）。你停下來進行一些寧靜的冥想。
There is a strong odor of decay and other more unpleasant smells filling the air.  A pile of something unpleasant lies near the center of this cave.	空氣中充滿了強烈的腐爛味和其他令人不適的氣味。一堆令人不適的東西堆在這個洞穴的中心附近。
The water has been polluted by various other disgusting liquids.	水被各種令人厭惡的液體污染了。
It looks as if someone has piled up bones, bits of armor, and things you can't quite make out and probably don't want to know about. It smells disgusting.	看起來有人堆積了骨頭、盔甲碎片，以及你無法看清楚且可能不想知道的東西。聞起來很噁心。
You can't do that.	你做不了。
You need to get closer to the dead Troll.	你需要靠近死巨魔。
The password is for the hidden passage, not the troll's home.	密碼是用於隱藏通道的，不是巨魔的家。
Get closer to the pile.	靠近那堆東西。
You don't need it.	你不需要它。
This Troll looks as though he'd rather eat YOU!	這隻巨魔看起來寧願吃掉你！
You hear the constant "drip... drip..." of water, and the unmistakeable sound of something breathing nearby.	你聽到持續的「滴……滴……」水聲，以及附近某物呼吸的清晰聲音。
There is nothing here to use that spell on.	這裡沒有東西可以用法術施展。
The cave troll is dead.	洞穴巨魔死了。
Before you can notice him, a Troll sneaks up behind you, and the encounter begins.	你還沒注意到他，一隻巨魔從你身後溜上來，戰鬥開始了。
The Troll's brute force was too much for your skull.	巨魔的蠻力對你的頭骨來說太強了。
There is nothing of value on the Troll.	巨魔身上沒有值錢的東西。
You dig around in the pile until the odor almost makes you sick.	你在堆裡翻找，直到臭味幾乎讓你生病。
You find nothing more of value.	你找不到更多值錢的東西。
You find 30 silvers and 5 gold.	你找到 30 銀幣和 5 金幣。
There is no beard hair left on the Troll.	巨魔身上沒有留下鬍子毛。
You cut some beard hair and put it away.	你剪了一些鬍子毛藏起來。

