"What?"	「什麼？」
"There are many foul creatures stalking the forest.  The Baron has too few guards to protect this valley from them."	「許多邪惡的生物在森林中遊蕩。男爵守衛太少，無法保護此山谷免受它們的侵害。」
"Spielburg Valley was once a prosperous and peaceful place before the Baron lost his family.  Now the Baron will not leave his castle and has no idea of the ruin this land has come to."	「在男爵失去家人之前，史畢柏格山谷曾是個繁榮而平和的地方。現在男爵不願離開他的城堡，也不知道這片土地的衰落。」
"Baba Yaga has her hut to the northwest.  It is a very dangerous place and many Baronial Guards were lost there."	「芭芭雅嘎的小屋在西北方。這是個非常危險的地方，許多男爵衛隊在那裡喪生。」
"The Baroness died soon after the birth of her daughter.  The Baron still mourns for her."	「女男爵在生下女兒後不久就去世了。男爵仍在為她哀悼。」
"The gatehouse is a shelter and resting place for the guards."	「城門樓是守衛的棲身所和休息地。」
"Everybody talks about the weather, but nobody does anything about it."	「每個人都談論天氣，但沒人對此做什麼。」
"The Weapons Master often practices in the castle courtyard.  He gives lessons in the art of swordplay.  The lessons are expensive, but well worth the price."	「武器大師經常在城堡院子裡練習。他教授劍術的課程。課程很貴，但物有所值。」
"I wouldn't know about that, I don't get around much these days."	「我不清楚，我最近沒什麼走動。」
The portcullis has been drawn, and the way to the castle is clear.	城門已放下，通往城堡的道路暢通無阻。
The castle of the Baron Stefan von Spielburg, Lord of the valley.	史蒂芬·馮·史畢柏格男爵的城堡，山谷的領主。
The gatehouse is a massive structure which houses the guards.	城門樓是座巨大的結構體，裡面住著守衛。
The gatehouse is a massive structure.	城門樓是座巨大的結構體。
This is the barracks area.	這是兵營區。
The castle is northeast of here	城堡在此地東北方
You see the castle and the guards.	你看到城堡和守衛。
You see the main courtyard of the castle and the stables beyond.	你看到城堡的主院子和遠處的馬廄。
Along the wall to the southeast is the gatehouse.  A line of bushes partially obscure a defensive pit along the wall.	沿著東南牆邊是城門樓。一排灌木部分遮擋了牆邊的防禦溝渠。
You can see the barracks and a man sitting in front of them.	你可以看到兵營和坐在前面的一個人。
You're not close enough.  He's hard of hearing.	你靠得不夠近。他聽力很差。
"If you want to fight, go talk to the Weapons Master."	「如果你想打鬥，去跟武器大師談話。」
As you approach the guard with your weapon, he jumps up and opens the barracks door as he yells for help.  Four guards playing cards inside the barracks quickly grab their weapons and overwhelm you.  As you are dragged into the castle and down into the dungeon, you realize that was probably not quite the right thing to do.	當你拿著武器靠近守衛時，他跳起來打開兵營的門，同時大聲求救。兵營裡玩牌的四名守衛迅速拿起武器將你制服。當你被拖進城堡下到地牢時，你意識到那可能不是個好主意。
Just a fence.	只是個柵欄。
This is the forest that surrounds the castle.	這是環繞城堡的森林。
You are in the courtyard of Castle Spielburg.	你在史畢柏格城堡的院子裡。
Nobody there.	沒人在那裡。
He isn't here at the moment.	他現在不在這裡。
What you see, along with what you smell, gives the impression that the building on the east side of the courtyard contains the stables.	根據你所看所聞，東側院子的建築物似乎是馬廄。
On the west side of the courtyard is a building that looks like soldier's barracks.	院子西側有座看起來像是士兵兵營的建築。
As a matter of fact, there's a soldier sleeping in front of it now.	說實話，現在有個士兵睡在它前面。
The door to the Baron's castle is well guarded.	男爵城堡的門警衛森嚴。
As you look back at the castle gate, you see a line of bushes along the south wall and the gatehouse and portcullis.	當你回頭看向城堡大門，你看到南牆邊一排灌木、城門樓和城門。
"Haven't you got anything better to do than hang around here?  Come back some other time you want to get rich."	「你沒有比在這裡閒逛更好的事做嗎？等你想發財時再回來。」
The castle's stable looks like it holds about six horses.  It could use some cleaning up.	城堡的馬廄看起來可以容納約六匹馬。它需要清理一下。
The moon lights the Baron's courtyard.	月光照亮男爵的院子。
It is a beautiful day.	這是個美好的一天。
The castle is across the courtyard to the northeast.	城堡在院子的東北側對面。
The stable marks the eastern boundary of the Baron's courtyard.	馬廄標示了男爵院子的東邊界。
Across the main courtyard to the west are the soldiers' barracks.	跨過主院子西側是士兵的兵營。
Wait a minute!	等等！
"If you put in a day's work, and you wanna take a nap, it's OK with me."	「如果你做了一天的工作，想睡個午覺，我沒意見。」
"These horses, they act just like animals or somethin'."	「這些馬，牠們就像動物或什麼的。」
"Sure!  C'mon in and grab a rake."	「當然！進來拿把耙子吧。」
"Don't tire me out with a bunch of questions.  I don't need your comments, either.  Can't you see what a hard life I have?"	「別拿一堆問題煩我。我也不需要你的評論。難道你看不出我的生活有多辛苦嗎？」
"Sorry, the Baron's horses aren't for sale."	「抱歉，男爵的馬不出售。」
"Neigh!"  says the horse.	「嘶！」馬叫道。
"Well, if you don't want to answer..."	「好吧，如果你不想回答…」
Too bad!  I could use some help."	可惜了！我需要一些幫助。」
"That's what I'm asking YOU about, nimrod."	「我正是在問你這個呆瓜。」
"Quit fidgeting and answer me...yes or no!"	「別亂動，回答我…是或否！」
So you says to yourself, "Self", you says...	所以你對自己說，「自己」，你說…
You face the main doors of the Baron's keep.	你面對男爵城堡的大門。
The castle grounds look like no one has taken care of them.  The castle is still impressive close up, but it looks rather dirty	城堡周圍看起來沒人打理。城堡近距離看起來仍然令人印象深刻，但看起來相當髒亂
You see the castle and the guards	你看到城堡和守衛
Along the wall to the southeast, you can see the stables.	沿著東南牆邊，你可以看到馬廄。
You see the main courtyard of the castle.	你看到城堡的主院子。
Along the wall to the southwest, you can see the barracks.	沿著西南牆邊，你可以看到兵營。
The doors are guarded by Frederick and Pierre.	大門由腓特烈和皮埃爾守衛。
Plays a mean horn.  A member in good standing of the musicians guild.	會吹響亮的號角。音樂家公會的尊敬會員。
You don't think the guards would allow you to do so.	你認為守衛不會允許你這樣做。
No sooner do you draw your weapon then the guards have their weapons out and quickly disarm you.  It seems that they practice with the Baron's Weapons Master.  They promptly drag you into the castle and down into the dungeon, which is not a very likely spot for the attainment of hero status.	你才剛拔出武器，守衛就已經拔出武器並迅速繳械你。看來他們經常與男爵的武器大師練習。他們立即把你拖進城堡下到地牢，那不是成為英雄的好地方。
The horns are tarnished and starting to corrode.	號角變得暗淡，開始腐蝕。
The guards are ignoring you.	守衛忽視了你。
He's very proud of his moustache, but don't mention his bald spot	他對自己的鬍子感到自豪，但別提他的禿頂
Doorway to castle great hall.	通往城堡大廳的門口。
The torch lights the way to the Baron's Hall.	火把照亮了通往男爵大廳的路。
You can't reach the windows from these trees.	你從這些樹上無法到達窗戶。
Weeds grow profusely, but nobody notices.	雜草茂密生長，但沒人注意。
This is the castle of the Baron Stefan von Spielburg.	這是史蒂芬·馮·史畢柏格男爵的城堡。
These flagstones are from a rock quarry in eastern Germany.	這些鋪路石來自東德的石採石場。
Well...maybe the flagstones are from western Germany.	嗯…也許鋪路石來自西德。
Flagstones from Europe?	來自歐洲的鋪路石？
Granite from our very own mountains?	來自我們自己山脈的花崗岩？
I don't know!	我不知道！
The Baron von Spielburg and Baronet await you in the great hall.	馮·史畢柏格男爵和小男爵在大廳裡等著你。
"Says you."	「你說得好。」
"This is the castle of the Baron Stefan von Spielburg."	「這是史蒂芬·馮·史畢柏格男爵的城堡。」
"I'm Frederick."	「我是腓特烈。」
I told you not to mention it.  Now you've hurt his feelings, and he won't talk until he gets over it.	我告訴過你別提它。現在你傷害了他的感情，他要等恢復好心情才會說話。
"I can't help you on that."	「我在那方面幫不了你。」
"Looks like meathead is sulking.  If I talk to you anymore he'll get even with me."	「看起來呆瓜在生悶氣。如果我再跟你說話，他會找我算帳。」
"We cannot leave our post."	「我們不能離開崗位。」
"You will have to see the Baron to get his permission."	「你得去見男爵才能得到他的許可。」
The Baron is busy and will see no one.	男爵忙碌中，不見任何人。
The Baronet is in the castle recovering from his ordeal and will see no one.	小男爵在城堡裡恢復，不見任何人。
"The Baronet Barnard von Spielburg is missing."	「小男爵巴納德·馮·史畢柏格失蹤了。」
"The stable is off to my left."	「馬廄在我左邊。」
"My name is Pierre.  I'm one of the Baron's personal guards."	「我叫皮埃爾。我是男爵的私人衛士之一。」
"It is not our place to answer questions."	「回答問題不是我們的職責。」
"Spot?  What spot?"	「斑點？什麼斑點？」
"Why thank you.  Your manners have improved."	「哦謝謝你。你的禮儀進步了。」
You seem to see movement, but you are not certain what is over there.	你似乎看到了動作，但不確定那裡是什麼。
The rocks look as if they were deliberately piled.	這些岩石看起來像是刻意堆積的。
You see forest.	你看到森林。
You see a Goblin, a small but dangerous humanoid.	你看到一隻哥布林，一個小但危險的人形生物。
You see a small cave concealed in the rocks.  The cave is not big enough for you to enter.  This is where the Goblins hide.	你看到岩石中隱藏著一個小洞穴。洞穴不夠大供你進入。這是哥布林躲藏的地方。
You can not see a cave.	你看不到洞穴。
Something about the bushes here gives you a very bad feeling.	這裡的灌木給你一種非常不好的感覺。
You're not close to anything matching that description.	你沒有靠近任何符合該描述的東西。
You find a small cave concealed in the rocks, just big enough for the Goblins to come through.	你發現了岩石中隱藏著一個小洞穴，剛好夠哥布林通過。
Nothing here, but you're HOT!	這裡什麼都沒有，但你很接近了！
