Introduction	序章
The very air in this meadow radiates feelings of calmness and peace.  You wouldn't be able to tell if the spell worked here.	The very air in this meadow radiates feelings of calmness and peace.  You wouldn't be able to tell if the spell worked here.
You can't imagine hurting anything in this meadow.  	You can't imagine hurting anything in this meadow.  
The sky is clear.	天空晴朗無雲。
The sun feels warm.	陽光暖洋洋的。
The stars shine.	繁星閃爍。
To the north, the high, snowy peaks of the Dragon Smoke mountains are clearly visible.	To the north, the high, snowy peaks of the Dragon Smoke mountains are clearly visible.
You are at the snowline.  All around you, except for the forest, the rocks and mountains glisten with slippery snow.	You are at the snowline.  All around you, except for the forest, the rocks and mountains glisten with slippery snow.
The rock faces are slippery with melted snow.	The rock faces are slippery with melted snow.
You sleep comfortably among the fragrant flowers.	You sleep comfortably among the fragrant flowers.
The sweet, juicy fruit of the tree is amazingly satisfying and refreshing.	The sweet, juicy fruit of the tree is amazingly satisfying and refreshing.
The scroll vanishes even as you read the magical runes upon it.  You now have the knowledge to cast a "Calm" spell. 	The scroll vanishes even as you read the magical runes upon it.  You now have the knowledge to cast a "Calm" spell. 
The meadow lies covered with a blanket of flowers, unusual for this early in the spring.  It is warm, even though surrounded by the late snows of winter. 	The meadow lies covered with a blanket of flowers, unusual for this early in the spring.  It is warm, even though surrounded by the late snows of winter. 
A large, carved stone lies flat on the ground.  You feel as though someone gentle was watching over you.  You feel that you are safe here.   	A large, carved stone lies flat on the ground.  You feel as though someone gentle was watching over you.  You feel that you are safe here.   
The air has the fresh, clean scent of the mountains, accompanied by numerous perfume-like fragrances.    	The air has the fresh, clean scent of the mountains, accompanied by numerous perfume-like fragrances.    
There is an aura of magic throughout this meadow.  It seems to be benevolent and restorative.	There is an aura of magic throughout this meadow.  It seems to be benevolent and restorative.
There is no further purpose in casting the Open spell.	There is no further purpose in casting the Open spell.
The tree's blossoms are soft, green and fragrant.	The tree's blossoms are soft, green and fragrant.
The fruit sparkles in the sunlight, yet it appears soft and fuzzy.	The fruit sparkles in the sunlight, yet it appears soft and fuzzy.
The fruit glows and shimmers in the moonlight.  It produces a fragrance like a sun-ripened strawberry.	The fruit glows and shimmers in the moonlight.  It produces a fragrance like a sun-ripened strawberry.
The small tree is most amazing.  It bears blossoms and fruit at the same time, and the fruit on its boughs seems to shyly appear and disappear, shimmering.	The small tree is most amazing.  It bears blossoms and fruit at the same time, and the fruit on its boughs seems to shyly appear and disappear, shimmering.
There is no need to climb the little tree.	There is no need to climb the little tree.
Thick bushes block your path to the south. 	Thick bushes block your path to the south. 
There is a cave entrance large enough to admit a man.	There is a cave entrance large enough to admit a man.
It's already unlocked.	It's already unlocked.
The chest is already open.	The chest is already open.
You don't have the right tools -- you'll have to find another way to open it.	You don't have the right tools -- you'll have to find another way to open it.
It's locked -- you'll have to use another skill to open this.	It's locked -- you'll have to use another skill to open this.
The dead Ogre's chest lies open, its contents glittering brightly.	The dead Ogre's chest lies open, its contents glittering brightly.
The dead Ogre's chest lies open and empty.	The dead Ogre's chest lies open and empty.
How much more calm can he get?	How much more calm can he get?
You've wasted a spell.	You've wasted a spell.
You don't have a knife.	You don't have a knife.
The Ogre is already dead.  It would do no good to kill him again. 	The Ogre is already dead.  It would do no good to kill him again. 
Ok, he'll be a dazzled cadaver.	Ok, he'll be a dazzled cadaver.
You're kidding, right?	You're kidding, right?
There is a dead Ogre here.	There is a dead Ogre here.
The chest has a heavy lid with a strong lock.	The chest has a heavy lid with a strong lock.
The Ogre is carrying a chest in his massive arms.	The Ogre is carrying a chest in his massive arms.
This Ogre is in a bad mood.	This Ogre is in a bad mood.
And big.  Very BIG. 	And big.  Very BIG. 
There is a big, ugly, dead Ogre here.	There is a big, ugly, dead Ogre here.
This Ogre will never eat again.	This Ogre will never eat again.
This Ogre looks like it would rather eat you.	This Ogre looks like it would rather eat you.
Hostile intent is evident.  You prepare for battle.	Hostile intent is evident.  You prepare for battle.
You need to get closer to the dead Ogre.	You need to get closer to the dead Ogre.
There is nothing here to open.	There is nothing here to open.
The dead Ogre's chest is empty.	The dead Ogre's chest is empty.
The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.	The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.
The Ogre is dazzled by your spell. 	The Ogre is dazzled by your spell. 
A search of the dead Ogre's body produces no treasure.	A search of the dead Ogre's body produces no treasure.
However, the treasure chest he was carrying lies beside his body.	However, the treasure chest he was carrying lies beside his body.
The dead Ogre's huge club is much too heavy for you to lift.	The dead Ogre's huge club is much too heavy for you to lift.
You force the Ogre's chest open.	You force the Ogre's chest open.
The chest is locked.	The chest is locked.
Your spell is too weak to open the Ogre's chest.	Your spell is too weak to open the Ogre's chest.
You're wasting a spell.	You're wasting a spell.
There's nothing here to open.	There's nothing here to open.
The chest is held shut by the Ogre's massive arms.	The chest is held shut by the Ogre's massive arms.
standing	standing
Your spell unlocks the Ogre's chest.	Your spell unlocks the Ogre's chest.
The Ogre appears to have recovered from your spell.	The Ogre appears to have recovered from your spell.
You retrieve your daggers.	You retrieve your daggers.
The Ogre's chest is already unlocked.	The Ogre's chest is already unlocked.
The lock on the Ogre's chest clicks open.  The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.  	The lock on the Ogre's chest clicks open.  The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.  
A magical aura emanates from the cave's entrance.	A magical aura emanates from the cave's entrance.
You want to fetch THAT?	You want to fetch THAT?
I don't know what you want to fetch. 	I don't know what you want to fetch. 
The ground shows the beginning of new spring grass. 	The ground shows the beginning of new spring grass. 
Don't open the Ogre -- it's all gucky and squishy inside.	Don't open the Ogre -- it's all gucky and squishy inside.
You don't seem to have a weapon to charge.	You don't seem to have a weapon to charge.
Your weapon is now magically charged.	Your weapon is now magically charged.
The rocks look like they've been dropped in place by a gigantic hand.  	The rocks look like they've been dropped in place by a gigantic hand.  
You see some of the trees of the forest. 	You see some of the trees of the forest. 
You'd better not.  The bear isn't wearing a flea collar (just a locked chain).	You'd better not.  The bear isn't wearing a flea collar (just a locked chain).
The bear seems to find your flowers tasty, but not very filling.	The bear seems to find your flowers tasty, but not very filling.
The Bear won't let you near the lock.	The Bear won't let you near the lock.
Try as you might, you can't pick the lock.  It must be magical.	Try as you might, you can't pick the lock.  It must be magical.
Although looking somewhat scorched, the bear is still very dangerous.	Although looking somewhat scorched, the bear is still very dangerous.
Stunned, the bear is temporarily frozen.	Stunned, the bear is temporarily frozen.
On one side of this cavern is a creature which looks like a large bear.  There is something attached to his leg.	On one side of this cavern is a creature which looks like a large bear.  There is something attached to his leg.
The bear appears docile for the time being.	The bear appears docile for the time being.
The bear looks menacing and angry.  There is a locked chain attached to its leg.	The bear looks menacing and angry.  There is a locked chain attached to its leg.
You have made this bear very happy; it would be wise to take advantage of his current mood. 	You have made this bear very happy; it would be wise to take advantage of his current mood. 
You know that bears can't talk!	You know that bears can't talk!
Hi there!  I represent Ditto Realty.  We have some LOVELY properties that are PROVEN bargains.  We know that's true, because we've sold them so many times.	Hi there!  I represent Ditto Realty.  We have some LOVELY properties that are PROVEN bargains.  We know that's true, because we've sold them so many times.
Beyond the bear, the cave seems to continue.  The bear blocks the way.	Beyond the bear, the cave seems to continue.  The bear blocks the way.
An eerie luminescence emanates from a chamber deeper within the cave.	An eerie luminescence emanates from a chamber deeper within the cave.
A very large bear rears up as you approach.  It looks hungry and dangerous.	A very large bear rears up as you approach.  It looks hungry and dangerous.
As your eyes adjust from sunlight to darkness, you examine the interior of this eerie cavern.  You sense something moving off to your right.	As your eyes adjust from sunlight to darkness, you examine the interior of this eerie cavern.  You sense something moving off to your right.
The Kobold's key disappears as you turn it in the lock.	The Kobold's key disappears as you turn it in the lock.
There is no magic in the cave.	There is no magic in the cave.
There is an aura of magic throughout the cavern.  It seems to center on the bear	There is an aura of magic throughout the cavern.  It seems to center on the bear
Once your eyes get adjusted to the dark, there's still nothing to see in here.	Once your eyes get adjusted to the dark, there's still nothing to see in here.
What could you possibly do with a stalagmite... or is it a stalactite?	What could you possibly do with a stalagmite... or is it a stalactite?
The stalagmites grow slowly... or are they stalactites?	The stalagmites grow slowly... or are they stalactites?
What could you possibly do with a stalactite... or is it a stalagmite?	What could you possibly do with a stalactite... or is it a stalagmite?
The stalactites grow slowly... or are they stalagmites?	The stalactites grow slowly... or are they stalagmites?
The Kobold doesn't look very calm.  In fact, it looks totally unaffected by your spell.	The Kobold doesn't look very calm.  In fact, it looks totally unaffected by your spell.
You just bumped into something on the floor.  It feels like a large wooden chest, but you don't see anything there.	You just bumped into something on the floor.  It feels like a large wooden chest, but you don't see anything there.
You will have to open it first.  The chest seems to be locked.	You will have to open it first.  The chest seems to be locked.
You've already taken the treasure.	You've already taken the treasure.
You are too far away to get the Kobold's treasure.	You are too far away to get the Kobold's treasure.
The key doesn't fit in the chest.  It must be for a different lock.	The key doesn't fit in the chest.  It must be for a different lock.
You have no skill at picking locks.	You have no skill at picking locks.
You've already unlocked the chest. 	You've already unlocked the chest. 
You don't see any locks here. 	You don't see any locks here. 
You're not close enough.	You're not close enough.
You will have to open the chest first.  It seems to be locked.	You will have to open the chest first.  It seems to be locked.
The chest is now empty.  Funny thing, that. 	The chest is now empty.  Funny thing, that. 
There is no sign of any other treasure in the cavern.	There is no sign of any other treasure in the cavern.
You don't *see* any treasure here.	You don't *see* any treasure here.
Where the chest was, you see numerous pieces of gold and silver.	Where the chest was, you see numerous pieces of gold and silver.
You see the outline of a chest glowing in the south end of the cavern.	You see the outline of a chest glowing in the south end of the cavern.
You can detect a faint glimmering of magic from the shattered remains of the chest.	You can detect a faint glimmering of magic from the shattered remains of the chest.
A strong magical aura radiates from the Kobold's key.	A strong magical aura radiates from the Kobold's key.
There no longer seem to be any magical effects or spells active in this part of the cavern.	There no longer seem to be any magical effects or spells active in this part of the cavern.
Uh oh, you've woken the Kobold.	Uh oh, you've woken the Kobold.
You now have the Kobold's key.  Nice work!	You now have the Kobold's key.  Nice work!
The fungus is slimy and firmly attached to the cave walls.  You'd better leave it alone.	The fungus is slimy and firmly attached to the cave walls.  You'd better leave it alone.
Phosphorescent fungi illuminate the cavern with an unearthly glow.	Phosphorescent fungi illuminate the cavern with an unearthly glow.
You retrieve the dropped key.	You retrieve the dropped key.
You see a large, brass key lying on the ground.  A faint glow emanates from the key.	You see a large, brass key lying on the ground.  A faint glow emanates from the key.
Your foot slips on the wet cavern floor and makes a scuffing noise.	Your foot slips on the wet cavern floor and makes a scuffing noise.
There are no monsters here to attack.	There are no monsters here to attack.
That's what you're doing.  Keep going!	That's what you're doing.  Keep going!
Uh oh.  You weren't stealthy enough.  You have awoken the Kobold.	Uh oh.  You weren't stealthy enough.  You have awoken the Kobold.
You can't reach the key from here.	You can't reach the key from here.
The Kobold won't let you near his key.	The Kobold won't let you near his key.
You take the Kobold's glowing key.	You take the Kobold's glowing key.
VERY carefully, you remove the key from around the Kobold's neck.	VERY carefully, you remove the key from around the Kobold's neck.
The strange creature is dressed in ragged clothes.  It has large, pale eyes. It must have spent its entire life in these caves!	The strange creature is dressed in ragged clothes.  It has large, pale eyes. It must have spent its entire life in these caves!
A large, brass key hangs from a thong around the creature's neck.	A large, brass key hangs from a thong around the creature's neck.
The Kobold seems more interested in frying you with Ball Lightning than in talking to you.	The Kobold seems more interested in frying you with Ball Lightning than in talking to you.
The invisible lid of the invisible chest lifts.  A ripple of magical heat in the air informs you of a trap narrowly avoided by your skillful use of the Open spell.	The invisible lid of the invisible chest lifts.  A ripple of magical heat in the air informs you of a trap narrowly avoided by your skillful use of the Open spell.
You open the chest, remove its contents, and close it again.  You are now 10 gold and 60 silver pieces richer. 	You open the chest, remove its contents, and close it again.  You are now 10 gold and 60 silver pieces richer. 
You don't have time for that.	You don't have time for that.
You pry at the sealed lid of the chest, and... 	You pry at the sealed lid of the chest, and... 
This section of cave has an eerie quality.  You see a kobold resting on a ledge across from you.	This section of cave has an eerie quality.  You see a kobold resting on a ledge across from you.
Wow!  The chest must have been booby-trapped.  You can really feel the damage from the blast. 	Wow!  The chest must have been booby-trapped.  You can really feel the damage from the blast. 
You hear a very satisfying "Snick" as your pick catches the lock just right. 	You hear a very satisfying "Snick" as your pick catches the lock just right. 
Then you sense powerful magics dissipating around the lock, and your hands shake as you realize you have narrowly avoided some sort of Magical Doom.	Then you sense powerful magics dissipating around the lock, and your hands shake as you realize you have narrowly avoided some sort of Magical Doom.
Your fingers shift slightly, and you feel an odd prickling sensation coming from the lock.  You have a bad feeling about this.	Your fingers shift slightly, and you feel an odd prickling sensation coming from the lock.  You have a bad feeling about this.
You hack and pry at the chest, but you are not strong enough to force its lid.	You hack and pry at the chest, but you are not strong enough to force its lid.
The Kobold casts a spell with which you are not familiar.	The Kobold casts a spell with which you are not familiar.
You add ten gold and sixty silver coins to your money pouch.	You add ten gold and sixty silver coins to your money pouch.
You go!  You no stay here!	You go!  You no stay here!
You don't need to cast Fetch -- everything here is in easy reach.	You don't need to cast Fetch -- everything here is in easy reach.
This part of the cavern is spacious and multi-leveled.  Phosphorescent fungus illuminates the cavern with an unearthly glow.	This part of the cavern is spacious and multi-leveled.  Phosphorescent fungus illuminates the cavern with an unearthly glow.
On a rocky platform above the cave floor is a Kobold, one of the race of ugly, miserly creatures known for their skill in Magic.	On a rocky platform above the cave floor is a Kobold, one of the race of ugly, miserly creatures known for their skill in Magic.
There's nothing to open here.	There's nothing to open here.
There are no passive spells to trigger here.	There are no passive spells to trigger here.
You'd better not.  This cave is not recommended by the Michelin Guide. 	You'd better not.  This cave is not recommended by the Michelin Guide. 
The stalactites look much like the stalagmites, except that they go the other way. 	The stalactites look much like the stalagmites, except that they go the other way. 
A faint glimmer of sunlight barely illuminates the cave entrance.	A faint glimmer of sunlight barely illuminates the cave entrance.
The Kobold eats its meals on this plain stone table.	The Kobold eats its meals on this plain stone table.
No time for that now!	No time for that now!
You pick up the Kobold's mushrooms and put them in your pack.	You pick up the Kobold's mushrooms and put them in your pack.
Some sort of food (mushrooms?) sits in a pile on the stone table.  It looks almost edible... to a Kobold.	Some sort of food (mushrooms?) sits in a pile on the stone table.  It looks almost edible... to a Kobold.
To the south and east is the forest from which you came. To the north and west are steep cliffs. There are some unusual plants growing out of the side of the cliffs. 	To the south and east is the forest from which you came. To the north and west are steep cliffs. There are some unusual plants growing out of the side of the cliffs. 
They are spitting what seems to be some kind of seed.	They are spitting what seems to be some kind of seed.
The cliff walls are very steep, and they look difficult to climb.	The cliff walls are very steep, and they look difficult to climb.
You've never seen anything quite like them. They're pretty, in a grotesque way.	You've never seen anything quite like them. They're pretty, in a grotesque way.
You'd like to do that, wouldn't you?	You'd like to do that, wouldn't you?
You have no need to take the flowers.	You have no need to take the flowers.
Since the flowers have stopped spitting, the seed might be a little harder to get to.	Since the flowers have stopped spitting, the seed might be a little harder to get to.
Not now!	Not now!
As you attempt to draw your weapon, you lose your balance momentarily.	As you attempt to draw your weapon, you lose your balance momentarily.
Playing catch with the Spirea plants would certainly be fun, but this seed has a future elsewhere.	Playing catch with the Spirea plants would certainly be fun, but this seed has a future elsewhere.
You lose your concentration.	You lose your concentration.
Your skill with the Open spell is not great enough to affect the plants.	Your skill with the Open spell is not great enough to affect the plants.
There is no need to be so destructive.	There is no need to be so destructive.
That spell would damage the seed.  You don't want to do that.	That spell would damage the seed.  You don't want to do that.
You can't see it.	You can't see it.
The large seed spins as it travels through the air.	The large seed spins as it travels through the air.
There's not much point to that now.	There's not much point to that now.
Why do you think you're standing like this. Trying to catch Flying Water?	Why do you think you're standing like this. Trying to catch Flying Water?
You can't catch the seed from down on the ground.	You can't catch the seed from down on the ground.
Perhaps it would be better to find something else to throw.	Perhaps it would be better to find something else to throw.
You might have tried to throw a rock at the seed, but it's too late now.	You might have tried to throw a rock at the seed, but it's too late now.
You get in position for a good throw.	You get in position for a good throw.
You need a good rock to throw.	You need a good rock to throw.
The meadow clearing in which you stand is grassy and littered with blown pine needles and small mossy rocks.	The meadow clearing in which you stand is grassy and littered with blown pine needles and small mossy rocks.
Wait a second!	Wait a second!
The leaves look tough and fibrous.	The leaves look tough and fibrous.
You've already made a mess of that flower.	You've already made a mess of that flower.
There's not much point in that, now that you've already done what you came here to do. 	There's not much point in that, now that you've already done what you came here to do. 
This looks like a good place to you.	This looks like a good place to you.
You valiantly scrabble against the cliff wall, but it looks like your climbing skill could stand some improvement.	You valiantly scrabble against the cliff wall, but it looks like your climbing skill could stand some improvement.
Perhaps there is some other way to get to your objective.	Perhaps there is some other way to get to your objective.
You look for an appropriate place to climb.	You look for an appropriate place to climb.
You pick up a few small rocks.	You pick up a few small rocks.
Unless you just took a kangaroo potion, that plant is too far up the cliff to jump for.	Unless you just took a kangaroo potion, that plant is too far up the cliff to jump for.
You see the seed floating above the shattered remains of the plant.	You see the seed floating above the shattered remains of the plant.
You take the seed.	You take the seed.
You don't need a rock for anything.	You don't need a rock for anything.
It looks difficult. You look around for a good place to climb.	It looks difficult. You look around for a good place to climb.
You put the seed into your pack and climb down.	You put the seed into your pack and climb down.
You remain unconscious on the ground for an indeterminate amount of time. As you finally revive, you realize that you've caused yourself a fair amount of damage.	You remain unconscious on the ground for an indeterminate amount of time. As you finally revive, you realize that you've caused yourself a fair amount of damage.
Ohhhhhhh!	Ohhhhhhh!
You place the seed into your pack.	You place the seed into your pack.
You lose concentration, and the spell fades.  You will have to practice some more.	You lose concentration, and the spell fades.  You will have to practice some more.
You get into a good position.	You get into a good position.
You might have tried to cast a spell at the seed, but it's too late now.	You might have tried to cast a spell at the seed, but it's too late now.
You can see pines, cedars, birches and other trees frequently associated with mountain forests.	You can see pines, cedars, birches and other trees frequently associated with mountain forests.
Thick undergrowth stops you from moving north. 	Thick undergrowth stops you from moving north. 
Dense brush blocks your path to the south. 	Dense brush blocks your path to the south. 
That's one mean Ogress!	That's one mean Ogress!
You furtively grasp the Magic Mirror.	You furtively grasp the Magic Mirror.
There's no time for idle chatter.	There's no time for idle chatter.
There is a bat, all folded up within his wings, hanging on the wall. 	There is a bat, all folded up within his wings, hanging on the wall. 
You'd better not -- it's not your turn at bat.	You'd better not -- it's not your turn at bat.
The bat must be using a digitized encoding program, as you don't seem to understand the high-pitched squeaks.  	The bat must be using a digitized encoding program, as you don't seem to understand the high-pitched squeaks.  
It's a broken gate -- every well-furnished apartment should have one.	It's a broken gate -- every well-furnished apartment should have one.
The tag says "Manufactured by Broom Motors, Ltd."  This must be one of those new sports brooms.	The tag says "Manufactured by Broom Motors, Ltd."  This must be one of those new sports brooms.
Whatever's in this bucket, it really stinks.	Whatever's in this bucket, it really stinks.
You're positive that Baba Yaga could make a fortune if she sold it on the open market. 	You're positive that Baba Yaga could make a fortune if she sold it on the open market. 
The fire burns hot under the kettle.	The fire burns hot under the kettle.
There's a lot of SOMETHING cooking away in the huge black cauldron.	There's a lot of SOMETHING cooking away in the huge black cauldron.
The smell is awful, the color is sickening, and you don't even want to know what's being prepared for dinner.	The smell is awful, the color is sickening, and you don't even want to know what's being prepared for dinner.
The stone hearth and chimney radiates too much heat.	The stone hearth and chimney radiates too much heat.
Okay, Okay, so you think there should be a window here?	Okay, Okay, so you think there should be a window here?
The glass seems to distort the view of the outside world... but which world is it? 	The glass seems to distort the view of the outside world... but which world is it? 
Window?  What window?	Window?  What window?
If you didn't know better, you would swear the mural on the wall looks just like an underground cave.  	If you didn't know better, you would swear the mural on the wall looks just like an underground cave.  
Upon reading the note, you realize it is a recipe for "Frog Legs Fricassee". 	Upon reading the note, you realize it is a recipe for "Frog Legs Fricassee". 
"Look pets... we have a visitor!" 	"Look pets... we have a visitor!" 
"Powers of Night, Shadows of Day -- Heed now my Words! Henceforth you STAY!"  	"Powers of Night, Shadows of Day -- Heed now my Words! Henceforth you STAY!"  
"Well Dearies!  What shall we have for supper today?"	"Well Dearies!  What shall we have for supper today?"
"Hero sandwiches? I had something more formal in mind."  	"Hero sandwiches? I had something more formal in mind."  
"Now how does that spell go...?" 	"Now how does that spell go...?" 
"Hear me, oh Powers Of Klatha and Mana! Turn now my guest Into species called Rana!"  	"Hear me, oh Powers Of Klatha and Mana! Turn now my guest Into species called Rana!"  
"I learned that spell from Erasmus, kids.  Doesn't it look delicious?" 	"I learned that spell from Erasmus, kids.  Doesn't it look delicious?" 
"BE STILL!"	"BE STILL!"
"Critics!  We can't all be gourmands, I suppose."	"Critics!  We can't all be gourmands, I suppose."
"So you're the one who's trying to be a hero around here.  The only good hero's a dead hero, I always say!"	"So you're the one who's trying to be a hero around here.  The only good hero's a dead hero, I always say!"
But I do have a need for a brave fool.  Are YOU brave?  	But I do have a need for a brave fool.  Are YOU brave?  
Yes 	Yes 
No 	No 
You make little froggy sounds, trying your best to indicate your agreement. 	You make little froggy sounds, trying your best to indicate your agreement. 
"Wellll..."	"Wellll..."
"If you're willing to do a small little teensy favor for me, I might reconsider having you for supper."	"If you're willing to do a small little teensy favor for me, I might reconsider having you for supper."
"I need the root of a mandrake plant that grows in the graveyard.  Will you be a sweet and fetch me some?"	"I need the root of a mandrake plant that grows in the graveyard.  Will you be a sweet and fetch me some?"
"Anything but Frog Legs Fricassee!", you think. You croak your agreement to the task.	"Anything but Frog Legs Fricassee!", you think. You croak your agreement to the task.
"And I had my mouth watering for frog.  Oh well!"	"And I had my mouth watering for frog.  Oh well!"
"Hear what I say, And hear me right: Mandrake must be pulled At precisely Midnight!"  	"Hear what I say, And hear me right: Mandrake must be pulled At precisely Midnight!"  
"This I tell you And this I say: Return with the root 'Ere the break of next day."  	"This I tell you And this I say: Return with the root 'Ere the break of next day."  
"Hear what I say And know I don't lie: Bring back the root Or else you will die!!"  	"Hear what I say And know I don't lie: Bring back the root Or else you will die!!"  
"You, Shoo!"	"You, Shoo!"
"Well, you won't be so tough after you've simmered in a little wine sauce."	"Well, you won't be so tough after you've simmered in a little wine sauce."
"Bon appetite, Dearies!" 	"Bon appetite, Dearies!" 
"It's just as well.  I'd lose my dinner if you were brave."	"It's just as well.  I'd lose my dinner if you were brave."
"Nothin' says lovin' like frog legs in the oven."	"Nothin' says lovin' like frog legs in the oven."
"No mandrake for me, eh?  What a waste of spells you turned out to be."	"No mandrake for me, eh?  What a waste of spells you turned out to be."
"Actually, since it's my breakfast time, we'll have some amphibian omelette with bacon and legs."	"Actually, since it's my breakfast time, we'll have some amphibian omelette with bacon and legs."
"You again?"	"You again?"
"Hello, Hero."	"Hello, Hero."
"Powers that rule Over regions soggy: Change this creature Back into a froggy!"  	"Powers that rule Over regions soggy: Change this creature Back into a froggy!"  
"Ooooh... yummy!  I'm glad you returned." 	"Ooooh... yummy!  I'm glad you returned." 
"What have you DONE to me? How DARE you use my own spell against me? I'll, I'll... Oh, oh!"   	"What have you DONE to me? How DARE you use my own spell against me? I'll, I'll... Oh, oh!"   
"Hear me, O Elements of Air and Wind. Give me the power to save my own skin!"  	"Hear me, O Elements of Air and Wind. Give me the power to save my own skin!"  
"Back so soon?"	"Back so soon?"
"Ah!  Here it is."	"Ah!  Here it is."
"Spirits of Mist And Creatures of Bog: Transform my guest To the shape of a Frog."  	"Spirits of Mist And Creatures of Bog: Transform my guest To the shape of a Frog."  
"Yum, Yum.  Froggie Frappe!"	"Yum, Yum.  Froggie Frappe!"
"Did you bring me my mandrake like you promised?"	"Did you bring me my mandrake like you promised?"
"Well?  Where is it?"	"Well?  Where is it?"
"What's the matter?  Got a frog in your throat?"	"What's the matter?  Got a frog in your throat?"
"I suppose I'll have to turn you back into whatever it is that you were. Pity!  You're much more appetizing this way." 	"I suppose I'll have to turn you back into whatever it is that you were. Pity!  You're much more appetizing this way." 
"Creatures of Bog And Spirits of Fog: Return the true form To this rather dumb Frog."  	"Creatures of Bog And Spirits of Fog: Return the true form To this rather dumb Frog."  
"Now, did you put it in your backpack?"	"Now, did you put it in your backpack?"
You try your best to croak out your name, or at least let the witch know that you do indeed have one.	You try your best to croak out your name, or at least let the witch know that you do indeed have one.
As you make a feeble croaking sound, you try to nod your head.	As you make a feeble croaking sound, you try to nod your head.
"Ah...that's it! Frog Legs Fricassee."  	"Ah...that's it! Frog Legs Fricassee."  
Once again you're a frog, and once again you can't move.  You find it very exasperating!	Once again you're a frog, and once again you can't move.  You find it very exasperating!
Your body is frozen by the power of the witch's spell.	Your body is frozen by the power of the witch's spell.
The witch is hopping mad.	The witch is hopping mad.
"Lovies, it's about time we dine."	"Lovies, it's about time we dine."
"Kids!  We have it!"	"Kids!  We have it!"
"That's it!  The final ingredient.  Now we can make our greatest creation..."	"That's it!  The final ingredient.  Now we can make our greatest creation..."
"MANDRAKE MOUSSE!"	"MANDRAKE MOUSSE!"
