"Here lies an atheist..."	「這裡躺著一個無神論者…」
"And for two gold, I'll tell ya how to get into her hut."	「再加兩個金幣，我會告訴你如何進入她的小屋。」
"Ya just take the road north from here past the healer's and go till ya get to his castle."	「你只需從這裡向北沿著路經過治療師的地方，直到到達他的城堡。」
"Everyone loves Dragon's Breath."	「每個人都喜歡龍息。」
"Go south and you'll see a hollow log.  Then head west until ya can go south again.  Then go east until you can go south again.  From there go west.  Them brigands just love vistors."	「向南走，你會看到一根空心原木。然後向西走直到你可以再向南走。然後向東走直到你可以再向南走。從那裡向西走。那些山賊就喜歡訪客。」
"It's due west of town.  Nice place to visit, but I wouldn't want to stay there, if ya know what I mean."	「在城鎮的正西。去那裡很不錯，但如果你知道我的意思，我不想住在那裡。」
"He's the only one in the valley who can beat me at daggers."	「他是山谷裡唯一能在匕首上打敗我的人。」
"He's a pal of mine.  He usually hangs out in the bar.  A real sweet guy. Give him a slap on the back for me."	「他是我的朋友。他通常在酒吧裡閒晃。一個真正好的傢伙。替我在他背上拍一下。」
"The little pests are just northwest of the cemetery.  They're a bunch of wimps."	「這些小害蟲就在墓地的西北。牠們一群懦弱的傢伙。」
"They hide it in the graveyard.  It's under one of the tombstones.  You can see the thieves if you go there at night."	「牠們把它藏在墓地裡。在某個墓碑下面。如果你在夜晚去那裡，你可以看到盜賊。」
"She's got some good potions.  Her hut is just to the north of here."	「她有些不錯的藥水。她的小屋就在這裡的正北面。」
"I seen her one time yelling out to the house, 'Hut of brown, Now sit down.' That is one spooky dame, let me tell you."	「我見過她有一次對房子大喊，『褐色的小屋，現在坐下。』那是一個令人毛骨悚然的女人，讓我告訴你。」
"Lots'a monsters in this valley.  Most of 'em are wimps, though."	「這個山谷裡有很多怪物。但大多數都是懦弱的傢伙。」
"Just call me Bruno."	「就叫我 Bruno。」
"The Sheriff and the goon are pals.  Otto even lives with the Sheriff and his wife."	「治安官和那個傢伙是朋友。奧圖甚至和治安官以及他的妻子住在一起。」
"The thieves' password?  Sorry, I can't risk losing my thief license.  Chief wouldn't like it if I blabbed that to the likes'a you."	「盜賊的密碼？抱歉，我不能冒著失去我的盜賊執照的風險。首領如果我對你這樣的人透露會不高興。」
"He's some kinda magic user.  And he laughs a lot.  That's all I know."	「他是某種魔法使用者。而且他笑得很多。這就是我知道的一切。」
How much silver will you pay?	你會付多少銀幣？
"Okay, whaddaya wanna know."	「好的，你想知道什麼。」
Don't mess around with Bruno.  You don't have enough money.	不要和 Bruno 惹麻煩。你沒有足夠的錢。
"For another silver, I can tell ya about where to go to find the Baron, Baba Yaga, or some goblins who have a lot of treasure."	「再加一個銀幣，我可以告訴你去哪裡找到男爵、芭芭雅嘎或某些有很多寶藏的哥布林。」
"So if ya want some information, hand me some cash."	「所以如果你想要一些信息，給我一些錢。」
A mapseller from Shapeir used to have his stand here, but he's moved on.	一個來自沙皮爾的地圖商人曾經在這裡有他的攤位，但他已經搬走了。
The town gates are open.	城鎮的大門是開放的。
The town gates are closed and barred at night.	城鎮的大門在夜間關閉並上了門閂。
The gate is kept open during the day.	大門在白天保持開放。
Climbing the wall proves too difficult for your current level of skill, but keep practicing.	攀爬牆證明對你現在的技能等級來說太困難了，但要繼續練習。
After making sure nobody is watching, you climb over the town's wall.	確保沒有人在看著之後，你爬過城鎮的牆。
The breeze is cool, but you feel a shiver deeper than just the cold.  You are really on your own now in a very dangerous place.	微風很涼爽，但你感到一陣比寒冷更深的寒顫。你現在真的在一個非常危險的地方獨自一人。
Heavy forest looms to the south.  The trees are just ordinary trees.	濃密的森林聳立在南邊。這些樹木只是普通的樹木。
What can be seen of the sky through the trees is bright and clear.	透過樹木可以看到的天空是明亮而清晰的。
The full moon portends dangerous times.	滿月預示著危險的時刻。
The sign has been carved from local oak.	這個招牌是用當地的橡木雕刻的。
It's flat.  It's made of dirt.  Hey, maybe it's a road!	它是平的。它是由泥土製成的。嘿，也許它是一條路！
The north road winds its way through the woods.	北邊的路蜿蜒穿過樹林。
The road from town branches here.  The north fork leads past the healer's hut to the Baron's castle.  You remember having entered the valley along the eastern road, just before a storm closed the pass.	來自城鎮的路在這裡分支。北邊的叉路經過治療師的小屋通往男爵的城堡。你還記得沿著東邊的路進入山谷，就在暴風雨關閉了山口之前。
You're on the road again!	你又在路上了！
Spielburg roads -- paving the way to a better future.  (Only they haven't gotten around to paving this one yet.)	史畢柏格的路——為美好的未來鋪路。（只是他們還沒有抽空鋪這條。）
The main road by which you entered this valley winds its way through the dense forest.	你進入這個山谷的主要路線蜿蜒穿過濃密的森林。
The eastern fork is the road which brought you into this valley.	東邊的叉路是帶你進入這個山谷的路。
It looks sort of grey, and sort of hard, actually quite a bit like a rock. Yep, that's what it is.	它看起來有點灰色，有點硬，實際上相當像一塊石頭。是的，就是這樣。
The carved wooden sign reads "SPIELBURG."	雕刻的木牌上寫著「史畢柏格」。
The town gates are closed and barred for the night.	城鎮的大門在夜間關閉並上了門閂。
The town gate is closed and locked for the night.	城鎮大門在夜間關閉並上了鎖。
The town wall is made of very sturdy carved rock.	城鎮的牆是由非常堅固的雕刻岩石製成的。
The town gate is wide open.  You would look silly climbing the wall.	城鎮大門敞開著。你爬牆會看起來很愚蠢。
It used to be used for wheeling and dealing, but the wheels won't turn anymore.	它曾經被用來交易，但輪子不再轉動了。
Somebody left the cart before the horse.  (Maybe the horse wasn't quite as broken down.)	有人把車放在馬前面。（也許馬沒有那麼老舊。）
It's an old, broken down cart.	這是一輛又舊又破損的車。
Well, it's broke, that seems to be about cart for the horse around here.	嗯，它壞了，這似乎是這裡關於馬的車的情況。
No one seems to care much about keeping the town clean any more.	似乎沒有人再多關心保持城鎮清潔了。
This cart has seen better days.  Now it's more like a pile of firewood.	這輛車曾經有過更好的日子。現在它更像一堆柴火。
"My foot is caught in this trap.  If I had hands like you, instead of paws, I could free myself."	「我的腳被這個陷阱卡住了。如果我有像你一樣的手，而不是爪子，我可以自己解救。」
Walk around to the other side of the fox, where the trap is.	走到狐狸的另一邊，陷阱在那裡。
The fox is gone.	狐狸消失了。
"My foot is caught in this cruel trap and I am in great pain.  Surely you could take a minute and set me free."	「我的腳被這個殘忍的陷阱卡住了，我感到很大的痛苦。你肯定能抽出一分鐘時間讓我自由。」
