It's just a bush. 	這只是一叢灌木。
"You must go see my daughter, Hilde, who sells our fruits and vegetables on Market Street."	「你一定要去看我的女兒希爾德，她在市集街賣我們的水果和蔬菜。」
Looking at the Centaur's muscles, his  hoe, and his four gleaming hooves, you get the feeling that it might not be the best of ideas.  Besides, he reminds you of your old friend Flicka. 	看著半人馬結實的肌肉、他的鋤頭，還有他四隻閃亮的蹄子，你有種感覺這可能不是個好主意。而且，他讓你想起了你的老朋友弗利卡。
You have no reason to hurt the Centaur.  Put that rock away!	你沒有理由傷害這位半人馬。放下那塊石頭！
This tree will never bear fruit. 	這棵樹永遠結不了果。
It's a pine tree. 	這是一棵松樹。
Three pots wait for the day when they will hold dirt and flowers.  	三個花盆等待著有朝一日被填滿泥土和鮮花。
It is a sturdy iron rake with a wooden handle.	這是一把結實的鐵耙，有著木製的柄。
Fields must be carefully tended to produce the best crops.	為了種出最好的作物，田地必須得到細心照料。
The Centaur turns toward you.	半人馬轉身面向你。
Noticing that you are addressing him, the Centaur stops and gives you his attention.	注意到你在跟他說話，半人馬停了下來，把注意力轉向你。
The Centaur stops raking as you approach.	當你靠近時，半人馬停下鋤地。
The forest surrounds the farmer's small fields and orchard.  The crops have yet to be planted.  There are only a few weeds and some grasses at the edge of the forest.	森林圍繞著農民的小田地和果園。作物還沒有種植。森林邊緣只有一些雜草和草叢。
To the east, you can see a small house.  To the west, you see the forest. To the north, beyond the farmer's orchard, you can see the forest. 	往東，你能看到一棟小房子。往西，你看到森林。往北，在農民果園的外側，你能看到森林。
The field is hoed and fertilized.	田地已經被耙過並施過肥。
The evening is clear and the stars are bright.  Dark clouds pass over the moon.	夜晚天朗氣清，星光璀璨。烏雲飄過月亮。
The sky is a piercing blue with scudding white clouds.	天空是刺眼的藍色，白雲飛快地掠過。
The garden's dark dirt awaits a new day's sunshine.	花園的黑色泥土等著新一天的陽光。
You see a nicely manicured field.  A Centaur rakes the rows.	你看到一片經過精心整理的田地。一位半人馬正在耙著田壟。
The farmer has painstakingly removed all the rocks from his fields.	農民費力地從田裡清除了所有石頭。
"The late snow has made the mountains very pretty.  Fortunately, our valley is sheltered, so the frost has not come to my fields."  	「遲來的雪讓山脈變得很美。幸運的是，我們的山谷被保護著，所以霜凍沒有來到我的田地。」
Don't throw things here.  The farmer wouldn't appreciate it.	別在這兒扔東西。農民會不高興的。
It wouldn't be nice to set the Centaur's crops on fire.	放火燒掉半人馬的作物可不是個好主意。
This is the Centaur's shovel. 	這是半人馬的鏟子。
The trees have tiny fruits forming. 	樹上結著小小的果實。
The tree hasn't been planted yet. 	這棵樹還沒有被種下。
The ornamental vases are empty. 	裝飾花瓶是空的。
You can see the roofs of the town over the fence.	你可以看到圍牆外城鎮的屋頂。
The town gate is wide open during the day.  You would look silly climbing the wall.	城門在白天敞開著。爬牆會讓你看起來很傻。
Climbing this wall is too difficult for your level of skill.  Keep practicing.	爬這面牆對你目前的技能等級來說太難了。繼續練習吧。
Realizing you may hit somebody on the other side of the wall, you put the rock away. 	意識到你可能會打到牆那一邊的人，你放下了石頭。
The creature looks more like a small flying lizard than a bird.	這生物看起來更像一隻小飛蜥蜴，而不是鳥。
You can't reach the birdlike creature from here.	你從這裡無法接觸到這隻類似鳥的生物。
The road winds northward toward a walled castle.	道路向北蜿蜒至一座城牆環繞的城堡。
The door seems to be barred on the inside. Perhaps you should knock.	門似乎從裡面被閂上了。也許你該敲一下。
There is no answer.	沒有人回應。
You hear the voice of the healer saying:  "The last time you were here, I found I was missing some potions."	你聽到治療師的聲音說：「你上次來的時候，我發現我少了一些藥水。」
"I don't like thievery.  Go away!"	「我不喜歡小偷。滾開！」
The door appears to be barred on the inside.	門似乎從裡面被閂上了。
Your skill in lock picking is insufficient to open a sardine can -- with a key!	你的開鎖技能還不夠強，甚至連有鑰匙的沙丁魚罐頭都打不開！
Your lock-picking skill will do you no good here.  The door is barred from the inside.	你的開鎖技能在這裡幫不上忙。門是從裡面被閂上的。
You politely knock on the door.  	你禮貌地敲了一下門。
After a moment, you hear the inside bolt slide open.  	過了一會兒，你聽到裡面的門栓被拉開。
A voice from inside says "Come on in."  	裡面傳來一個聲音說：「進來吧。」
The road leads north to a castle in the distance and south to the crossroads. To the west you can see a farmer's fields. 	道路向北通往遠處的城堡，向南通往十字路口。往西，你可以看到農民的田地。
The house looks cheery and well-kept.  It has the sign of the Healer above the entrance.	房子看起來明亮整潔。入口上方掛著治療師的招牌。
In front of the hut is a small garden in which grow the kinds of plants and herbs that are used for making potions.	小屋前有個小花園，裡面種著用來製作藥水的各種植物和草藥。
It is made of twigs, leaves, and herbs, probably stolen from the healer's garden.	它是由樹枝、葉子和草藥做成的，可能是從治療師的花園偷來的。
There is a birdlike creature sitting in the nest.	一隻類似鳥的生物坐在巢裡。
In the nest is an object which appears to be a ring, glinting in the sunlight.	巢裡有一個物體看起來像是一枚戒指，在陽光下閃閃發光。
It is empty now.	它現在是空的。
What's left of the nest is charred beyond recognition.	巢剩下的部分已經被燒得面目全非。
The remnants of the nest are scattered on the ground.	巢的殘骸散落在地面上。
The nest sits on the branch.	巢坐在樹枝上。
You see nothing in the remains of the nest.	你在巢的殘骸裡看不到任何東西。
There's not enough left to bother with.	沒有足夠的東西值得麻煩。
It's a mess, and you don't need it, anyway.	這是一團亂，反正你也用不著。
It would be too messy to stow in your pack, and it doesn't appear to be good for anything.	放進背包裡會太亂，而且看起來也沒什麼用處。
Perhaps you can do that.	也許你可以試試。
The nest is out of reach, even using your sword.	即使用劍，你也無法夠到巢。
Your dagger misses the nest and falls to the ground; you'll have to keep practicing.	你的匕首沒有擊中巢，掉到了地上；你還得繼續練習。
You don't need to do that now. 	你現在不需要做那個。
There is a plowed field to the west.	西邊有一片犁過的田地。
There is a forest to the east.	東邊有一片森林。
You pick up a shiny gold ring.	你撿起了一枚閃亮的金戒指。
It takes a lot of skill and practice to climb this tree.	爬這棵樹需要很多技能和練習。
You carefully bend down and reach into the nest.	你小心地彎下身子，伸手進入巢裡。
In the nest, you find a gold ring.	在巢裡，你找到了一枚金戒指。
You take the ring and move carefully back along the limb.	你拿起戒指，小心地沿著樹枝往回走。
Made it!  Now back down the tree.	成功了！現在下樹吧。
You place the nest on the ground. It is of no use to you.	你把巢放在地上。它對你沒有用處。
You take a lovely gold ring from the nest.	你從巢裡取出一枚漂亮的金戒指。
You place the ring into your pack and the nest on the ground.	你把戒指放進背包，把巢放在地上。
The bright smell of fresh herbs mingles with the aroma of wood smoke as you come up to a hut by the side of the road.	當你走向路邊的小屋時，新鮮草藥的香味與木煙的氣息混合在一起。
You see a glinting object in the remains of the nest. 	你在巢的殘骸裡看到一個閃閃發光的物體。
That's what happens sometimes when you go out on a limb.	有時候走上樹枝時就會發生這種事。
You see nothing in the nest.	你在巢裡什麼也看不到。
Try, try again, etc... 	再試一次，以此類推…
You can't do that while you're up in the tree!  	你在樹上時不能這樣做！
You pick up a few small rocks. 	你撿起了幾塊小石頭。
As you try to cast a spell from your high perch on the tree, you lose your concentration, and...	當你試著從樹上的高處施法時，你失去了專注力，然後…
That spell is no longer useful here (but you did get some practice).	那個法術在這裡已經沒有用了（但你確實練習了一下）。
The apothecary bottle sign indicates that the occupant of the house is skilled with potions.  	藥瓶的招牌表明這棟房子的主人擅長製作藥水。
You can see nothing in the dark.	你在黑暗中什麼也看不到。
The curtains obscure your vision.  You can only make out a clutter of bottles, jars, and pots on the sill.	窗簾遮住了你的視線。你只能看到窗台上雜亂的瓶子、罐子和壺。
The tree is a large oak.	這是一棵大橡樹。
There is a nest on the limb that stretches toward the hut.  	樹枝上有一個巢，樹枝伸向小屋。
It's a barrel.	這是一個木桶。
It's just a wooden barrel. 	這只是一個木製的木桶。
The healer's bed looks very comfortable. 	治療師的床看起來很舒服。
Since it has been awhile since you took a bath, you decide not to sleep in the healer's bed. 	因為你有一陣子沒洗澡了，你決定不睡在治療師的床上。
It looks like cheesecloth. 	看起來像是起司布。
The fire is very hot. 	火很熱。
    Magic Acorn  	魔法橡實
    Fairy Dust  	妖精粉
    Green Fur  	綠色毛皮
