"Don't bother.  You've already paid, stupid."	「別費事了。你早就付過了，傻瓜。」
"The Sheriff provides a useful service in this town.  He arrests anyone too stupid to be a good thief."	「治安官為這城鎮提供了有用的服務。他抓走所有太蠢而當不了好盜賊的傢伙。」
"Someone is leaking our insider information to the Brigands.  You just can't trust anyone these days."	「有人把我們的內部情報洩露給山賊。現在真是沒人可信。」
"I have had beginners before, but this guild reached a new low when you joined.  Child, you are a thief.  Stealing is how you make a living."	「我見過新手，但自從你加入，這個公會跌到了新低點。孩子，你是盜賊。偷竊就是你的謀生方式。」
"So go out there and steal something and hopefully you'll get, that is, you won't get caught."	「所以出去偷點東西，希望你能……也就是說，你別被抓。」
"There are only a few members of our guild still around here.  With the snow and the brigands keeping away the tourists, it's hard to earn a decent living."	「我們公會在這兒的成員沒幾個了。雪和山賊把遊客都嚇跑了，很難有好收入。」
"Don't get caught."	「別被抓。」
"We will gladly sell you for a modest fee a lock pick.  However, for the true professional, we have a Thief Tool Kit which will allow you to pick anything with a little practice.  Just talk to Boris."	「我們很樂意以合理的價格賣給你開鎖工具。不過，真正的專業人士會用我們的盜賊工具組，只要稍加練習就能打開任何鎖。找柏瑞斯聊聊。」
"There are a few places around town where a clever and skilled thief can make some silver.  Perhaps even you could steal something."	「城鎮裡有幾個地方，聰明又靈巧的盜賊可以撈到銀幣。也許連你都能偷到東西。」
"Try it, and I'll slit you from guggle to zatch!"	「你敢試試，我就把你從喉嚨切到下巴！」
"What do you think this is, your home?  Crusher, deal with this deadbeat."	「你把這兒當你家啊？克拉什，去對付這個賴皮的。」
It looks like yesterday's unfinished dinner. 	看起來像是昨天沒吃完的晚餐。
Crusher ignores you.	克拉什不理你。
Crusher is his usual, amiable self, "every bit the Goon". 	克拉什還是老樣子，親切得令人生厭，「十足的打手」。
While Crusher's leathery skin might make a good strop for your daggers, you don't think you'd enjoy being compressed to something the size of a softball by an angry Goon.	雖然克拉什的皮膚看起來很適合磨刀，但被一個生氣的打手壓成壘球大小可不是什麼好滋味。
The daggers are nicely made, and apparently designed for throwing.  Besides the Chief Thief's seemingly endless collection, there are two matched sets with differently-colored hilts for playing Dag-Nab-It.	這些匕首製作精良，顯然是為了投擲而設計。除了首領盜賊似乎無窮無盡的收藏外，還有兩套配對的匕首，柄部顏色不同，用來玩「匕首擲準遊戲」。
Stealing from a dagger-throwing thief?   That's a dangerous -- and stupid -- idea!	想從會拋匕首的盜賊手裡偷東西？那是個危險──而且愚蠢──的主意！
The opening in the door has a wire grate on it, but there is space below it where objects can be passed through.  The mysterious-looking man on the other side is Boris, the cashier and fence for the Guild. 	門上的開口裝著鐵柵欄，但下面有空隙可以傳遞東西。另一邊是神祕兮兮的傢伙柏瑞斯，是公會的出納和贓物商。
Picking locks in the Thieves' Guild is a singularly stupid idea.	在盜賊公會裡開鎖根本是個蠢到不行的主意。
Affects how far knife flies.	影響刀能飛多遠。
Place hand on slider.	把手放在滑塊上。
The knife the Chief Thief threw. 	首領盜賊拋出來的刀。
Stealing from a dagger-throwing thief?  That's a dangerous -- and stupid -- idea! 	想從會拋匕首的盜賊手裡偷東西？那是個危險──而且愚蠢──的主意！
The ladder to the tavern is very sturdy.  It has to be to support Crusher's weight.	通往酒館的梯子非常牢固。得這樣才能承受克拉什的體重。
It's a prelude to the modern electric bulb, a marked improvement over darkness.  	這是現代電燈泡的前身，比起黑暗可強多了。
A dagger is strategically located on the table. 	一把匕首戰略性地放在桌上。
Stealing from a dagger-throwing thief?   That's a dangerous -- and stupid -- idea! 	想從會拋匕首的盜賊手裡偷東西？那是個危險──而且愚蠢──的主意！
Even thieves get thirsty.	連盜賊都會口渴。
This dark, seedy place is less than you expected of a Thieves' Guild.  You feel uneasy about the sinister mood here. 	這個陰暗、邋遢的地方比你想像中的盜賊公會還糟。你感到這兒的詭異氣氛讓人不安。
The man seated by the table greets you with a scowl, Crusher is his usual, amiable self, and you can't quite make out what lurks behind that massive door. 	坐在桌邊的男人用眉頭歡迎你，克拉什還是老樣子親切得令人生厭，你看不太清楚那扇巨大的門後面藏著什麼。
The door is locked, and Boris won't let you in.	門上了鎖，柏瑞斯不讓你進去。
The floor is surprisingly clean compared to the bar above.  The plaster is chipping in several places.  This place gives you the creeps.	地板比樓上的酒吧出奇地乾淨。但灰泥在幾個地方剝落了。這地方讓人毛骨悚然。
You're probably wondering if there is any honor among thieves.	你可能在想盜賊之間是否有榮譽。
"That ring belongs to the Healer.  You better give it to her before she gets mad." 	「那枚戒指是治療師的。你最好在她生氣前交給她。」
The table is as rough as the man sitting next to it. 	桌子和坐在旁邊的傢伙一樣粗糙。
Dag-Nab-It board. 	匕首擲準遊戲木板。
The trapdoor allows access to the bar above. 	活板門連通樓上的酒吧。
Don't open the lid!  Who knows what will jump out?! 	別打開蓋子！誰知道會跳出什麼東西？！
The barred window lets in the foul stench from the alley.  	有鐵條的窗戶讓巷子裡的惡臭飄進來。
The barrel is too heavy to pick up.	酒桶太重了，拿不起來。
The barrels are empty and smell of sour beer.	酒桶是空的，聞起來像酸啤酒。
"Alms?  Alms for the poor?" 	「施捨？誰能施捨一點給窮人？」
"A word of warning to you -- don't drink the Dragon's Breath!" 	「給你個忠告──別喝龍息酒！」
"A Beggar gets cash only when others get cash, and nobody's got much money here right now, 'cept maybe the Brigands." 	「乞丐只有在別人有錢的時候才有錢，現在這裡沒人有多少錢，除了可能的山賊們。」
"Rumor has it someone smart took over.  Organized them, trained them -- that sort of thing, maybe.  Nowadays, no one's safe outside of town."	「傳言說有個聰明的傢伙接管了他們。組織他們、訓練他們──這類事情，也許吧。現在，城外沒人是安全的。」
"Up to that time, the Brigands were just pains -- dumb guys who sometimes tried to beat up traders outside of town."  	「在那之前，山賊只是麻煩──一些蠢傢伙偶爾會在城外毆打商人。」
"They sure hurt business.  No one's getting rich but them."	「他們確實破壞生意。除了他們以外誰都賺不到錢。」
"There's honest work up at the Baron's castle, I hear.  But begging's my business."	「聽說男爵城堡裡有誠實的工作。但要飯是我的行當。」
"I heard Amblin got scared of the Brigands and decided to move away. I still remember the taste of his cider, it was so good.  It was called, 'Amblin Entertainment' from Spielburg."  	「聽說安布林被山賊嚇跑了。我還記得他的蘋果酒味道好極了。那叫『安布林娛樂』，來自史畢柏格。」
"He works at the tavern.  He lives up to his name."	「他在酒館工作。他真是名副其實。」
"Nobody's ever lived to talk what the Night Gaunts are.  I sure don't want to find out."	「沒人活著說過夜影怪是什麼。我可不想去發現。」
"I have lots of luck, it's just that it's bad."	「我運氣多著呢，只是都是壞運氣。」
"My name is Sam.  I've lived here for five years now, and I think I'll be heading on once the pass clears of snow.  There's supposed to be some good begging towns to the south.  Nice talking to you.  Alms for the poor, Alms!" 	「我叫山姆。我在這兒住了五年，等山路積雪融化我就要離開了。聽說南邊有些不錯的要飯城鎮。很高興跟你聊天。施捨給窮人，施捨啊！」
"I remember when people used to stroll around town after dark.  There's a spell on Spielburg so that it glows at night.  Now, the only people out late are the thieves."	「我記得以前天黑後人們還會在城裡漫步。史畢柏格有法術讓它在夜裡發光。現在，只有盜賊敢出來活動。」
"And out of town, man, you don't dare be out there without a light when the sun goes down.  The Night Gaunts'll get you."	「城外的傢伙，太陽一下山你都不敢沒著火光出去。夜影怪會抓住你。」
"Heard Silmaria is a good place to be.  It's by the sea.  Think I'll head there after this."	「聽說西爾馬里亞是個好地方。在海邊。我想等這陣子過了就去那兒。」
"I've heard talk that some kind of magic keeps things peaceful around here. Folks just don't feel like fighting in town, 'cept maybe Crusher."  	「我聽說某種魔法讓這兒保持平靜。人們就是不想在城裡打架，除了可能克拉什。」
"Kind of wonder about this alley at times, though.  Feels funny -- sort of like the spell missed it.  It's dark at night, too."  	「但我有時候在想這條巷子。感覺怪怪的──好像法術漏掉了它。夜裡也很黑。」
"I'm not usually bothered by them, since I don't have much to steal.  They are around, though.  It's not safe to sleep in the streets at night.  Outside you get eaten, inside you get robbed."  	「他們通常不理我，因為我沒什麼可偷的。但他們確實在。晚上在街上睡覺不安全。在外面會被吃掉，在裡面會被搶。」
"Tourists used to come here regularly for the Spielburg Cider Festival. After the cider industry closed, not much point for the festival without the cider part."  	「遊客以前常來參加史畢柏格蘋果酒節。蘋果酒產業關閉後，沒有蘋果酒的節慶就沒意義了。」
"Understand this used to be a great place to be.   Traders going in and out; tourists coming and going... perfect begging conditions."	「聽說這兒曾經是個不錯的地方。商人進出、遊客來去……要飯的天堂。」
"Things were starting to dry up about the time I got here, just my luck.  The Brigands started getting tough."	「我到這兒的時候事情就開始蕭條了，真是我的運氣。山賊變得兇狠起來。」
"Traders used to stop here on the way south to pick up barrels of some special cider made here by a guy named Amblin."	「商人以前南下時會在這兒停下來，買一些安布林做的特製蘋果酒。」
"You can get a job cleaning the stable, I understand.  It's great if you want to build up muscles or have a place to spend the night, but you won't get rich. I'd rather beg, myself."  	「據我所知，你可以找個打掃馬廄的工作。如果想練肌肉或找個地方睡覺，那很不錯，但不會發財。我還是比較喜歡要飯。」
Stealing from a beggar is not a heroic action.	從乞丐手裡偷東西不是英雄的舉動。
"Thank-you.  I really like apples." 	「謝謝你。我真的很喜歡蘋果。」
A thin man with very patched clothing holds out an empty bowl.  It's the standard Beggar's bowl every beggar is issued when he graduates from an acredited Beggar's School.	一個衣衫襤褸的瘦男人伸出空碗。這是每個從認可的乞丐學校畢業的乞丐都會拿到的標準要飯碗。
A thin man with very patched clothing holds out a bowl containing only your kind contribution.	一個衣衫襤褸的瘦男人伸出碗，裡面只有你慈悲的施捨。
"Thanks.  You know, it's really tough trying to make a living begging in this town since the brigands started scaring all the trade away."  	「謝謝。你知道，自從山賊把生意都嚇跑了，在這城鎮靠要飯維生就變得非常困難。」
"This used to be such a nice place to live.  My advice to you is not to take up begging.  It just doesn't pay.  And don't go out at night."	「這地方以前很不錯。我給你的建議是別從事要飯行業。根本賺不到錢。而且別在晚上出門。」
"Looks like you're about as broke as I am!"	「看起來你窮得跟我一樣！」
"Thank-you.  Hilde's vegetables are always good."	「謝謝你。希爾德的蔬菜總是很好吃。」
Begging	要飯
Cash	現金
Cider	蘋果酒
