"What was that noise?"	「那是什麼聲音?」
Hey!  Even the most rudimentary hero knows that the way to deal with a tripwire is to step over it, not cut it.  Now that you now it's there, you'll avoid it.	嘿!連最初級的英雄都知道對付絆絲的辦法是跨過去，不是剪斷它。既然你現在知道它在那裡，你就可以閃避它。
You feel a trip wire.  Why, those sneaky brigands!  Now that you know it's there, you can easily step over it.	你摸到了一根絆絲。那些狡猾的山賊!既然你知道它在那裡，就可以輕鬆跨過去。
There is a dark rope stretched tautly across the path.  Now that you know it's there, you can easily avoid it by stepping over it.	一根深色繩子繃得緊緊地橫在路上。既然你現在知道它在那裡，就可以輕鬆地跨過去避開它。
You hear a snick as the hasp on the Jack in the Box is released.	你聽到跳跳盒上的門栓被打開時發出的輕響。
That was a useless gesture.	那是個無用的動作。
None of the brigands notices your Calm spell.  There is too much negative thought energy here.	沒有山賊注意到你的鎮定術。這裡的負面思想能量太強了。
No spells are active here.	這裡沒有任何法術生效。
This is not what you expected the brigands' fortress to look like in your imagination.  The barracks with the open half-doors to the east and west are fairly normal looking.	這和你想像中山賊要塞的樣子完全不同。東西兩側有著半開門的兵營看起來相當正常。
The carpet lying near the gate, however, is a bit odd. The small chasm in the middle of this yard with the bridge across it seems strange, too.  There are two blockades near the gate and some barriers near the north.	不過，靠近大門的地毯看起來有點古怪。院子中央那條有橋跨越的小裂谷也挺奇怪的。大門附近有兩道障礙，北邊也有些屏障。
That was a useless spell.	那是個無用的法術。
The rug is too big to put into your backpack and too heavy to carry around. You do notice a pit trap under the spread-out carpet.	地毯太大放不進背包，也太重搬不動。不過你注意到攤開的地毯下有個陷阱。
The carpets look rather new, perhaps recently stolen from the merchant in town.  There is a sign on the red carpet which reads, "Step Here".  It's written in a shaky hand, as if the author was laughing at the time he wrote it.	地毯看起來相當新，也許是最近從城裡商人那兒偷來的。紅地毯上有個牌子寫著「踩這裡」。字跡歪斜，彷彿作者寫字時在暗笑。
Sturdy looking bridge with two support poles across the chasm.  A message (written in a clear, firm hand) reading "Cross Here" is on this bridge.	堅固的橋，有兩根支柱橫跨裂谷。橋上有則訊息，用清晰有力的字跡寫著「走這邊」。
There is a single pole supporting this sturdy looking bridge across the chasm.	一根支柱撐著這座堅固的橋，橫跨裂谷。
The back door.	後門。
They remind you of a bunch of Knochelkopfs.	它們讓你想起一群 Knochelkopfs(碰頭怪)。
There is a chandelier with a rope attached.	有一盞吊燈上面綁著繩子。
The door is already blocked.	門已經被堵住了。
No time for that again (although it WAS fun).  Just get the heck outta here.	現在沒時間再玩了(雖然確實很好玩)。趕快逃出這鬼地方。
The chandelier is out of your reach.	吊燈超出你夠得著的範圍。
Chandelier, used to hold up the rope.	吊燈，用來吊著繩子。
He's been drinking Troll's sweat all night.	他整晚都在喝巨魔汗水酒。
The front door is already barred.	前門已經被封住了。
The floor is strewn with flotsam and jetsam.	地板上散落著各種廢棄物。
You close and bar the door.	你關上門並用木條封住了。
"Oh, a wise guy, eh?"	「喔，你想耍聰明啊?」
There's no need to knock this guy out; the Troll's Sweat he's been drinking has already done the job for you.	不必敲昏這傢伙；他喝的巨魔汗水酒已經替你做好這件事了。
You move the chair in front of the door.	你移動椅子到門前。
Wooden tables, benches, and chairs fill the space of this brigand meeting area.  A chandelier lights the room and  an unlit candelabra stands in the corner.  A rope hangs from the chandelier.	木桌、長凳和椅子填滿了這個山賊集會區。一盞吊燈照亮房間，角落裡站著盞未點燃的燭台。繩子從吊燈垂下。
None of the doors are locked.	沒有任何門被鎖上。
Leave the rope alone for now.  It's serving a very important function by holding up the chandelier.	先別動繩子。它現在的功用很重要——吊著吊燈。
The rope holds up the chandelier.  It's used to lower the chandelier so that it can be lit.	繩子吊著吊燈。它被用來放低吊燈好點燃它。
Most of the tables are grimy with dried beer and such.  The head table, though, is clean.	大部分的桌子都粘著乾燥的啤酒漬之類的東西。不過主桌看起來很乾淨。
You begin toppling the candelabra.	你開始推倒燭台。
The candelabra has already fallen.	燭台已經倒下了。
Sturdy-looking device for holding candles.	看起來很堅固的燭台。
You can't do that from where you're standing.	你從現在的位置做不了這件事。
In the "upstairs" doorway, there is a chain with a handle attached.	在「樓上」的門口，有條綁著把手的鍊子。
You're not close enough.	你離得不夠近。
Get closer.	靠近點。
"Have a nice day!"	「祝你今天愉快!」
It's a box of some sort...or so the sign says.  There is a button on the box.	這是某種盒子……至少牌子是這麼說的。盒子上有個按鈕。
You'll have to get closer.	你得靠近點。
It looks a button, but you'll have to be closer to push it.	看起來像個按鈕，不過你得靠近點才能按它。
Engraved on the button are the words: "PUSH ME".	按鈕上刻著「按我」。
"Oops!  You thought this door led SOMEWHERE!"	「哎呀!你以為這扇門會通往某個地方!」
"What a miserable experience!"	「多麼慘烈的經歷!」
You dare not unbar the door.  You hear hordes of brigands massing beyond it.	你不敢打開門。你聽到成群山賊在門外集結。
You can't do it.	你辦不到。
"Elsa is right next door.  I'll go set up the secret exit for your escape."	「艾爾莎就在隔壁。我去準備秘密出口好讓你逃脫。」
You bar the door behind you.	你在身後用木條封住門。
You behold a most fascinating place.	你看到了一個最迷人的地方。
The person labeled "ME" speaks:	被標籤為「我」的人說話了：
"Abandon mope, all ye who enter here!"	「所有進入此地者，都要拋棄悶悶不樂!」
"Job hunting, or just sight-seeing?"	「在找工作，還是只是來觀光?」
"I foresee a brilliant future for you in the fall."	「我預見你的輝煌未來…會在秋天到來。」
"If you've got something to say, then speak fast or forever hold your pieces."	「如果你想說什麼，就說快點，要不就永遠閉嘴。」
"State your case before I case your estate!"	「在我接收你的遺產之前，先陳述你的理由!」
It would serve no purpose.	那沒有用。
You feel disoriented.	你感到暈眩。
How does he DO this?	他到底是怎麼做到的?
There's an ECHO IN HERE... Echo In Here... echo in here...	這裡有回音……有回音……有回音……
M. C. Escher would LOVE this place.	M. C. 艾舍爾一定會愛上這個地方。
OK, enough fooling around!	好吧，別亂來了!
This is getting old!	這傢伙太老了!
A person COULD get used to this.	人是有可能習慣這個的。
Your magic has no effect.  It must be something about this room.	你的魔法沒有效果。一定是這房間的關係。
"ME" sees you preparing your spell and...	「我」看到你在準備法術，然後……
Nothing is locked.	沒有任何東西被鎖上。
There is a deep pit with a walkway winding above it.	有個深坑，上面有條蜿蜒的走道。
There appear to be stairs leading up (?) to nowhere.  There is also what looks like a bowl full of fireflies.	似乎有些階梯通往(?)無處可去。還有個看起來裝滿螢火蟲的碗。
With the Brigands pounding at the door, you decide not to rest until you're safe.	山賊在門上狂敲，你決定在安全前不休息。
Stairs lead up to the platform on which "ME" is located.	階梯通往「我」所在的平台。
Why would you want to throw that?	你為什麼想丟那個?
"No more talking, my friend.  Let's have fun!"	「別再囉唆了，我的朋友。我們來玩樂!」
You're too busy.	你太忙了。
"It looks like the talking is over."	「看來談話結束了。」
"Would he be surprised to see his little girl now!"	「要是他現在看到他的小女兒，一定會大吃一驚!」
"Everybody needs to know a few magic tricks to get by these days.  You'd be surprised how effective Sleeping Powder is for taking out the guards of a caravan."	「現在誰都得知道幾招魔法才能活下去。你會驚訝於催眠粉對付商隊守衛有多有效。」
"You know about the enchantment?  Then perhaps you have come to help. Perhaps you are able to take the child from the band."	「你知道詛咒的事?那你可能是來幫忙的。也許你有辦法把孩子從山賊手中救出。」
"Elsa doesn't know who she really is.  That's part of the enchantment."	「艾爾莎不知道她真正是誰。那是詛咒的一部分。」
"When Elsa was left with some brigands ten years ago, all her memories were taken away from her."	「十年前艾爾莎被留給山賊時，她的所有記憶都被奪走了。」
"I borrowed a Magic Mirror from a friend to try to break the spell, but it only works when spells are cast directly at you."	「我從朋友那兒借了面魔鏡想破解詛咒，不過它只有在法術直接施加在你身上時才有效。」
"If you're going to be the big Hero, I hope you brought a Dispel Potion or something."	「如果你要做大英雄，希望你帶了解除詛咒藥劑之類的。」
"The true Dispel Potion will break an enchantment.  You must splash the potion on Elsa as soon as you can, or she'll skewer you for sure.  She's more than a match for old 'Swordy Lordy' now!"	「真正的解除詛咒藥劑能破解任何詛咒。你得盡快把藥劑潑在艾爾莎身上，否則她一定會把你串成烤肉。她現在比「劍客勳爵」還要強得多!」
"You know Elsa?  Then perhaps you have come to help.  Perhaps you are able to take the child from the band."	「你認識艾爾莎?那你可能是來幫忙的。也許你有辦法把孩子從山賊手中救出。」
After you have explained what you know about Elsa, Yorick speaks:	在你解釋了你對艾爾莎的了解後，尤瑞克說話了：
"It's about time that someone else helped Elsa before it's too late! Toro and I are the only friends she's got here."	「是時候該有人在太晚前幫助艾爾莎了!我和托羅是她在這兒唯一的朋友。」
"She's a lot like her dad, though.  She organized these brigands and changed them from mere thugs to major raiders!"	「不過她很像她爸爸。她組織了這些山賊，把他們從小流氓變成大盜匪!」
"She plans to move the entire band away from the valley as soon as the snow clears.  If that happens, I know she will never be disenchanted."	「她計畫一旦積雪融化就帶著整個幫派離開山谷。要是那樣，我就知道她永遠不會被解除詛咒。」
"There are plenty of doors.  You wouldn't want me to spoil your fun, now!"	「門多著呢。你應該不想我毀了你的樂趣吧!」
"Either you'll figure it out in the end, or you'll end it before you're out."	「你要不最後想通，要不就在逃出去前把自己終結。」
"This fort is the brigand's palace.  It has been well-constructed."	「這座要塞是山賊的宮殿。蓋得相當不錯。」
"For thirty years I was the Court Jester.  Now I jest enjoy watching other people take the pratfalls."	「三十年來我都是宮廷弄臣。現在我只是喜歡看別人出洋相。」
"I'll protect the Brigand Leader with everything I've got.  That's no laughing matter as I get madder."	「我會用盡全力保護山賊首領。這不是開玩笑，當我生氣時尤其如此。」
"This room is my way of keeping the brigands from bothering the Leader about raises, since it tends to raze the brigands."	「這個房間是我用來阻止山賊向首領要求加薪的辦法，因為它會把山賊消滅掉。」
"I designed it myself!  This place has people rolling in the aisles."	「我自己設計的!這地方會讓人笑得滾來滾去。」
"Can't you see that I am he?  I try to inspire (before they expire) a sense of awe and majesty in those that enter here."	「你沒看出來我就是他嗎?我試圖在進入這裡的人心中喚起(在他們完蛋前)敬畏和威嚴的感受。」
"After all, I am the Brigand Warlock.  One has to keep up one's appearances, or appear to keep up with one's peers."	「畢竟，我是山賊巫師。一個人必須維持自己的門面，或看起來要跟上自己的同僚。」
"Toro is the minotaur that guards this fortress.  Elsa found him when he was just a calf, and he's kowtowed to her ever since."	「托羅是守衛這座要塞的牛頭怪。艾爾莎在他還是牛犢時找到他，他從那時起就對她言聽計從。」
