Karl the gatekeeper. 	卡爾·守門人。
That rock's too big to budge. 	那塊岩石太大了,動不了。
That's not a whetstone. 	那不是磨刀石。
Why waste that on a tree? 	何必對樹浪費那個?
Maple.  Fortunately for it, you're not a sapsucker (regardless of your tummy color). 	楓樹。幸運的是,你不是樹液吸蟲(不管你肚子什麼顏色)。
Elmer Gantree. 	埃爾默·甘特里。
Ash.  Christmas.  Or maybe scrub oak.  Do you really care what kind of tree this is? 	灰樹。聖誕。或許灌木橡樹。你真的在乎這是什麼樹嗎?
Redwood. 	紅木。
Gazebo on the hoof. 	蹄上的涼亭。
Larch. 	落葉松。
Ponderosa Pine. 	黃松。
Spruce. 	雲杉。
Careful!  If it floats, it could be a witch. 	小心!如果它浮起來,可能是巫婆。
Scotch pine. 	蘇格蘭松。
George Bush. 	喬治·布什。
Fir. 	冷杉。
It's a logic tree. 	這是邏輯樹。
Refugees from Beirut (Cedars of Lebanon). 	貝魯特難民(黎巴嫩杉樹)。
Buddha-free bodhi tree. 	無佛菩提樹。
Tree House. 	樹屋。
Shoe tree. 	鞋樹。
Family tree. 	家譜樹。
Congratulations!  You have found the world famous money tree!  In but forty-seven years it will be ripe for harvest and you will be wealthy beyond your wildest dreams, unless changes in the tax code make it prohibitively expensive to harvest it.  On second thought, better leave it alone, while you still have the shirt on your back.	恭喜!你找到了世界著名的搖錢樹!再過四十七年它就會成熟可收穫,你將富有得超出你最瘋狂的夢想,除非稅法改變使收穫成本禁止性地高昂。再想想,還是別碰它,趁你還有衣服穿著。
Birnam Wood (not yet marching). 	比爾南森林(還沒行進)。
Norwegian wood. 	挪威木材。
The undiscovered countree. 	未發現的小鎮。
Woodrow Wilson.   	伍德羅·威爾遜。
Are those a lumberjack's discarded unmentionables in that tree? 	那是樵夫丟棄的難以啟齒的東西在樹裡嗎?
The Treety of Versailles. 	凡爾賽條約。
Daventree. 	達文特里。
Not a mallorn. 	不是瑪洛樹。
I talk to the trees, but they don't listen to me. 	我和樹說話,但它們不聽我的。
No, that's not a palm tree.  	不,那不是棕櫚樹。
That's a sword, not an axe, fellow. 	那是劍,不是斧頭,夥伴。
The trees don't appreciate being used for target practice. 	樹木不希望被用作靶子練習。
No, that's not a fruit tree. 	不,那不是果樹。
The spell refuses to fire.	咒語拒絕發動。
The door is securely barred from the inside, but you do get some practice.	門從內側被牢牢棒住,但你確實得到了一些練習。
There are no doors within reach. 	沒有門在可及範圍內。
You don't know how to pick locks.	你不知道怎麼開鎖。
In broad daylight?  You've got to be kidding!  You'd be arrested for certain.	在光天化日下?你在開玩笑吧!你肯定會被逮捕。
Despite your intentions, you feel a calmness and a sense of peace descend upon you as you even consider thoughts of violence.	儘管你有意圖,當你甚至考慮暴力思想時,你會感到平靜和和平降臨。
You really can't sleep here.  	你真的不能在這裡睡覺。
This doesn't look like a good place to curl up.	這看起來不是個好的蜷縮地點。
You're too awake to sleep now.	你現在太清醒了,無法入睡。
You curl up on the hard ground and try to get some rest.	你在硬地上蜷縮起來,試圖休息。
Restore 	恢復
Restart 	重新開始
Quit 	退出
You can't do that now.	你現在不能這樣做。
You've already done that. 	你已經做過了。
You don't have it.	你沒有。
You are getting tired.	你變得疲憊。
You are exhausted from lack of sleep.	你因缺乏睡眠而筋疲力盡。
You are so exhausted that everything you do hurts.  Better get some rest.	你筋疲力盡到做任何事都會傷害你。最好休息一下。
You don't have enough Magic Points to cast that spell.	你沒有足夠的法力來施展那個咒語。
You just ate your last ration.  You'd better get some more food soon. 	你剛吃了最後一份糧食。你最好很快找點更多食物。
You're starving.  Better find some food SOON!	你在挨餓。最好馬上找食物!
You're really getting hungry.	你真的開始餓了。
You sense no magic in this area.	你感到這個區域沒有魔法。
There is no response to your spell.	你的咒語沒有反應。
Everything here must be bolted down somehow. 	這裡的一切必須以某種方式螺栓固定。
