"Ahh!"	「啊!」
Castle	城堡
Curse	詛咒
Elsa	艾爾莎
Graveyard	墓地
Guards	衛兵
Hero	英雄
Hut	小屋
Job	工作
Open Gate	打開城門
Brigand Leader	山賊首領
Loss	喪失
Brigand Warlock	山賊巫師
Monsters	怪物
Name	名字
Protection	保護
Reward	獎勵
Stable	馬廄
Treasure	寶藏
Valley	山谷
Yorick	尤瑞克
"Very well."	「好吧。」
"Just a minute while I raise the gate."	「稍等，我馬上升起城門。」
"This powerful Ogress is the cause of all the Baron's misfortune.  She is a vile creature who knows much magic."	「這個強大的女食人妖是男爵所有不幸的根源。她是個邪惡的生物，懂得很多魔法。」
"The Baroness died soon after the birth of her daughter.  The Baron still mourns her."	「男爵夫人在生下女兒不久後就去世了。男爵仍在為她哀悼。」
"My Lord sees no one since the loss of his son and daughter."	「自從失去兒子和女兒後，我的主人就不見任何人。」
"The Baronet Barnard von Spielburg was a proud young man and had the dark hair and eyes of his father the Baron."	「男爵少爺巴納德·馮·史畢柏格是一個驕傲的年輕人，有著像他父親男爵一樣的黑髮和眼睛。」
"He rode off one morning and his horse returned without him.  The horse had been raked by the claws of some large animal."	「他一個早上騎馬出去，只有馬回來了。馬被某個大動物的爪子划傷了。」
"There is still a reward offered for the safe return of the Baronet, but I fear he is dead."	「仍然有獎勵懸賞男爵少爺的安全返回，但我恐怕他已經死了。」
"There are now too few guards to take out the brigands which rob our people and drive away the traders."	「現在衛兵太少，無法擊滅搶劫我們人民和驅趕商人的山賊。」
"They hide somewhere near the edge of this valley.  The brigands are protected by a magic user and they have a shrewd leader."	「他們躲在山谷邊緣附近的某個地方。山賊由一個法師保護，他們還有一個精明的首領。」
"This is the castle of Baron Stefan von Spielburg."	「這是史蒂芬·馮·史畢柏格男爵的城堡。」
"The Baron ordered Baba Yaga to leave and she first cursed the graveyard. When he then sent the Baronial Guards after her, only their Captain returned to the castle."	「男爵命令芭芭雅嘎滾蛋，她首先詛咒了墓地。當他派遣男爵衛隊追捕她時，只有他們的隊長回到城堡。」
The Captain spoke the words, "Hear me, oh mighty Baron.  Thou hast angered me, and thus you are cursed.  All that you value shall you lose; all that you treasure shall be taken from you," in a strange voice.	隊長用奇怪的聲音說：「聽我的，偉大的男爵。你惹惱了我，所以你被詛咒了。你所珍視的一切都將失去；你所寶貴的一切都將被奪走。」
"The captain then dissolved into a pool of sticky blackness."	「隊長然後化成了一灘黏稠的黑色物質。」
"Elsa von Spielburg was a lovely young child with braided blond hair and bright blue eyes like her mother the Baroness used to have."	「艾爾莎·馮·史畢柏格曾是一個可愛的小女孩，有著梳成辮子的金髮和明亮的藍眼睛，就像她的母親男爵夫人一樣。」
"A large winged creature flew over the castle walls, grabbed Elsa, and vanished before the guards could fire upon it.  We searched everywhere for her, but to no avail."	「一個巨大的翅膀怪物飛過城牆，抓住艾爾莎後消失，衛兵們還沒反應過來。我們到處搜索她，但毫無所獲。」
"Even the jester Yorick joined the search for her."	「連弄臣尤瑞克也加入了搜索她的行列。」
"The Baron sent a troop of guards to storm Baba Yaga's hut, but I think their skulls sit atop her fence.  Elsa von Spielburg would be about eighteen now."	「男爵派遣一隊衛兵突襲芭芭雅嘎的小屋，但我想他們的頭骨現在就在她的籬笆上。艾爾莎·馮·史畢柏格現在差不多十八歲了。」
"Baba Yaga cursed the graveyard such that the dead can not rest at night. One can not go near the graveyard after dark without risking his own death unless one uses protection."	「芭芭雅嘎詛咒了墓地，使得死人在夜間無法安息。不用保護的話，任何人都不能在天黑後靠近墓地而不冒死亡的危險。」
"The Baron von Spielburg lost most of his guards trying to defeat Baba Yaga."	「馮·史畢柏格男爵在試圖擊敗芭芭雅嘎時失去了大部分衛兵。」
"'Hero of the Realm of Spielburg' is a title of respect and honor. A true hero can release this land from its curse using his intelligence and courage."	「『史畢柏格領地的英雄』是一個尊敬和榮譽的稱號。真正的英雄可以用他的聰慧和勇氣解救這片土地。」
"Baba Yaga has her hut to the northwest.  It is a very dangerous place and many Baronial Guards have been lost there."	「芭芭雅嘎的小屋在西北方。那是一個非常危險的地方，許多男爵衛隊都在那裡喪生。」
"The stablekeeper could use a strong young person to help clean out the stables."	「馬廄管理員需要一個強壯的年輕人幫忙清理馬廄。」
"It does not pay much, but it is good, honest work."	「報酬不多，但這是誠實的工作。」
"If you would like to take the job, come on in."	「如果你想接這份工作，進來吧。」
"The leader of the brigands must be a good strategist."	「山賊的首領必定是個很好的戰略家。」
"He has organized and lead many raids which result in much treasure and little loss on the part of the brigands.  Without their leader, the brigands would soon flee."	「他組織並領導了許多掠奪行動，獲得大量寶藏但山賊的損失很少。沒有他們的首領，山賊很快就會逃散。」
"Ten years ago the Baron's daughter Elsa was stolen away by magic.  Five years back, the Baronet Barnard von Spielburg went on a hunt from which he did not return.  This was all clearly part of Baba Yaga's curse."	「十年前，男爵的女兒艾爾莎被魔法偷走。五年前，男爵少爺巴納德·馮·史畢柏格去狩獵後就沒有回來。這一切顯然都是芭芭雅嘎詛咒的一部分。」
"Not much is known about him, but he seems to use more magic potions and powders than spells."	「對他瞭解不多，但他似乎用的是魔法藥劑和粉末多於咒語。」
"There are many foul creatures stalking the forest since the Baron has too few guards to protect this valley from them."	「森林裡有許多可怕的生物在徘徊，因為男爵太少衛兵無法保護山谷。」
"My name is Karl."	「我叫卡爾。」
"There is an unguent you can purchase from the Healer which protects against the dead that walk by night."	「你可以從治療師那裡買到一種軟膏，可以保護你免受夜間行走的死人傷害。」
"There is still a reward offered for the safe return of the Baronet and Elsa von Spielburg of 50 gold."	「仍然為男爵少爺和艾爾莎·馮·史畢柏格的安全返回懸賞 50 金幣。」
"For the capture or death of the Brigand Warlock there is the reward of 50 gold."	「捕獲或擊斃山賊巫師有 50 金幣的獎勵。」
"For the capture or death of the Brigand leader there is the reward of 50 gold and the title of 'Hero of Spielburg'."	「捕獲或擊斃山賊首領有 50 金幣的獎勵和『史畢柏格英雄』的稱號。」
"Cleaning up after the horses is a good way to build up your muscles."	「清理馬匹是鍛鍊肌肉的好辦法。」
"Many merchants have been robbed by the brigands.  There is a merchant in town who could tell you about his robbery."	「許多商人都被山賊搶劫過。城裡有個商人可以告訴你他被搶的事。」
"Spielburg Valley was once a prosperous and peaceful place before the Baron lost his family."	「在男爵失去家人之前，史畢柏格山谷曾經是個繁榮與和平的地方。」
"Now the Baron will not leave his castle and does not know the ruin this land has come to."	「現在男爵不肯離開他的城堡，不知道這片土地已經成廢墟。」
"He was a very jolly fool who loved to laugh.  He was devoted to Elsa and swore he would not return until Elsa was safe."	「他是個非常活潑愛笑的傻瓜。他對艾爾莎很執著，發誓在艾爾莎安全之前不會回來。」
The mountains in the distance ring the valley of Spielburg, creating a formidable barrier to travelers.	遠處的山脈環繞著史畢柏格山谷，對旅人構成了可怕的障礙。
The portcullis has been raised, and the way to the castle is clear.	城門已經升起，進城堡的路已經暢通。
The portcullis presents a severe obstacle for entry to the castle.	城門對進入城堡造成了嚴重的阻擋。
The castle is securely locked for the night.	城堡在夜間被牢牢鎖上。
The gate is already open.	城門已經打開了。
After climbing down the wall you says to yourself, "Self," you says, "that wasn't too bad."	從牆上爬下來後，你對自己說：「嘿，」你說，「這還不算太糟。」
Once more the guard raises the portcullis.	守衛再次升起城門。
That smarts.  Maybe you should move a little more quickly.	那很疼。也許你應該快一點。
The guard, sensing something is awry, raises the portcullis.	守衛感覺到異常，升起了城門。
