    Flowers from Erana's Peace  	    伊瑞娜的安寧之地的鮮花
"I need the mushrooms from a fairy ring to make Power Potions.  I will pay you one gold for some." 	「我需要妖精環的蘑菇來製作法力藥水。我會為你付一枚金幣。」
"Almost due north of here is the meadow called 'Erana's Peace'."	「幾乎正北方是叫做『伊瑞娜的安寧之地』的草地。」
"It is a very magical area and I understand that it is a place of safety.  It is beautiful all year, for the flowers are always in bloom."	「這是個非常具有魔法的地方，我聽說那是個安全的地方。它全年都很美麗，因為花朵總是在盛開。」
"Oh, that's my pet, Pterry, the pterosaur.  He has a girl friend, Pteresa, with a nest in the oak outside my door.  Pterry keeps me company and listens while I chatter as I work."	「哦，那是我的寵物派瑞，一隻翼龍。牠有個女朋友叫派特雷莎，在我門外的橡樹上築巢。派瑞陪伴我，在我工作時聽我唠叨。」
"I make and sell Healing Potion, Power Potion, Vigor Potion, and Undead Unguent." 	「我製作和販賣治療藥水、法力藥水、活力藥水和不死藥膏。」
"They are a species of flying lizard.  I understand they can grow quite large in the south."	「它們是飛行蜥蜴的一種。我聽說它們在南方能長得相當大。」
"I will give six golds to the person who returns my ring.  It was a gift when I graduated from the College of Healing."	「我會給找到我戒指的人六枚金幣。那是我從治療學院畢業時的禮物。」
"My ring is shaped in gold like a braid of the herb Athelas with entwined leaves.  I don't know how I lost it, I hardly ever take it off." 	「我的戒指是用黃金打造，造型像是艾瑟拉斯草編織的花辮，葉子交織在一起。我不知道怎麼掉的，我幾乎不曾脫下它。」
"He was just a young dashing man when he last rode off; he never returned." 	「他最後一次騎馬離開時還是個年輕英俊的男人；他再也沒有回來。」
"I always need ingredients for making potions.  Right now, I need some of Erana's Flowers, Magic Mushrooms, Troll Beard, and, let me think ... Oh, yes, Cheetaur Claws."	「我總是需要製作藥水的材料。現在我需要一些伊瑞娜的鮮花、魔法蘑菇、巨魔鬍鬚，讓我想想……哦，對，獵豹人爪子。」
"I will be happy to pay you if you bring me some.  I'll also buy back any empty flasks you have so that I can recycle them.  Waste not, want not, after all."	「如果你帶一些來，我很樂意付你錢。我也會回購你的空藥瓶，這樣我就能回收利用。畢竟，浪費不得啊。」
"Floating Spirits are the ghosts which usually hang around graveyards at night.  They are dangerous, so don't go near them unless you use Undead Unguent first."	「漂浮靈魂是通常在夜間在墳墓周圍徘徊的幽靈。它們很危險，所以除非你先使用不死藥膏，否則不要靠近它們。」
"Stamina is a measure of the energy the body uses as you work or play."	「耐力是衡量你工作或玩樂時身體使用的能量。」
"Undead Unguent is used to drive off the minor undead such as zombies or floating spirits.  It doesn't last long, so you should use it near where you are going to encounter such things."  	「不死藥膏用來驅趕小型不死生物，如喪屍或漂浮靈魂。效果不持久，所以你應該在即將遭遇這些東西的地方使用它。」
"Vigor Potion is used to revitalize yourself after vigorous exercise.  It helps to restore stamina."	「活力藥水用來在劇烈運動後恢復活力。它有助於恢復耐力。」
"There are not too many zombies in this land, too damp, I suppose.  There are some floating spirits, I have heard."	「這片土地上沒有太多喪屍，太潮濕了，我想。我聽說有一些漂浮靈魂。」
You find that you have less money than you thought, and can't afford to buy a potion.	你發現你的錢比你想的少，買不起藥水。
You'll have to be more specific.	你得說得更清楚一點。
"I need all my flasks for potions.  You'll have to get one somewhere else."	「我所有的藥瓶都用來做藥水。你得去別的地方拿。」
"I don't have any."	「我沒有。」
"I hope this will help you."	「我希望這對你有幫助。」
"Please, show some respect."	「拜託，請尊重一下。」
"Thank you, I always need flasks."	「謝謝，我總是需要藥瓶。」
"Oh, thank you for finding my ring.  How I've missed this.  Here are six golds and two Healing Potions for your reward!"	「哦，謝謝你找到我的戒指。我多麼想念它。這是六枚金幣和兩瓶治療藥水作為你的獎勵！」
"So you helped the Dryad; that's nice.  She does keep the forest around here healthy.  So that's how to make a Dispel Potion, is it?  Thanks for letting me know." 	「你幫助了樹精；真好。她確實保持著這一帶的森林健康。所以這就是製作解除魔法藥水的方法嗎？謝謝你讓我知道。」
"I wouldn't know what to do with that." 	「我不知道拿這個怎麼辦。」
"Thank you, but I have all the flowers I need."	「謝謝，但我已經有我需要的所有鮮花。」
"Thank you.  I can always use flowers from Erana's Peace in potion making. Here are your silvers."	「謝謝。我總是能在製作藥水時用上伊瑞娜的安寧之地的花朵。這是你的銀幣。」
You put them away.	你把它們收起來。
"Thank you.  I'll save this for a later use."	「謝謝。我會存起來以後用。」
"Those Meeps sound so interesting.  I'd like to meet them sometime.  I'll get to work on that potion of yours." 	「那些咪普聽起來很有趣。我想有機會見見它們。我來開始製作你的藥水吧。」
"So, you say this is one of the ingredients for the Dispel Potion.  Well, I had better get started making it."	「所以，你說這是解除魔法藥水的一種材料。好吧，我最好開始製作它。」
"Thank you.  I'm sure that I'll find a good use for Fairy Dust."	「謝謝。我相信我會找到妖精粉的好用途。」
"I don't need any more Flying Water.  Thank you anyway."	「我不需要更多飛水了。不過還是謝謝。」
"Thank you for the offer, but I really don't need any water."	「謝謝你的提議，但我真的不需要任何水。」
The Healer makes some sort of arcane gesture over the flask of water, then looks surprised.	治療師對著水瓶做出某種奧祕的手勢，然後看起來很驚訝。
"I'm sorry, but this water does not seem to have any magical potential at all.  This can't be the `Flying Water' you described."	「抱歉，但這水似乎完全沒有任何魔法潛力。這不可能是你描述的『飛水』。」
The Healer makes some sort of arcane gesture over the flask of water, then smiles.	治療師對著水瓶做出某種奧祕的手勢，然後微笑。
"Flying Water.  How clever."	「飛水。真聰明。」
"Thank you, but I have enough mushrooms."	「謝謝，但我已經有足夠的蘑菇。」
"These are very nice.  I'll dry them and grind them into a powder."	「這些很不錯。我會把它們曬乾然後研成粉末。」
"Let me think, oh yes, I said these are worth a gold.  Here you are."	「讓我想想，哦是的，我說過這些值一枚金幣。給你。」
You put it away.	你把它收起來。
"You have ruined the mushrooms with toadstools.  I can not buy your mushrooms."	「你用毒菌毀了蘑菇。我不能買你的蘑菇。」
"Do you mean to tell me that you actually managed to kill a Cheetaur?  You're quite a hero, aren't you?" 	「你是在告訴我你真的殺死了獵豹人？你真是個英雄啊？」
"Here is your money. You might think about purchasing a Healing Potion in case you have to fight such monsters again."	「這是你的錢。你可能要考慮買一瓶治療藥水，以防你得再次對付這樣的怪物。」
"Don't tell me you actually killed a Troll?  Why, you are really amazing. I haven't had any Troll's Beard for a long time.  There are two healing potions for the beard." 	「別告訴我你真的殺死了巨魔？天哪，你真是太了不起了。我很久沒有得到巨魔的鬍鬚了。鬍鬚有兩瓶治療藥水。」
They are ingredients the healer uses to make her potions. 	它們是治療師用來製作藥水的材料。
Soup is good for you.  Mmmm Mmmm good.	湯對你很好。嗯嗯嗯真好。
It's not your soup.	這不是你的湯。
It's a ladder up to the loft where the Healer has her personal quarters.  No, you can't go up the ladder.	這是通向治療師個人房間的閣樓樓梯。不，你不能上樓梯。
Don't be nosy.	別多管閒事。
The pterosaur's litter box.	翼龍的貓砂盆。
Amelia uses a wide variety of pots to make her magical potions.	阿蜜莉亞用各種各樣的鍋來製作她的魔法藥水。
Do you want to burn yourself?  Those pots are hot! 	你想燙到自己嗎？那些鍋很燙！
You see a winged lizard much like the one you saw outside.	你看到一隻翼龍，很像你在外面看到的那隻。
Small on a prehistoric scale, but still a pterosaur.	按史前標準來說很小，但仍然是翼龍。
"I cannot make you another Dispel Potion unless you can convince the Dryad to give you another magic acorn.  I do not think that is likely."	「除非你能說服樹精給你另一個魔力橡果，否則我無法為你製作另一瓶解除魔法藥水。我不認為那可能。」
You tell the healer that you have been to visit the Dryad of the Woods, and that she gave you a Magic Acorn and told you the formula for a potion to dispel enchantments.  	你告訴治療師你去拜訪了森林樹精，她給了你一個魔力橡果並告訴你製作解除魔法藥水的配方。
"Oh, by the way, if you happen to find a ring on your adventures, I lost my favorite gold ring.  I will give a reward to the one who returns it."	「哦，順便說一下，如果你在冒險中碰巧找到戒指，我弄丟了我最喜歡的金戒指。我會給找到它的人獎勵。」
"Here is the potion of Dispel!" 	「這是解除魔法藥水！」
"Use it by splashing it on the victim of a magic spell.  Mind you, this won't work if the spell is caused by a magic item; that type of magic can only be removed by taking away the item." 	「用它潑在魔法咒語的受害者身上。注意，如果咒語是由魔法物品引起的，這不會起作用；那種魔法只能透過拿走物品來消除。」
"Please leave me to make the potion, and when you return I shall have it for you." 	「請讓我製作藥水，當你回來時我就會為你準備好。」
"If you know the ingredients for a Dispel Potion and bring them here, I can make you such a potion."	「如果你知道解除魔法藥水的材料並帶來，我可以為你製作這種藥水。」
"The Dispel Potion will take a while to make.  Why don't you come back later?"	「解除魔法藥水需要一些時間製作。你何不稍後回來？」
"Well, what can I do for you this time?"	「嗯，這次我能為你做什麼？」
The fragrances of herbs mingle with some rather unpleasant odors as you step into the healer's house.  	當你踏入治療師的房子時，草藥的香氣與一些相當難聞的氣味混合在一起。
You put the reward away, and tell her she is welcome, as you leave to avoid being kissed again.  	你把獎勵收起來，告訴她不客氣，然後離開以避免再被親吻。
"Lovely day, isn't it?  My, you look very healthy for an adventurer.  You must be new."	「美好的一天，不是嗎？哇，你作為一個冒險家看起來很健康。你一定是新手。」
"What can I do for you?  I can sell you healing potions if you like."	「我能為你做什麼？如果你願意，我可以賣你治療藥水。」
