Gaunts	瘦骨怪
"That 'Coin Light' spell gets them every time.  See that dagger?  The next one is centered on your back." 	「那個『Coin Light』法術每次都能騙到他們。看到那把匕首了嗎?下一把就對準你的背了。」
"Give Sneak there your cash and you walk out of here. It's a simple trade, your life for your money."	「把你的錢給斯尼克，然後你可以走出這裡。這很簡單，用你的生命換你的錢。」
"Aw, ya forgot to pay.  What a shame."	「啊，你忘記付錢了。太可惜了。」
"Hey, Sneak, this guy's hard of hearing or something.  I told him to stay out of our alley, and he didn't listen.  Let's teach him a little lesson about listening to his betters."	「嘿，斯尼克，這傢伙好像是個聾子還是什麼。我告訴他別進我們的小巷，他沒聽。讓我們教他一堂關於聽從比他高明的人的課。」
As Slink reaches for his dagger, you draw your Thieves' Guild license...  You win by a close margin. 	當斯林克伸手去拔匕首時，你拿出你的盜賊公會執照...你差點就贏了。
"All right, so you got your license.  How nice.  Guess we don't get to kill you right now.  But stay out of our alley, 'cause we got real short memories, like."	「好吧，所以你有執照。很好。看來我們現在沒法殺你。但別進我們的小巷，因為我們的記性特別差，懂吧。」
As Slink reaches for his dagger, you draw your Thieves' Guild license...  You *almost* make it. 	當斯林克伸手去拔匕首時，你拿出你的盜賊公會執照...你*幾乎*成功了。
"Hey, Sneak, this guy's hard of hearing or something.  I told him to get a license last time he was here, and he didn't listen."	「嘿，斯尼克，這傢伙好像是個聾子還是什麼。我上次告訴他要去辦執照，他沒聽。」
"Let's teach him a little lesson about listening to his betters."	「讓我們教他一堂關於聽從比他高明的人的課。」
"Why, how nice to see you again.  I do hope (for your sake) you brought us some nice shiny new silver."	「哦，很高興再次見到你。我希望(為了你好)你帶來了一些漂亮的新銀幣。」
As you start to draw your weapon, the thieves jump you.	當你開始拔武器時，盜賊們撲向你。
"That's all right.  We already have all your money, but it was certainly nice of you to offer."	「沒關係。我們已經拿了你全部的錢，但你的好意還是很好。」
"Thanks, and have a nice evening.  It's been a pleasure doing business with you.  You can find your way out, I'm sure.  But make it fast, before my dagger slips." 	「感謝，祝你晚上愉快。與你做生意很愉快。我相信你能找到出口。但快點，免得我的匕首滑出去。」
"Hey!  You don't have enough money to be worth our while.  How do you expect us poor independent businessmen to make a living?"	「嘿!你的錢不夠我們費心。你怎麼指望我們這些可憐的獨立商人謀生呢?」
"My finger is getting itchy, so just pay up and get out alive."	「我的手指在發癢，所以乖乖付錢，活著滾出去。」
"My finger is starting to get a bit twitchy, so forget about questions, just pay the man and get out alive."	「我的手指開始有點抽搐，所以別問問題，乖乖付錢給這傢伙，活著滾出去。」
"Affects where knife goes."	「影響刀的方向。」
"Place hand on red dot."	「把手放在紅點上。」
"Hey, nice game.  It's a tie." 	「嘿，好遊戲。平手。」
"You got me that time.  Say, you're pretty tough!" 	「你這次贏了我。說，你很強啊!」
"So, you think you're pretty hot stuff, eh?  Well, we'll see about that." 	「所以，你認為你很了不起，嗯?好吧，我們就看看吧。」
"If you don't bet, you can't play." 	「如果你不下注，就不能玩。」
"It's a tie.  Let's double the wager." 	「平手。我們加倍賭注吧。」
"Looks like I won that one.  Must have gotten lucky." 	「看起來我贏了那一局。肯定是運氣好。」
"Hey!  This is cash on the table.  You can't bet what you don't have." 	「嘿!這是現金。你不能賭你沒有的東西。」
"Now, let's not get carried away." 	「現在，別太過分了。」
"Affects how far knife flies."	「影響刀飛多遠。」
"Place hand on slider."	「把手放在滑塊上。」
"It's your hand."	「這是你的手。」
"Shall we play again?"	「我們再玩一次嗎?」
That's the "Dag-Nab-It" board. 	那是「Dag-Nab-It」棋盤。
The game is called Dag-Nab-It.  You take turns with the Chief Thief throwing daggers at the board.  Each player gets three turns, and throws three daggers in each turn. 	遊戲叫「Dag-Nab-It」。你和盜賊首領輪流向棋盤投擲匕首。每個玩家有三輪，每輪投擲三把匕首。
More points are scored the closer each dagger hits to the center of the board.  Highest score wins the bet. 	匕首越接近棋盤中心，得分就越高。最高分贏得賭注。
Adjust force and angle of throw with the arrow keys or mouse, according to your hand position.  Press Enter or click on the small dag-nab-it board to throw.  	根據你的手部位置，用方向鍵或滑鼠調整投擲的力度和角度。按 Enter 或點擊小的 dag-nab-it 棋盤來投擲。
Quest for Glory I was designed and directed by Lori Ann Cole and Corey Cole. If you liked this game, then you'll love the other fine Sierra games they have designed: "Quest for Glory 2:  Trial By Fire", "The Castle of Dr. Brain", and, for the younger crowd, "Mixed Up Fairy Tales".	《英雄傳奇 I》由 Lori Ann Cole 和 Corey Cole 設計和導演。如果你喜歡這個遊戲，你也會喜歡他們設計的其他優秀 Sierra 遊戲:《英雄傳奇 2:火焰審判》、《顱骨博士的城堡》和針對年輕人的《混亂的童話故事》。
And look for "Quest for Glory 3:  The Wages of War" in your local stores starting in Autumn, 1992. 	並在 1992 年秋季開始在你當地商店尋找《英雄傳奇 3:戰爭的代價》。
The incredible artwork was tastefully rendered by:  Jon Bock, Gerald Moore, Arturo Sinclair, Jeff Crowe, Gloria Garland, Willis Wong, Diana Wilson, Eric Kasner, Richard Powell, and Roger Hardy. 	令人難以置信的藝術作品由以下人員精心繪製:Jon Bock、Gerald Moore、Arturo Sinclair、Jeff Crowe、Gloria Garland、Willis Wong、Diana Wilson、Eric Kasner、Richard Powell 和 Roger Hardy。
Original Music by:  Mark Seibert, Aubrey Hodges, and Spike Jones. 	原始音樂由 Mark Seibert、Aubrey Hodges 和 Spike Jones 創作。
The nastiest monsters in the game were, as always, the bugs.  Our heroic gang of bugbusters deserve thanks:  Joe Carper, Dave Clingman, Mike Pickhinke, and a cast of dozens.  	遊戲中最討厭的怪物，一如既往，是程式錯誤。我們英勇的除蟲隊值得感謝:Joe Carper、Dave Clingman、Mike Pickhinke 和許多其他人。
The Peaks of Programming Perfection were scaled by:  Tom DeSalvo, Vana Baker, Richard Aronson, Carlos Escobar, Robert Mallory, Oliver Brelsford, Brett Miller, Gary Kamigawachi, Sean Mooney, and Bob Fischbach.  	編程完美的高峰由以下人員攀登:Tom DeSalvo、Vana Baker、Richard Aronson、Carlos Escobar、Robert Mallory、Oliver Brelsford、Brett Miller、Gary Kamigawachi、Sean Mooney 和 Bob Fischbach。
Don't ask why, if those peaks were perfect, we needed so many people to find bugs.	別問為什麼，如果那些高峰是完美的，我們為什麼需要這麼多人來找程式錯誤。
Version %s  Copyright 1989, 1990, 1992  Sierra On-Line, Inc. 	版本 %s  版權 1989、1990、1992  Sierra On-Line, Inc.
You're about as stealthy as the average Goon.	你的潛行能力就像普通的小流氓一樣。
Sorry, there's not enough room to see that here.	抱歉，這裡沒有足夠的空間看到那個。
To learn about the other icons, first click here, then pass the question mark over the other icons. 	要瞭解其他圖標，請先點擊這裡，然後將問號滑過其他圖標。
Select this icon if you decide not to decide to select an icon. 	如果你決定不選擇圖標，請選擇此圖標。
Select this icon to catch a little R&R.	選擇此圖標來獲得一些休息。
Select this icon to run away.	選擇此圖標來逃跑。
Select this icon to take a look at your current character's statistics. 	選擇此圖標來查看你當前角色的統計信息。
Select this icon to stealthily go where no one has lurked before. 	選擇此圖標來潛行到沒人來過的地方。
Say, kids!  What time is it?  	喂，孩子們!現在是幾點?
Select this icon to resume walking normally.	選擇此圖標來恢復正常走路。
Suddenly a feeling of peace and tranquility permeates the area.	突然間，一種和平和寧靜的感覺充滿了整個區域。
Calm Spell	鎮定術
You don't have any daggers.	你沒有任何匕首。
Ouch!  You threw your dagger...  Now you're stuck with it!  	哎喲!你丟出了你的匕首...現在你被卡住了!
Flame Dart Spell	火焰鏢
Dazzle Spell	眩目術
Detect Spell	偵測魔法
Fetch Spell	取物術
To find out more about a spell, first click here, then click on the spell.	要瞭解更多關於法術的信息，請先點擊這裡，然後點擊法術。
The spell has no effect.	法術沒有效果。
Open Spell 	開啟術
You don't have any rocks.	你沒有任何石頭。
Ouch!  You always hurt the one you love!	哎喲!你總是傷害你愛的人!
To cast a spell, first click here, then click on the spell.	要施展法術，請先點擊這裡，然後點擊法術。
That spell is not useful here. 	那個法術在這裡沒有用。
You possess the %s. Your expertise is %d. You will use %d Magic Points each time you cast this spell.	你擁有 %s。你的專業知識是 %d。每次施展這個法術時，你將使用 %d 法力點數。
Trigger Spell 	觸發術
Zap Spell	電擊術
Arturo  Sinclair  	Arturo Sinclair
The Baron. 	男爵。
The bartender. 	酒保。
The Baronet Barnard von Spielburg. 	準男爵巴納德·馮·史畢柏格。
Bob  Fischbach  	Bob Fischbach
Bob  Mallory  	Bob Mallory
Carlos  Escobar  	Carlos Escobar
Shema, Shameen, and Abdulla Doo. 	席瑪、沙敏和阿布杜拉·嘟。
The Centaurs. 	半人馬。
Corey  Cole  	Corey Cole
The Chief Thief and Crusher. 	盜賊首領和克拉舍。
Diana  Wilson	Diana Wilson
Elsa von Spielburg. 	艾爾莎·馮·史畢柏格。
Eric  Kasner  	Eric Kasner
Erasmus and Fenrus. 	伊拉斯謨和芬魯斯。
Gloria  Garland	Gloria Garland
The guildmaster. 	公會大師。
The hermit and the healer. 	隱士和治療師。
You're the real Hero of this game!  Congratulations!	你是這個遊戲的真正英雄!恭喜!
Jeff  Crowe	Jeff Crowe
Jerry  Moore	Jerry Moore
Jon  Bock	Jon Bock
