Introduction	開場介紹
You can't imagine hurting anything in this meadow.  	你無法想像在這個草地裡傷害任何東西。
The sky is clear.	天空清朗。
The sun feels warm.	陽光溫暖。
The stars shine.	星辰閃爍。
To the north, the high, snowy peaks of the Dragon Smoke mountains are clearly visible.	北方遠處，龍煙山脈高聳的雪峰清晰可見。
You are at the snowline.  All around you, except for the forest, the rocks and mountains glisten with slippery snow.	你已經來到雪線。除了森林以外的四周，岩石和山脈都被滑溜的積雪所覆蓋。
The rock faces are slippery with melted snow.	岩石表面因融化的雪水而溼滑。
You sleep comfortably among the fragrant flowers.	你舒舒服服地在香氣四溢的花叢中睡著了。
The sweet, juicy fruit of the tree is amazingly satisfying and refreshing.	樹上香甜多汁的果實令人滿足又清爽。
The scroll vanishes even as you read the magical runes upon it.  You now have the knowledge to cast a "Calm" spell. 	當你讀著捲軸上的魔法符文時，捲軸化為虛無。你現在已經掌握了施放「鎮定術」的知識。
The meadow lies covered with a blanket of flowers, unusual for this early in the spring.  It is warm, even though surrounded by the late snows of winter. 	春天才剛開始，草地上卻已經覆滿了一片花海——這很不尋常。儘管被冬天的殘雪包圍，這裡卻溫暖如春。
A large, carved stone lies flat on the ground.  You feel as though someone gentle was watching over you.  You feel that you are safe here.   	一塊巨大的石雕平放在地上。你感到彷彿有某個溫柔的人在守護著你。你感到自己在這裡很安全。
The air has the fresh, clean scent of the mountains, accompanied by numerous perfume-like fragrances.    	空氣中飄散著山區的清新氣息，混合著各式各樣香氛般的花香。
There is an aura of magic throughout this meadow.  It seems to be benevolent and restorative.	整個草地籠罩在魔法的光輝中。這魔法似乎既善良又有療癒的力量。
There is no further purpose in casting the Open spell.	沒必要再施放「開啟術」了。
The tree's blossoms are soft, green and fragrant.	樹上的花朵柔軟、青翠又芬芳。
The fruit sparkles in the sunlight, yet it appears soft and fuzzy.	果實在陽光下閃閃發光，但看起來軟軟的、毛毛的。
The fruit glows and shimmers in the moonlight.  It produces a fragrance like a sun-ripened strawberry.	果實在月光下閃閃發亮、搖搖欲墜。散發出像熟透草莓的香氣。
The small tree is most amazing.  It bears blossoms and fruit at the same time, and the fruit on its boughs seems to shyly appear and disappear, shimmering.	這棵小樹最是不可思議。它同時開著花和結著果，枝頭上的果實似乎害羞地時隱時現、閃爍著。
There is no need to climb the little tree.	不需要爬這棵小樹。
Thick bushes block your path to the south. 	濃密的灌木叢擋住了你向南的路。
There is a cave entrance large enough to admit a man.	有一個足夠讓人進出的洞穴入口。
It's already unlocked.	它已經開著了。
The chest is already open.	寶箱已經開著了。
You don't have the right tools -- you'll have to find another way to open it.	你沒有合適的工具——你得想想別的辦法打開它。
It's locked -- you'll have to use another skill to open this.	它上了鎖——你得用另一種技能才能打開。
The dead Ogre's chest lies open, its contents glittering brightly.	死掉的食人妖的寶箱打開著，裡面的東西閃閃發光。
The dead Ogre's chest lies open and empty.	死掉的食人妖的寶箱打開著，但裡面空空如也。
How much more calm can he get?	他還能更冷靜嗎？
You've wasted a spell.	你浪費了一個法術。
You don't have a knife.	你沒有刀子。
The Ogre is already dead.  It would do no good to kill him again. 	食人妖已經死了。再殺它一次也沒用。
Ok, he'll be a dazzled cadaver.	好吧，他就成了個被眩暈的屍體囉。
You're kidding, right?	你開玩笑呢，對吧？
There is a dead Ogre here.	這裡有一隻死掉的食人妖。
The chest has a heavy lid with a strong lock.	寶箱有個沉重的蓋子和堅固的鎖。
The Ogre is carrying a chest in his massive arms.	食人妖的巨大臂膀裡抱著一個寶箱。
This Ogre is in a bad mood.	這隻食人妖心情很差。
And big.  Very BIG. 	而且超大隻。非常非常大。
There is a big, ugly, dead Ogre here.	這裡有一隻又大又醜、已經死掉的食人妖。
This Ogre will never eat again.	這隻食人妖再也吃不了東西了。
This Ogre looks like it would rather eat you.	這隻食人妖看起來寧願吃了你。
Hostile intent is evident.  You prepare for battle.	它明顯滿懷惡意。你做好了戰鬥的準備。
You need to get closer to the dead Ogre.	你需要更靠近這隻死亡的食人妖。
There is nothing here to open.	這裡沒有什麼可以打開的。
The dead Ogre's chest is empty.	死掉的食人妖的寶箱是空的。
The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.	死掉的食人妖的寶箱裡裝著一枚金幣和四十三枚銀幣，你把它們拿走了。
The Ogre is dazzled by your spell. 	食人妖被你的法術眩暈了。
A search of the dead Ogre's body produces no treasure.	搜索死掉的食人妖的屍體沒有找到任何寶藏。
However, the treasure chest he was carrying lies beside his body.	不過，他身旁還放著他原本抱著的寶箱。
The dead Ogre's huge club is much too heavy for you to lift.	死掉的食人妖的巨大狼牙棒重得你根本拿不起來。
You force the Ogre's chest open.	你強行打開了食人妖的寶箱。
The chest is locked.	寶箱上了鎖。
Your spell is too weak to open the Ogre's chest.	你的法術力量太弱，打不開食人妖的寶箱。
You're wasting a spell.	你在浪費法術。
There's nothing here to open.	這裡沒有什麼可以打開的。
The chest is held shut by the Ogre's massive arms.	寶箱被食人妖巨大的臂膀夾住了。
standing	站著
Your spell unlocks the Ogre's chest.	你的法術打開了食人妖的寶箱。
The Ogre appears to have recovered from your spell.	食人妖似乎已經從你的法術中恢復過來了。
You retrieve your daggers.	你拿回了你的匕首。
The Ogre's chest is already unlocked.	食人妖的寶箱已經打開了。
The lock on the Ogre's chest clicks open.  The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.  	食人妖寶箱上的鎖咔地打開了。死掉的食人妖的寶箱裡裝著一枚金幣和四十三枚銀幣，你把它們拿走了。
A magical aura emanates from the cave's entrance.	洞穴入口散發著魔法的光輝。
You want to fetch THAT?	你想去撿那個？
I don't know what you want to fetch. 	我不知道你想撿什麼。
The ground shows the beginning of new spring grass. 	地面上冒出了新春的草芽。
Don't open the Ogre -- it's all gucky and squishy inside.	別打開食人妖——裡面全都黏糊糊、軟趴趴的。
You don't seem to have a weapon to charge.	你好像沒有可以充能的武器。
Your weapon is now magically charged.	你的武器已經被施加了魔法充能。
The rocks look like they've been dropped in place by a gigantic hand.  	這些石頭看起來像是被某個巨人的手丟在這裡的。
You see some of the trees of the forest. 	你看到了森林中的一些樹木。
You'd better not.  The bear isn't wearing a flea collar (just a locked chain).	最好別亂來。熊沒有戴跳蚤項圈（只是一條上了鎖的鐵鍊）。
The bear seems to find your flowers tasty, but not very filling.	熊似乎覺得你的花朵好吃，但吃不飽。
The Bear won't let you near the lock.	熊不會讓你靠近那把鎖。
Try as you might, you can't pick the lock.  It must be magical.	再怎麼努力你也撬不開這把鎖。肯定是魔法鎖。
Although looking somewhat scorched, the bear is still very dangerous.	雖然看起來有點焦黑，熊還是非常危險。
Stunned, the bear is temporarily frozen.	熊被震懾住了，暫時動不了。
On one side of this cavern is a creature which looks like a large bear.  There is something attached to his leg.	這個洞穴的一側有一隻看起來像大熊的生物。它的腿上綁著什麼東西。
The bear appears docile for the time being.	熊目前看起來很溫馴。
The bear looks menacing and angry.  There is a locked chain attached to its leg.	熊看起來凶狠又憤怒。它的腿上綁著一條鐵鍊。
You have made this bear very happy; it would be wise to take advantage of his current mood. 	你讓這隻熊非常高興；趁著它現在心情好，你應該好好利用這個機會。
You know that bears can't talk!	你知道熊是不會說話的啦！
Hi there!  I represent Ditto Realty.  We have some LOVELY properties that are PROVEN bargains.  We know that's true, because we've sold them so many times.	嗨，朋友！我代表迪圖房地產公司。我們有些超棒的房產都是保證划算的便宜貨。我們知道這是真的，因為我們賣過那麼多次。
Beyond the bear, the cave seems to continue.  The bear blocks the way.	熊的另一邊，洞穴似乎還要繼續。但熊擋住了路。
An eerie luminescence emanates from a chamber deeper within the cave.	一種詭異的光芒從洞穴深處的某個空間散發出來。
A very large bear rears up as you approach.  It looks hungry and dangerous.	當你靠近時，一隻巨大的熊站了起來。它看起來既飢餓又危險。
As your eyes adjust from sunlight to darkness, you examine the interior of this eerie cavern.  You sense something moving off to your right.	當你的眼睛從陽光逐漸適應黑暗時，你打量著這個詭異洞穴的內部。你感覺到右邊有東西在動。
The Kobold's key disappears as you turn it in the lock.	當你用地精的鑰匙轉動鎖時，鑰匙消失了。
There is no magic in the cave.	洞穴裡沒有魔法。
There is an aura of magic throughout the cavern.  It seems to center on the bear	整個洞穴籠罩在魔法的光輝中。魔法的中心似乎在熊身上
Once your eyes get adjusted to the dark, there's still nothing to see in here.	當你的眼睛適應了黑暗，你發現這裡根本什麼也看不到。
What could you possibly do with a stalagmite... or is it a stalactite?	你能拿石筍⋯⋯或者是石鐘乳⋯⋯怎麼辦呢？
