You don't have a weapon to charge.	你沒有武器可以發動衝鋒。
Now you've done it!  It's hard to be a hero when you're locked up for breaking and entering (or entering and breaking, as the case may be).  Be a little more intelligent (and a lot quieter) if you ever try something like this again.	現在你完蛋了!當你因為非法侵入(或侵入後破壞,不管哪種)被鎖起來時,很難成為英雄。下次要是再試什麼花樣,聰明點(也安靜點)。
Otto and the Sheriff rise with the dawn, and find you in their house.  Be a little more intelligent (and a lot faster) if you ever try something like this again.	奧圖和治安官在黎明時起床,發現你在他們家。下次要是再試什麼花樣,聰明點(也快點)。
Up Past Your Bedtime	超過就寢時間
Criminal carelessness.  	犯罪性的疏忽。
Die drei Knochelkopfen grab you off the table.  You should have waited until they were out of reach.	三個骷髏頭怪搶過去把你從桌上抓走。你應該等到他們夠不著你再說。
Nyuk Nyuk Nyuk -- Mee Mee Mee Mee Mee...	紐啊紐啊紐啊──咪咪咪咪咪……
There are still too many brigands for you to fight in here.  You need to find some way to block one of the doors.	這裡的山賊還是太多,你打不過。你得想辦法封住其中一扇門。
You're half right but completely dead.	你一半對,但已經死透了。
You'd better find a way to prevent the brigands from getting at you from all sides if you want to survive this.	你想活下來就得想辦法防止山賊四面夾擊。
Don't you feel a draft?	你沒感覺到吹風嗎?
You're hopelessly surrounded.  You should have stopped those brigands somehow.  Maybe you'll see the light.	你無可救藥地被包圍了。你應該想辦法阻止那些山賊。也許你會看到光明。
Those guys look familiar.	那些傢伙看起來很眼熟。
Done in by poisoned daggers and desperate desperadoes!  Try to avoid annoying that deadly duo next time.	被毒匕首和孤注一擲的亡命漢幹掉!下次別惹那對致命組合。
Timing is everything. 	時機就是一切。
Whoops!  Who'd have thought that guys that look that stupid could figure out to go around the table beFORE they ran all the way up to the fallen candelabra. 	哎呀!誰想得到看起來這麼呆的傢伙居然能想到在撞上掉下來的燭台之前,先從桌子四周繞過去。
Timing is everything.	時機就是一切。
Hmm...  Maybe letting the brigands see you block the door with the chair wasn't a good idea. 	嗯……也許讓山賊看到你用椅子堵門不是個好主意。
One peek is worth two finesses.	一眼勝過千般心計。
You could not withstand the force of the blast from the Kobold's magically protected chest.	你無法承受地精的魔法保護寶箱的爆破力。
Blast!	爆炸!
Didn't anyone ever tell you that a hero is supposed to be brave even when he doesn't feel that way?  Looks like you found the coward's way out... sauteed in wine sauce.	沒人告訴過你英雄即使不覺得勇敢也得表現出勇敢嗎?看起來你找到了逃兵的出路……用葡萄酒醬燒烤。
Shame on you!	你真丟臉!
This was not the ending you had in mind when you read the manual on "How to be a Hero."  Either you just aren't ready to take on this situation, or there is a better way to accomplish your mission.	這不是你讀「如何成為英雄」手冊時想到的結局。要嘛你還沒準備好面對這種情況,要嘛有更好的方法完成任務。
You knew this job was dangerous... 	你知道這工作很危險……
You're not a quick learner.  Now you know why the grass grows so well around the porticullis. 	你學得不快。現在你懂為什麼草在吊閘周圍長得那麼好了。
OH NOOOOOOO!	喔不───────!
Done in by daggers and a desperate desperado!  Try to avoid annoying that deadly duo next time.	被匕首和孤注一擲的亡命漢幹掉!下次別惹那對致命組合。
Daggered to death.	被匕首戳死。
You can't believe the Chief Thief's reflexes as he instantly reacts to your intention to pull a fast one.  A dagger flies like lightning and...  	你不敢相信盜賊頭子的反應速度,他一下子就察覺到你想耍花招。一把匕首快如閃電般飛來……
These guys are MEAN!	這些傢伙凶狠!
For such wimpy-looking creatures, those fairies sure can play rough!  You never danced so hard in your entire life (which is now over). 	外表看起來這麼柔弱的生物,妖精們可真夠兇狠!你這輩子沒被打得這麼慘過(現在你的人生結束了)。
Land of 1000 Dances	千舞之地
I don't mean to throw this in your face, but why did you throw that in your face?  	我不是想揭你的傷疤,但你為什麼要往自己臉上砸?
The Little Old Lady's screams finally brought the sheriff and Otto.  Next time you'd better finish your "work" before dawn!	小老太太的尖叫聲終於引來治安官和奧圖。下次你最好在天亮前完成你的「工作」!
You Hate Morning People	你討厭起床的人
Four brigand archers, shooting at close range from cover, was too much for even a correspondence-school Hero like you to survive.  There are times to fight, and there are times to run.  This was one of the latter.	四個山賊弓箭手在掩護下近距離射擊,就連你這種函授學校英雄也活不下去。有時候要戰鬥,有時候要逃跑。這次是後者。
You're All a-Quiver	你渾身發抖
The brigands were waiting for you to come back.  They expected you to make another try for some of their treasure. 	山賊在等你回來。他們以為你會再試一次搶他們的寶藏。
Greedy Greedy Greedy 	貪心貪心貪心
Yes, it was possible that this drunkard would somehow regain his senses, leap to his feet, realize that you didn't belong there, and do you in.  On the other hand, you might have done a little better worrying about the wide-awake brigands closing in on you with their spears.	沒錯,這個酒鬼有可能恢復神智、跳起來、發現你不該來這裡,然後把你宰了。另一方面,你應該更擔心那些清醒的山賊用長槍包圍你。
The lesser of two evils.	兩害相權取其輕。
Thinking about all that treasure cost you time and more.  Some folks just don't know when to leave.	淨想著寶藏讓你浪費時間,甚至更多。有些人就是不懂什麼時候該閃人。
Wearing out your welcome	欠缺應對時機
The brigand leader is deadly with a sword.  The magic spell that possesses her makes her an invincible warrior.	山賊頭子劍術致命。附身她的魔法咒語讓她成為不敗戰士。
One thrust... and that's it??? 	刺一下……就這樣???
That was a little too much for you.  You collapse from exhaustion and die.	你有點承受不住。你累到倒下並死亡。
Death from Overwork	過勞死
You need to guard your flanks before a frontal assault is possible.	在正面攻擊之前,你得保護你的側翼。
A side of Hero	英雄側寫
Had you been healthier, you probably could have survived that fall. In your weakened condition, however, you succumbed to your injuries.	要是你身體更健康,也許能活下來。但在你體弱的狀況下,你死於傷口。
Your figure remains still and silent.	你的身體靜止無聲。
I score that about a 3.  Those diving lessons were a complete waste.  Maybe you should have taken up bowling. 	我打分 3 分。那些跳水課真是浪費。也許你該去學保齡球。
An abridged ending.... 	簡短的結局……
... as you realize those large porcupines down here are really other heroes who collected arrows the hard way.    	……當你意識到下面那些大豪豬其實是用硬方式收集箭矢的其他英雄。
Quills run up your spine.... 	刺毛沿著你的脊椎豎起……
A small sign reads "Booby Trap."  The brigands approach to see the booby they've caught.  You think to yourself, "If it looks like a trap, and it feels like a trap, maybe it IS a trap."    	一塊小牌子寫著「陷阱」。山賊走近去看他們抓到的「獵物」。你心想「看起來像陷阱、感覺像陷阱,那它就是陷阱啦」。
The old "rug over the pit" trick. 	老套的「地毯蓋坑洞」把戲。
You're hopelessly outnumbered.  You should have left this room when you had a chance.	你被絕望地包圍。你應該在還有機會時離開這個房間。
Molasses in January.	一月的糖蜜
It seems a shame to have such a promising career go up in flames (assuming she decides to flambe you).  Wouldn't it have been better just to do a small favor for such a sweet little old Ogress? 	看起來很可惜,前途似錦的事業就這樣付之一炬(假設她決定把你烤了)。就不能為了這個甜蜜的小食人妖老奶奶幫點小忙嗎?
Of all the lazy...!   	好懶的……!
Next time you are asked a question by someone who has just turned you into a frog, perhaps you should be more polite.  It's better than being fricasseed!	下次有人把你變成青蛙然後問你問題時,也許你該更禮貌。比被燉了好多了!
Now you're really in the soup!  	現在你真的麻煩大了!
Was it something I said? 	是我說的什麼話嗎?
The End of the Trail... 	小路的盡頭……
As the ghosts suck the life out of your body, and you crumple into the dust of the old graveyard, you think unspeakable thoughts of torture and torment directed at vicious programmers and insidious game designers.  (But please buy our next game anyway!) 	當鬼魂吸乾你的生命,你在古老墓園的塵埃中崩潰時,你心想對狠毒程式員和陰險遊戲設計師進行難以名狀的刑罰和折磨。(但拜託還是買我們下一款遊戲啦!)
Oh-h-h-h-h-h-h!  	喔────────!
Next time, pick on someone your own size.	下次找個你體格相當的對手。
The bigger they come, the harder they hit	個子越大,打得越狠
Obviously, getting in the goon's way was not one of your brighter ideas. You've had it now!	很顯然,擋在手下的路上不是你的聰慧之舉。現在你完蛋了!
You hear a guard yell for help.  Four guards inside the barracks grab their weapons and overwhelm you.  As they drag you into the castle and down into the dungeon, you realize that was not quite the right thing to do.    	你聽到衛兵喊救命。兵營裡的四個衛兵拿起武器壓倒你。當他們把你拖進城堡、拖進地牢時,你意識到這確實不是正確的做法。
Good Guard!	好衛兵!
No sooner do you draw your weapon than the guards have their weapons out and quickly disarm you.  They promptly drag you into the castle and down into the dungeon, which is not a very likely spot for the attainment of hero status.	你剛拔出武器,守衛就也拔出武器並快速繳了你的械。他們馬上把你拖進城堡、拖進地牢,那不是獲得英雄地位的好地方。
En Garde!	劍外!
And dead...  You feel dead, too.  In your weakened condition, you succumbed to a mild-mannered hermit's propensity for Tarzan imitations.  Back up and play it again, Sam.  	然後死了……你也感覺自己死了。在你體弱的狀況下,你死於一個溫和隱士學泰山叫聲的傾向。退出重新玩吧,山姆。
... and thin... 	……和瘦……
Next time you swing at innocent inanimate objects, make sure you are strong enough to survive when they swing back at you!	下次你砍無辜的無生命物體時,確認你夠強健能活下來它們反擊的時候!
Your plan seems to have backfired	你的計畫似乎適得其反
It's hard to be a hero when you're sitting in a jail cell.  The Sheriff apologized for your broken arm, but he did warn you (didn't he?) that Otto was only partly trained.  Now, you'll probably be more careful when you're robbing someone.	當你坐在牢房裡時很難成為英雄。治安官為你的斷臂道歉,但他確實警告過你(不是嗎?)奧圖只是半訓練狀態。現在你下次搶人時應該會更小心。
Well, it looks like the Dryad really made you eat dirt.  You're the spitting image of a Spirea plant, and you'll be hanging around for a long, long time.	嗯,看起來樹精真的讓你吃土了。你簡直就是繡球花的翻版,你會在那邊掛很久很久。
Plant it, fella!	種它吧,老兄!
You are staggered by the Dryad's spell.  She appears to enjoy having lots of bucks.	你被樹精的咒語震撼。她好像喜歡有一堆錢。
Oh, deer.	喔,親愛的。
It takes too long to draw your weapon against someone with a dagger in his hand.  It doesn't pay to try to fight someone who uses poisoned daggers.	對著拿著匕首的人拔武器太慢了。想和用毒匕首的人打鬥根本不划算。
Congratulations!  You've just won a gold medal in the log jump. Posthumously. 	恭喜!你剛赢得了原木跳躍的金牌。死後。
So much for your endorsements....	就這樣丟了你的代言機會……
When the Little Old Lady awakens to see what's going on, you have to concede to her (through lips that are as raw as hamburger) that you've been licked! She summons the Sheriff and his goon, Otto.	當小老太太醒來看看發生什麼事時,你得承認(用嘴唇腫成漢堡的樣子)你被舔敗了!她召喚治安官和他的手下奧圖。
What a cute little kitty!	多麼可愛的小貓咪!
The Little Old Lady's cries finally bring the Sheriff and Otto to her rescue. They find you pinned to the floor, unconscious, dreaming deliriously of death by sandpaper.  	小老太太的尖叫聲終於把治安官和奧圖吸引來救她。他們發現你被釘在地板上、昏迷、做著被砂紙磨死的譫妄夢。
Better stay downstairs next time.	下次最好待在樓下。
You're mad as heck, and you're not going to take it anymore.  As a matter of fact, you CAN'T take it anymore.  Restore your strength and health and try again.	你氣炸了,再也受不了。事實上,你真的受不了了。恢復你的力量和生命力再試一次。
You're the Fall Guy again.	你又成替罪羊了。
"In matters of magic, I am your master Seek not to slay me with Sendings so small." 	「在魔法之事,我是你的主人莫用如此渺小的魔法來殺我。」
Just because he's big doesn't mean he's stupid! 	就因為他個子大不代表他很蠢!
Because you failed to meet Baba Yaga's DEADline, her curse turns you into a frog on the spot, and you are forced to live out your years dodging Sauruses (Saurii?) with large feet.	因為你沒有趕上芭芭雅嘎的死亡期限,她的詛咒當場把你變成青蛙,你被迫用剩下的日子躲避有大腳掌的索魯斯(索魯西?)。
Curses!	詛咒!
While you were asleep, something decided to make a meal of you.  You're not sure what it was, but you don't really care at this point.  You shouldn't go to sleep where the creatures of the night can get you.	你睡著時,什麼東西決定拿你當大餐。你不確定是什麼,但現在你真的不在乎。你不應該在夜間生物能抓到你的地方睡覺。
Night Gaunt Got Ya. 	夜間幽靈逮到你了。
You're hopelessly surrounded.  You should have taken quicker action against these Knochelkopfs.  Elevate your thoughts to a higher plane.	你無可救藥地被包圍了。你應該更快對付這些骷髏頭怪。把你的思想提升到更高的境界。
Woo Woo Woo -- Ruff Ruff Ruff.	烏烏烏──汪汪汪。
Caught in combat with neither sword nor dagger, you are unable to resist the monster's fierce onslaught.  Try to be better equipped in your next life. 	在沒有劍或匕首的戰鬥中,你無法抵抗怪物的猛烈攻擊。下輩子記得帶齊全裝備。
Caught in combat with neither sword nor dagger, you are unable to resist the monster's fierce onslaught. Try to be better equipped in your next life.	在沒有劍或匕首的戰鬥中,你無法抵抗怪物的猛烈攻擊。下輩子記得帶齊全裝備。
Bare Hands vs. Teeth and Claws, etc.	赤手空拳對牙齒和爪子等
When it comes to breaking in, it looks like the only thing broken is your head!  When at last you come to your senses, you find yourself in a jail cell. By the time you get out of here, you'll be too old to be a hero.	說到撬鎖,看起來只有你的腦袋被撬破了!當你終於清醒時,你發現自己在牢房裡。等你出獄,你已經老到不能當英雄了。
Criminal carelessness 	犯罪性的疏忽
You are overcome by the power of the Kobold Wizard's magic.  You need either to practice your skills or to plan a better attack strategy.	你被地精巫師的魔法力量擊敗。你得要嘛練習技能,要嘛想出更好的攻擊策略。
Struck By Lightning	被閃電擊中
You never dreamed a feather pillow could be so HARD!  Or was it the floor? You also didn't realize how hard it is for a thief to be a Hero.  The Thief of Baghdad never had this kind of luck!	你從沒夢想過羽毛枕頭能這麼硬!或者是地板?你也沒意識到盜賊想當英雄有多難。巴格達盜賊從沒遭過這種運氣!
The old ticker just couldn't keep going.  Maybe you shouldn't have missed the annual visit to your local Healer. 	老心臟再也跳不動了。也許你不該錯過去當地治療師的年度檢查。
Before you confront someone who is obviously more powerful than you are, give yourself a chance to reflect. 	在你對抗明顯比你強大的人之前,先給自己反省的機會。
