Your garage is already full of junk; you don't need to add to the clutter.	你的車庫已經堆滿雜物；用不著再增加亂七八糟的東西。
As you read the spell scroll, the spell is ingrained in your mind.	當你讀著法術卷軸時，法術刻入了你的心靈。
You weigh the consequences of taking the balance scale, and decide that, on balance, it's not such a good idea.	你權衡拿走天秤的後果，最後決定這不是好主意。
An ancient balance scale.  Zara thinks it will help her maintain a sense of balance. 	一個古老的天秤。札拉認為它能幫助她維持平衡感。
The burning incense fills the room with a strange, fiery scent.	燃燒的香料充滿房間，散發出奇異的火熱香氣。
None of the scrolls is in a language you have ever seen.	所有卷軸上的語言都是你沒見過的。
There are a few Dead Sea scrolls, a couple of Red Sea scrolls, a C++ scroll (written in assembly language), and others even more esoteric. 	有一些死海卷軸、幾份紅海卷軸、一個 C++ 卷軸（用組合語言寫的），還有其他更深奧的。
The tinsel reminds you that there are only 250 shopping days left until Christmas.	金屬絲讓你想起距離聖誕節只剩 250 個購物日。
Tinsel left over from last Christmas. 	去年聖誕節留下的金屬絲。
You wish you had your great-great-great-great-grandson here so he could tell you how to work this.  But since he isn't even born yet, you decide you have no use for the toaster oven.	你希望你的曾曾曾曾孫在這裡，這樣他可以告訴你怎麼用。但既然他還沒出生，你決定烤箱對你沒用。
"I am Zara, and my companion is Damiano.  The items in this shop are designed for those skilled in the use of magic. "	「我是札拉，我的夥伴是達米亞諾。本店的物品是為精於施魔法的人設計的。」
"We have very little for ones such as you who have not been initiated, but what we have could prove useful."	「對於像你這樣未入門的人，我們幾乎沒什麼，但我們有的東西可能會派上用場。」
"So, you return to my shop.  Ask of me what you will, but keep it to the point."	「所以，你又回來了。儘管問我吧，但別囉嗦。」
"An Aura is a Spell of protection surrounding something.  The town is still protected by the Aura cast by the great spellcaster Erana." 	「光環是一種保護咒語，圍繞著什麼東西。這座鎮仍然受到偉大法師伊瑞娜施的光環保護。」
"She is a powerful and wicked hag.  You would be wise to avoid her.  She cursed the Baron von Spielburg when he tried to drive her away."	「她是一位強大且邪惡的女巫。你應該避開她。當史蒂芬·馮·史畢柏格男爵試圖驅趕她時，她詛咒了他。」
"He was once a great leader of this land until he was foolish enough to anger Baba Yaga."	「他曾是這片土地的偉大領導者，直到他愚蠢地惹怒了芭芭雅嘎。」
"This is Baba Yaga's curse, cast upon the Baron years ago:"	「這是芭芭雅嘎在多年前對男爵施下的詛咒：」
"'Upon von Spielburg and all his clan, this the curse I now demand:  What I Will shall come full measure, so shall ye lose all that ye treasure.'" 	「『在馮·史畢柏格及其全族之上，我現在宣判此詛咒：我之意志將如願實現，你們將失去一切珍寶。』」
"There is always a way to break a curse; possibly Erasmus knows more about this." 	「打破詛咒總有辦法；伊拉斯謨可能知道更多。」
"Damiano is both my familiar and my friend.  We share our lives and our magic."	「達米亞諾既是我的精靈伙伴，也是我的朋友。我們分享彼此的生命和魔法。」
"That is the spell that lets you cast a magical flame upon your enemy.  The spell scroll will cost you 60 silver." 	「那是讓你對敵人施魔火的咒語。法術卷軸要花你 60 銀幣。」
"Erasmus makes a point of studying the effects of Magic upon mortals.  There is little about Magic in this area that Erasmus does not know."	「伊拉斯謨特別研究魔法對凡人的影響。這片區域的魔法事項，伊拉斯謨幾乎無所不知。」
"Erana was a powerful Spellcaster who lived long ago.  She brought peace to this valley.  Even now her spell protects this town from violence or foul magic." 	「伊瑞娜是一位很久以前的強大法師。她為這個山谷帶來了平和。至今她的咒語仍保護著這座鎮不受暴力或黑暗魔法傷害。」
"Her final resting place is due north of town, and it is a place of both safety and healing.  It is known as Erana's Peace."	「她最後的安息之所在鎮正北方，那是一個安全又治癒的地方。它被稱為伊瑞娜的安寧之地。」
"Erasmus is a Wizard and a Spellcaster who knows much about this area.  He lives in a tower northeast of town at the top of a steep mountain called Zauberberg."  	「伊拉斯謨是一位法師和法術施放者，對這片區域知之甚詳。他住在鎮東北方一座陡峭山頂上的塔裡，那座山叫做魔法山。」
"He can be very helpful if approached properly, but he has a strange sense of humor."	「如果方式得當，他會很樂意幫助你，但他的幽默感很奇特。」
"We are a people of Power and Magic, and live in the forests far beyond the mountains to the west."	「我們是力量與魔法之民，住在西邊山脈遠方的森林裡。」
"A Familiar is a creature of magical abilities which has been summoned to serve the Wizard." 	「精靈伙伴是一種具有魔法能力的生物，被召喚來侍奉法師。」
"The Summoning  of a Familiar is a most powerful spell, and can be cast but once.  It binds the Wizard and the Familiar to the ends of their lives."	「召喚精靈伙伴是最強大的咒語，只能施放一次。它將法師和精靈伙伴綁定到生命的終點。」
"The more powerful the Wizard, the more powerful the Familiar, although you cannot always judge power by a Familiar's shape."	「法師越強大，精靈伙伴就越強大，雖然你不能根據精靈伙伴的外形判斷力量。」
"The Fetch Spell allows you to lift or lower a lightweight object from a distance.  The spell scroll will cost you 40 silvers." 	「取物術讓你能從遠處提起或放下輕物體。法術卷軸要花你 40 銀幣。」
"The Healing Potion will cost you 50 silver.  It is made by the healer outside of town."	「治癒藥劑要花你 50 銀幣。它是由鎮外的治療師製作的。」
"Master the Arts Arcane, use those skills to vanquish the evil curse, and you will become a true Hero!"	「精通秘術藝術，用那些技能消滅邪惡的詛咒，你就會成為真正的英雄！」
"Baba Yaga's hut is magical.  It stands on chicken legs, and you must know the rhyme to enter."	「芭芭雅嘎的小屋是魔法的。它站在雞腿上，你必須知道咒語才能進入。」
"When you have mastered nine spells, have the Power to cast all, and proven yourself worthy by accomplishing a great deed, then you must undergo initiation to become full Wizard." 	「當你精通九道法術、具有施放所有法術的力量，並通過成就偉大事跡證明自己的價值時，你就必須接受入會儀式成為正式的法師。」
"There is a place in the distant south where you must journey, but first you must become a hero here."	「在遠方的南邊有一個你必須前往的地方，但首先你必須在這裡成為英雄。」
"There are many entrances to the Halls of Magical Mastery in the south."	「在南邊的魔法精通殿堂有很多入口。」
"After you have gained skill and a good reputation in Magic, you should journey south."	「在你獲得魔法的技能和良好聲譽後，你應該向南前往。」
"If you are indeed worthy of being a Wizard, you will find a way to those Halls."	「如果你確實值得成為法師，你會找到通往那些殿堂的路。」
"If you have the skill of Magic, you can learn the way to cast spells by reading magical scrolls." 	「如果你有魔法的技能，你可以通過閱讀魔法卷軸來學習施放咒語的方法。」
"Without the skill, you have no Power.  The more you practice spell casting, the greater you shall become. "	「沒有技能，你就沒有力量。你練習施法越多，你就會變得越強大。」
"It is a spell that allows you at first to unfasten simple locks and knots.  As you gain in skill, you can even open doors with it.  The spell scroll will cost you 30 silver."	「這是一個咒語，最初讓你打開簡單的鎖和繩結。隨著技能提升，你甚至能用它打開門。法術卷軸要花你 30 銀幣。」
"To the north of the town, surrounded by the mountains, is an Alpine valley that is rumored to be the final resting place for Erana, although no one is certain what happened to her."	「在鎮北邊，被群山環繞的地方，有一個高山谷地，據傳是伊瑞娜最後的安息之所，但沒人確定她發生了什麼。」
"It is certainly a magical place of safety. There is also supposed to be a gift there for Magic Users who are clever enough to find it."	「那肯定是個魔法的安全之地。據說那裡還有一份禮物等著夠聰明的魔法使用者去尋找。」
"A true Magic User has the innate affinity for Magic.  There is also the ability to store Power, which ordinary mortals do not have."	「真正的魔法使用者具有與魔法的內在親和力。還有儲存力量的能力，這是普通凡人沒有的。」
"We have potions of Healing, Vigor, and Power for purchase from our shop."	「我們的店裡有治癒、活力和力量藥劑供購買。」
"Power is the essence of Magic, that which the Wizard shapes and is shaped by."	「力量是魔法的本質，法師既形成它，也被它形成。」
"The Power Potion restores your magical energy, and costs 75 silver."	「力量藥劑恢復你的魔法能量，價格是 75 銀幣。」
"I have no interest in entering Baba Yaga's hut and therefore do not know the rhyme." 	「我對進入芭芭雅嘎的小屋沒有興趣，因此不知道咒語。」
"The scrolls we sell are magical.  You have but to read the spell, and you will learn it."	「我們賣的卷軸是魔法的。你只要讀了咒語，就會學到它。」
"What I sell here are merely tools to help those who have power."	「我在這裡賣的只是幫助那些有力量的人的工具。」
"You may purchase restorative potions and scrolls from which you may learn spells, if you have the potential."  	「如果你有潛力，你可以購買補藥和卷軸來學習咒語。」
"We sell several Magical Spells on study scrolls.  You may purchase Fire Dart for 60 silver, Fetch for 40 silver, or the Open Spell for 30 silver."  	「我們在學習卷軸上出售多種魔法咒語。你可以花 60 銀幣購買火焰鏢、花 40 銀幣購買取物術，或花 30 銀幣購買開啟術。」
"I also know you can find a spell if you learn the secret of Erana's Peace."	「我也知道如果你學會伊瑞娜的安寧之地的祕密，你可以找到一個咒語。」
"There is much magic in this world for those who know how to use it.  There is magic in this little town, and a good deal of magic in this valley."	「對那些知道如何使用的人來說，這個世界裡有很多魔法。這個小鎮裡有魔法，山谷裡有大量魔法。」
"There is an Aura protecting this town from danger.  Within most of its walls, there can be no act of violence or cruel magic.  Even so, it is prudent to avoid dark places."	「有一個光環保護這座鎮免受危害。在它的大多數牆壁內，不可能有暴力或殘忍魔法的行為。即便如此，避開暗處也是明智的。」
"There is much power in this valley, and it attracts those who use magic.  I am here, Erasmus has his house on Zauberberg, and even Baba Yaga has her hut cooped up somewhere around here."	「這個山谷裡有很多力量，吸引那些使用魔法的人。我在這裡，伊拉斯謨在魔法山有他的房子，甚至芭芭雅嘎的小屋也在這一帶某處。」
"Vigor potions restore your Stamina after you have exerted yourself.  They cost 25 silver each."	「活力藥劑在你消耗體力後恢復你的耐力。每瓶 25 銀幣。」
"A Wizard is one who both shapes Magic and is shaped by it.  Erasmus and I are the only Wizards in this valley." 	「法師是既形成魔法，也被魔法形成的人。伊拉斯謨和我是這個山谷裡唯一的法師。」
"That is the Spell that lets you place magical energy upon a weapon.  The energy will be released as magical damage when you hit your enemy."	「那是讓你把魔法能量附加在武器上的咒語。當你擊中敵人時，能量會以魔法傷害的形式釋放出去。」
"I am both human and Faery Folk.  I draw my power from both.  My name is Zara.  This is my shop." 	「我既是人類，也是妖精。我從兩者身上汲取力量。我叫札拉。這是我的店。」
It's a good thing you can't get close to Zara.  With her electrifying personality, the results could be shocking. 	好在你靠不近札拉。以她電擊般的性格，後果可能會很令人震驚。
Zara has a mysterious, unearthly look to her.  You have the feeling that she is not a person to trifle with.	札拉看起來神祕而超凡。你有種感覺，她不是可以輕易對付的人。
"The powers of magic are reserved for those with the potential to use them.  I sense no such potential in you."	「魔法的力量是為那些有潛力使用它們的人保留的。我在你身上感不到這樣的潛力。」
"I detect that you have not the money to purchase that item.  Do not toy with me!"	「我看出你沒有錢買那個東西。別跟我玩花樣！」
"May this aid you on your Quest!"	「願這能幫助你完成你的任務！」
Aura	光環
Damiano	達米亞諾
Fire Dart	火焰鏢
Faery Folk	妖精
Familiar	精靈伙伴
Healing	治癒
Journey	旅程
Magic 	魔法
Potential	潛力
Power	力量
Power Potion	力量藥劑
Scrolls	卷軸
Vigor	活力
Zap	閃電
Zara 	札拉
"Reward for return of lost ring. Inquire at the Healer's." 	「失物招領：遺失的戒指。詢問治療師。」
This poster is rather dusty and faded.  The picture is of a small child with braids.  "Reward of 50 gold coins for the safe return of Elsa von Spielburg. Inquire at Spielburg Castle gates."  	這張海報相當塵埃落定且褪色。圖片是一個梳著辮子的小女孩。「艾爾莎·馮·史畢柏格安全歸來獎勵 50 金幣。詢問史畢柏格城堡門衛。」
"Reward of 30 gold coins for the Capture or Death of the Brigand Warlock. Description:  short, ugly, and wears brightly colored robes.  Has habit of laughing continually.  Inquire at Spielburg Castle gates." 	「山賊術士懸賞。獎賞：30 金幣。敘述：身材矮小、相貌醜陋、穿著色彩鮮豔的長袍。有持續大笑的習慣。詢問史畢柏格城堡門衛。」
"Wanted:  Brigand Leader.  Description:  Unknown appearance, wears a cloak. Must provide proof of leader's identity.  Reward of 60 gold coins and title of Hero of the Realm.  Inquire at Spielburg Castle gates." 	「通緝：山賊首領。敘述：外貌不詳，穿著斗篷。必須提供首領身份的證明。獎賞：60 金幣及領地英雄稱號。詢問史畢柏格城堡門衛。」
"Notice:  Spell components needed.  Cash or trade for potions.  Inquire at the Healer's." 	「告示：需要法術成分。以現金或藥劑交易。詢問治療師。」
This poster seems to have been here a while.  It has a picture of a handsome, but arrogant young man.  "Reward of 50 gold coins for information leading to the return of Baronet Barnard von Spielburg.  Inquire at Spielburg Castle gates." 	這張海報似乎貼了一段時間。上面有一個英俊但傲慢的年輕男性的圖片。「巴納德·馮·史畢柏格小爵爺失蹤。獎賞：50 金幣。詢問史畢柏格城堡門衛。」
If you take the poster, no other adventurer will be able to read it. 	如果你拿走這張海報，其他冒險者將無法讀到它。
There are a variety of vegetables for sale, and the shop keeper is a Centaur.	有各種各樣的蔬菜出售，店主是一位半人馬。
The barrels look too heavy to move. 	這些桶子看起來太重了，移不動。
The door is locked. 	門是鎖著的。
You see a dry goods store through the window. 	你通過窗戶看到一家乾貨店。
The store is locked. 	店是鎖著的。
There is no response.  The store must be closed for the evening.  The lock appears to be an extra heavy-duty model.	沒有回應。商店想必今晚打烊了。鎖看起來是特別堅固的款式。
There is no response.  The lock is of a simple type.	沒有回應。鎖是普通款式。
You see a nicely furnished living room through the window.  	你通過窗戶看到一間裝飾典雅的客廳。
You'd probably get arrested if you carved your initials in the door.	如果你在門上刻你的名字首字母，你可能會被逮捕。
The key doesn't seem to work. 	這把鑰匙好像用不了。
The white picket fence surrounds a small yard. 	白色柵欄圍繞著一個小院子。
The creature in charge of the Farmer's Mart is a rather lovely and shy-looking young centaur.	農業市集的負責人是一位相當可愛且害羞的年輕半人馬。
You see a charming young centaur with the upper torso of a teenager and the body of a filly.	你看到一位迷人的年輕半人馬，上半身是少年身材，下半身是小馬體型。
"Good day, and welcome to Spielburg.  Would you like to buy some of my nice fresh fruits or vegetables?"    	「你好，歡迎來到史畢柏格。你想買我的新鮮水果或蔬菜嗎？」
"I'm sorry, but I had to move you out of my stall!  It is very dangerous to sleep in the street at night.  I fear you have been robbed."  	「抱歉，但我必須把你從我的攤位裡搬出來！在街上睡覺很危險。恐怕你被搶了。」
"My father and I are the only centaurs in this valley."  	「我父親和我是這個山谷裡唯一的半人馬。」
You can smell apples as you approach this corner. 	當你走近這個角落時，你能聞到蘋果的香味。
"Perhaps another time, then."  	「那也許下次再說吧。」
"Apples are ten for a silver.  Do you want to buy my apples?"  	「蘋果是十個銀幣一份。你想買我的蘋果嗎？」
"Good day and welcome to Alpinehurst.  Do you wish to buy some nice, fresh vegetables?"  	「你好，歡迎來到阿爾皮尼赫斯特。你想買我的新鮮蔬菜嗎？」
